bile_acid	c_diff_effect	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	Chow	HF/HF	13	6	-1.0697523891594893	0.2847307780361119	0.3826306485419715	ns	2.2315212745153454	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	Chow	HF/LF	13	16	-3.1713323376485714	0.0015174143390198347	0.015174143390198347	*	2.276023796150228	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	Chow	LF/HF	13	5	-1.098072780554895	0.2721727099600707	0.3826306485419715	ns	2.3163869843234743	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	Chow	LF/LF	13	14	-2.8845835424190267	0.003919317532511131	0.019596587662555655	*	2.3533157629065338	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	HF/HF	HF/LF	6	16	-1.370719869202883	0.1704622985036287	0.3826306485419715	ns	2.3873490292196	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	HF/HF	LF/HF	6	5	-0.08235733959385474	0.9343625588310731	0.9343625588310731	ns	2.418908017628324	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	HF/HF	LF/LF	6	14	-1.1949271307795615	0.23211550168527376	0.3826306485419715	ns	2.448328241907793	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	HF/LF	LF/HF	16	5	1.183400502508376	0.23665045826474157	0.3826306485419715	ns	2.4758812837376905	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	HF/LF	LF/LF	16	14	0.19979489003388137	0.8416409979183795	0.9343625588310731	ns	2.501790070138396	
Alpha_muricholic_acid_a-MCA	inhibitor	conc_normalized	LF/HF	LF/LF	5	14	-1.0234301316471979	0.3061045188335772	0.3826306485419715	ns	2.5262398435924696	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	Chow	HF/HF	13	6	-1.59503024380146	0.11070547280735331	0.27676368201838325	ns	3.315142458760866	
