group2	Family	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_rel_abun	group2_rel_abun	diff_means	stat_diff_means
HF/HF	Bacteroidaceae	Chow	rel_abund	13	6	-0.9442025734061893	0.3450661404372088	0.5215701328698227	ns	0.06396563629188233	0.030756808178135947	0.03320882811374638	0
HF/HF	Enterococcaceae	Chow	rel_abund	13	6	2.7384884548133197	0.0061722327522915265	0.015430581880728817	*	0.055769246631989754	0.21253655851736092	-0.15676731188537116	-0.15676731188537116
HF/HF	Lachnospiraceae	Chow	rel_abund	13	6	-2.2034399734313017	0.027563753394979535	0.06890938348744884	ns	0.3043756214287464	0.04441846281594163	0.2599571586128048	0
HF/HF	Lactobacillaceae	Chow	rel_abund	13	6	-1.3262173973434057	0.18476769830678863	0.23711743368661187	ns	0.130957150897313	0.04123578081328867	0.08972137008402432	0
HF/HF	Marinifilaceae	Chow	rel_abund	13	6	-2.2269016121765906	0.02595385008085469	0.06488462520213673	ns	0.005955776986205647	9.349113157200442e-6	0.005946427873048447	0
HF/HF	Muribaculaceae	Chow	rel_abund	13	6	-3.2550756576845052	0.001133621622175856	0.003778738740586187	**	0.029061952170920034	2e-6	0.029059952170920035	0.029059952170920035
HF/HF	Ruminococcaceae	Chow	rel_abund	13	6	-3.1298852454484054	0.0017487460272841836	0.0058291534242806125	**	0.026660778652467215	0.0031383532464054078	0.02352242540606181	0.02352242540606181
HF/HF	Staphylococcaceae	Chow	rel_abund	13	6	0.3476162407861779	0.7281284077106984	0.8507490074517552	ns	1.2769015388922991e-5	2.0338834983828482e-5	-7.569819594905491e-6	0
HF/HF	Tannerellaceae	Chow	rel_abund	13	6	1.63820143151069	0.10137968111854458	0.15757196053220143	ns	0.12153382480406567	0.3093938064327018	-0.18785998162863615	0
HF/LF	Bacteroidaceae	Chow	rel_abund	13	18	-2.0117086116030585	0.04425066230321437	0.11062665575803593	ns	0.06396563629188233	0.02144978275098567	0.04251585354089666	0
HF/LF	Bacteroidaceae	HF/HF	rel_abund	6	18	-0.5647051036577523	0.572274362270071	0.6358604025223011	ns	0.030756808178135947	0.02144978275098567	0.009307025427150277	0
HF/LF	Enterococcaceae	Chow	rel_abund	13	18	5.599981632919404	2.1437451767205628e-8	2.1437451767205628e-7	****	0.055769246631989754	0.57712669951942	-0.5213574528874302	-0.5213574528874302
HF/LF	Enterococcaceae	HF/HF	rel_abund	6	18	1.4566765147693779	0.145205695559353	0.20743670794193286	ns	0.21253655851736092	0.57712669951942	-0.36459014100205905	0
HF/LF	Lachnospiraceae	Chow	rel_abund	13	18	-5.137267684440065	2.7876174942240917e-7	2.787617494224092e-6	****	0.3043756214287464	0.002159580859357615	0.3022160405693888	0.3022160405693888
HF/LF	Lachnospiraceae	HF/HF	rel_abund	6	18	-1.659592116983543	0.09699653525929597	0.16166089209882661	ns	0.04441846281594163	0.002159580859357615	0.04225888195658402	0
HF/LF	Lactobacillaceae	HF/HF	rel_abund	6	18	-1.8129086935183698	0.06984590516950656	0.1746147629237664	ns	0.04123578081328867	0.00590914662434985	0.03532663418893882	0
HF/LF	Lactobacillaceae	Chow	rel_abund	13	18	-4.146330694895646	3.378457827658334e-5	3.3784578276583335e-4	***	0.130957150897313	0.00590914662434985	0.12504800427296314	0.12504800427296314
HF/LF	Marinifilaceae	HF/HF	rel_abund	6	18	-0.7650965810779384	0.4442140355908353	0.6172138864273727	ns	9.349113157200442e-6	1e-6	8.349113157200441e-6	0
HF/LF	Marinifilaceae	Chow	rel_abund	13	18	-4.010573531480804	6.0571432287910404e-5	6.05714322879104e-4	***	0.005955776986205647	1e-6	0.005954776986205647	0.005954776986205647
HF/LF	Muribaculaceae	HF/HF	rel_abund	6	18	0	1	1	ns	2e-6	2e-6	0	0
HF/LF	Muribaculaceae	Chow	rel_abund	13	18	-4.413850998052433	1.0154786344975863e-5	8.443186224995167e-5	****	0.029061952170920034	2e-6	0.029059952170920035	0.029059952170920035
HF/LF	Ruminococcaceae	HF/HF	rel_abund	6	18	0.08850373206666107	0.9294763182208537	0.9294763182208537	ns	0.0031383532464054078	0.006158499766949147	-0.0030201465205437392	0
HF/LF	Ruminococcaceae	Chow	rel_abund	13	18	-4.129468206296931	3.636032772652625e-5	3.636032772652625e-4	***	0.026660778652467215	0.006158499766949147	0.020502278885518067	0.020502278885518067
HF/LF	Staphylococcaceae	HF/HF	rel_abund	6	18	1.766536074442697	0.07730595494657644	0.1932648873664411	ns	2.0338834983828482e-5	6.378533338445827e-4	-6.175144988607542e-4	0
HF/LF	Staphylococcaceae	Chow	rel_abund	13	18	2.7592974228991998	0.005792578843988414	0.02896289421994207	*	1.2769015388922991e-5	6.378533338445827e-4	-6.250843184556597e-4	-6.250843184556597e-4
HF/LF	Tannerellaceae	HF/HF	rel_abund	6	18	-2.9480933551322317	0.003197404916482786	0.010658016388275954	*	0.3093938064327018	0.09518533709853881	0.214208469334163	0.214208469334163
HF/LF	Tannerellaceae	Chow	rel_abund	13	18	-1.5968445060989451	0.11030037237254099	0.15757196053220143	ns	0.12153382480406567	0.09518533709853881	0.026348487705526863	0
LF/HF	Bacteroidaceae	HF/HF	rel_abund	6	9	-1.1117904559416927	0.2662282563759622	0.5215701328698227	ns	0.030756808178135947	0.017334593671454485	0.013422214506681462	0
LF/HF	Bacteroidaceae	HF/LF	rel_abund	18	9	-0.783250019559058	0.43348030701362295	0.5418503837670287	ns	0.02144978275098567	0.017334593671454485	0.0041151890795311855	0
LF/HF	Bacteroidaceae	Chow	rel_abund	13	9	-2.425977512932539	0.015267216232950494	0.07633608116475248	ns	0.06396563629188233	0.017334593671454485	0.046631042620427846	0
LF/HF	Enterococcaceae	Chow	rel_abund	13	9	3.017476569436842	0.0025488874471229065	0.008496291490409688	**	0.055769246631989754	0.20569316913633362	-0.14992392250434386	-0.14992392250434386
LF/HF	Enterococcaceae	HF/HF	rel_abund	6	9	-0.08179585276327414	0.9348090540401883	0.9348090540401883	ns	0.21253655851736092	0.20569316913633362	0.006843389381027298	0
LF/HF	Enterococcaceae	HF/LF	rel_abund	18	9	-1.7876231476956106	0.0738368283271617	0.1230613805452695	ns	0.57712669951942	0.20569316913633362	0.37143353038308635	0
LF/HF	Lachnospiraceae	HF/HF	rel_abund	6	9	0.011688065475584538	0.9906744853396471	0.9906744853396471	ns	0.04441846281594163	0.02103258630817362	0.02338587650776801	0
LF/HF	Lachnospiraceae	Chow	rel_abund	13	9	-2.4937060772026656	0.012641717749996534	0.04213905916665511	*	0.3043756214287464	0.02103258630817362	0.2833430351205728	0.2833430351205728
LF/HF	Lachnospiraceae	HF/LF	rel_abund	18	9	1.9314211386162994	0.05343099311068188	0.10686198622136377	ns	0.002159580859357615	0.02103258630817362	-0.018873005448816007	0
LF/HF	Lactobacillaceae	HF/HF	rel_abund	6	9	-0.3798142845707844	0.704083278019465	0.7533140987257698	ns	0.04123578081328867	0.019546604518262616	0.021689176295026057	0
LF/HF	Lactobacillaceae	Chow	rel_abund	13	9	-1.9711126914076713	0.04871098738272981	0.1623699579424327	ns	0.130957150897313	0.019546604518262616	0.11141054637905037	0
LF/HF	Lactobacillaceae	HF/LF	rel_abund	18	9	1.6030285115066432	0.10892835951259291	0.19806591326408296	ns	0.00590914662434985	0.019546604518262616	-0.013637457893912765	0
LF/HF	Marinifilaceae	HF/LF	rel_abund	18	9	0	1	1	ns	1e-6	1e-6	0	0
LF/HF	Marinifilaceae	Chow	rel_abund	13	9	-3.3663633655550407	7.616630470801873e-4	0.003808315235400936	**	0.005955776986205647	1e-6	0.005954776986205647	0.005954776986205647
LF/HF	Marinifilaceae	HF/HF	rel_abund	6	9	-0.6843231858571798	0.4937711091418982	0.6172138864273727	ns	9.349113157200442e-6	1e-6	8.349113157200441e-6	0
LF/HF	Muribaculaceae	HF/HF	rel_abund	6	9	0.5716800214264878	0.5675387718155805	0.810769674022258	ns	2e-6	7.203291547027103e-5	-7.003291547027104e-5	0
LF/HF	Muribaculaceae	Chow	rel_abund	13	9	-3.010025533422692	0.0026122572852241258	0.006530643213060314	**	0.029061952170920034	7.203291547027103e-5	0.02898991925544976	0.02898991925544976
LF/HF	Muribaculaceae	HF/LF	rel_abund	18	9	0.7380357341147623	0.46049273465078944	0.7826724492566384	ns	2e-6	7.203291547027103e-5	-7.003291547027104e-5	0
LF/HF	Ruminococcaceae	Chow	rel_abund	13	9	-0.9539136111555799	0.3401273730819712	0.4858962472599589	ns	0.026660778652467215	0.018422471042076914	0.008238307610390301	0
