Family	term	estimate	std.error	statistic	p.value	signif
Enterococcaceae	purified_diet	0.4242962425048222	0.1826359364062319	2.323180480543939	0.023123516093760156	*
Enterococcaceae	seq_depth	-3.378037179361115e-7	3.0044217899578428e-6	-0.11243551723170382	0.9108045603130874	ns
Enterococcaceae	high_fat	0.22769321985228244	0.0617874677175605	3.6851036021269112	4.509141673398532e-4	***
Enterococcaceae	high_fiber	-0.0430274418111251	0.07984626723915247	-0.53887856375616106	0.5917051057372382	ns
Enterococcaceae	purified_diet:seq_depth	-5.772145944048056e-6	3.3006520889484205e-6	-1.7487895689990907	0.08477461133124127	+
Enterococcaceae	high_fat:high_fiber	-0.18962561160698074	0.1209185514394951	-1.5682094215449238	0.12140718112228287	ns
Lachnospiraceae	purified_diet	-0.35766628282244184	0.1192912967363409	-2.9982596602412688	0.0037730356070751346	**
Lachnospiraceae	seq_depth	-6.43894275714168e-7	1.9623814366401994e-6	-0.32811881711263113	0.7438154482365452	ns
Lachnospiraceae	high_fat	0.004967211413351612	0.04035737594209356	0.12308063389648458	0.9024010554609332	ns
Lachnospiraceae	high_fiber	-0.02592737612630956	0.05215274138233564	-0.4971431115429586	0.6206685805897372	ns
Lachnospiraceae	purified_diet:seq_depth	1.927550025660859e-6	2.1558685301143956e-6	0.8940944212208426	0.3743794977429784	ns
Lachnospiraceae	high_fat:high_fiber	0.011858685012730496	0.07897969635402552	0.1501485262690057	0.8810854866792717	ns
Lactobacillaceae	purified_diet	-0.2637409904890443	0.04699152810767783	-5.612522110042902	3.853479456621671e-7	****
Lactobacillaceae	seq_depth	-2.107976724847801e-6	7.730262388016331e-7	-2.7269148432990393	0.008098915707489253	**
Lactobacillaceae	high_fat	-0.004676028258801722	0.01589767919219269	-0.29413276002563365	0.7695394747871723	ns
Lactobacillaceae	high_fiber	0.009950018978338228	0.02054413925918776	0.48432396474767736	0.6296897881093841	ns
Lactobacillaceae	purified_diet:seq_depth	2.3769492430460435e-6	8.492451620610675e-7	2.7988964191180425	0.006642946920567288	**
Lactobacillaceae	high_fat:high_fiber	0.024990650385410998	0.03111188093930256	0.8032510292182681	0.4245880763361969	ns
Muribaculaceae	purified_diet	-0.03389644541386901	0.0162387172053733	-2.0873844273027222	0.04054854210955837	*
Muribaculaceae	seq_depth	-1.9595662085824402e-7	2.6713228936647614e-7	-0.7335564761675556	0.46570426620633665	ns
Muribaculaceae	high_fat	1.1450430451045573e-6	0.005493711888496447	2.0842793876799752e-4	0.9998342999970082	ns
Muribaculaceae	high_fiber	7.118615716325648e-5	0.007099374740342816	0.01002710235293468	0.9920285991070823	ns
Muribaculaceae	purified_diet:seq_depth	1.960369046991561e-7	2.934710272273073e-7	0.6679940658922906	0.5063657039780758	ns
Muribaculaceae	high_fat:high_fiber	-7.15882401639182e-5	0.010751236587644233	-0.006658605229298961	0.9947064551428642	ns
Ruminococcaceae	purified_diet	-0.025161045193226875	0.015346762231366134	-1.6395018580402607	0.10566062202411083	ns
Ruminococcaceae	seq_depth	-5.433907366928032e-8	2.524593339103944e-7	-0.2152389172054416	0.8302159885444276	ns
Ruminococcaceae	high_fat	0.00558666027994703	0.0051919550697321366	1.0760224626202817	0.28566522574280384	ns
Ruminococcaceae	high_fiber	0.010626607776369954	0.006709422594991441	1.5838334261882203	0.11780465387801632	ns
Ruminococcaceae	purified_diet:seq_depth	3.389115805080859e-7	2.7735134614955726e-7	1.2219575827309426	0.22588184455740545	ns
Ruminococcaceae	high_fat:high_fiber	-0.02232505425265082	0.01016069616318854	-2.197197307555841	0.031366790044087954	*
Staphylococcaceae	purified_diet	0.00040030648400434877	5.21051563547035e-4	0.7682665440619358	0.4449503151874369	ns
Staphylococcaceae	seq_depth	2.1173198964066395e-10	8.571471212162267e-9	0.024701942572032714	0.9803640060924428	ns
Staphylococcaceae	high_fat	3.44112515475516e-4	1.7627668078552532e-4	1.9521159233432324	0.05498349877184942	+
Staphylococcaceae	high_fiber	-1.543825060515067e-4	2.2779756934482022e-4	-0.6777179690526717	0.5002168089128379	ns
Staphylococcaceae	purified_diet:seq_depth	-8.737649642854417e-9	9.416602041813048e-9	-0.9278983654673053	0.35669485453220884	ns
Staphylococcaceae	high_fat:high_fiber	-2.8220292564912225e-4	3.4497482548698254e-4	-0.8180391866297821	0.4161508639135747	ns
Tannerellaceae	purified_diet	0.11461301084392307	0.1539342261298391	0.7445583332926252	0.4590671511553408	ns
Tannerellaceae	seq_depth	-5.982447823339584e-7	2.532269126794948e-6	-0.23624849981532062	0.8139397427220367	ns
Tannerellaceae	high_fat	-0.12241421126494037	0.05207740718929262	-2.3506203144865734	0.021606501742981347	*
Tannerellaceae	high_fiber	0.03980387031537847	0.06729821960929187	0.5914550272869736	0.556148393869319	ns
Tannerellaceae	purified_diet:seq_depth	1.0582940798210736e-6	2.781946067317205e-6	0.38041502394819937	0.7048059576066409	ns
Tannerellaceae	high_fat:high_fiber	0.15607947455672933	0.10191588800562412	1.5314538057904794	0.13022952609212535	ns
