tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
cecum	score	Chow	HF/HF	17	6	2.5479273252426795	0.010836504348051014	0.027091260870127535	*	6.4	
cecum	score	Chow	HF/LF	17	23	-0.4602805063188837	0.645314891503806	0.6511236340584879	ns	6.4	
cecum	score	Chow	LF/HF	17	9	2.356862836127171	0.01843005297881951	0.03686010595763902	*	6.4	
cecum	score	Chow	LF/LF	17	21	2.0536384887883714	0.04001069405216518	0.06668449008694197	ns	6.4	
cecum	score	HF/HF	HF/LF	6	23	-2.96046378155782	0.0030717623718976073	0.02217049562290429	*	6.4	
cecum	score	HF/HF	LF/HF	6	9	-0.4522017687934693	0.6511236340584879	0.6511236340584879	ns	6.4	
cecum	score	HF/HF	LF/LF	6	21	-1.1663027391900778	0.24349206610599614	0.34784580872285165	ns	6.4	
cecum	score	HF/LF	LF/HF	23	9	2.845505517630204	0.004434099124580858	0.02217049562290429	*	6.4	
cecum	score	HF/LF	LF/LF	23	21	2.7076428952201033	0.006776289222593678	0.022587630741978927	*	6.4	
cecum	score	LF/HF	LF/LF	9	21	-0.7569146143302545	0.44910101922262263	0.5613762740282783	ns	6.4	
colon	score	Chow	HF/HF	17	6	3.6870878438587087	2.2683507022945863e-4	0.00075611690076486215	***	11.4	
colon	score	Chow	HF/LF	17	23	0.5258201392253857	0.5990131803874412	0.6655702004304903	ns	11.4	
colon	score	Chow	LF/HF	17	9	4.225111731355103	2.388222561079567e-5	2.388222561079567e-4	***	11.4	
colon	score	Chow	LF/LF	17	21	2.5921801422479414	0.009536981896601312	0.019073963793202624	*	11.4	
colon	score	HF/HF	HF/LF	6	23	-3.45245988973732	5.555000578715671e-4	0.001388750144678918	**	11.4	
colon	score	HF/HF	LF/HF	6	9	-0.017304313166492162	0.9861938447100703	0.9861938447100703	ns	11.4	
colon	score	HF/HF	LF/LF	6	21	-1.9553058328941533	0.050546983149186826	0.06318372893648354	ns	11.4	
colon	score	HF/LF	LF/HF	23	9	4.002104246501015	6.278162419677183e-5	3.1390812098385917e-4	***	11.4	
colon	score	HF/LF	LF/LF	23	21	2.2447934988155587	0.024781392326911088	0.03540198903844441	*	11.4	
colon	score	LF/HF	LF/LF	9	21	-2.248968623638724	0.02451449237645371	0.03540198903844441	*	11.4	
