metabolite	term	estimate	std.error	statistic	p.value	signif
Acetic Acid (ug/g)	purified_diet	-1484.2169116036603	531.6431735558162	-2.791753915839258	0.008076977742721952	**
Acetic Acid (ug/g)	seq_depth	-0.017216278388651793	0.008353760843165909	-2.0609015163195847	0.046025512420996784	*
Acetic Acid (ug/g)	high_fat	-421.4087176046752	160.8373617779361	-2.620092203368164	0.012461909430846818	*
Acetic Acid (ug/g)	high_fiber	-94.18363071281037	229.12748179062834	-0.41105340126276646	0.6832833835955265	ns
Acetic Acid (ug/g)	purified_diet:seq_depth	0.01682089113093201	0.00909951050516031	1.848549009465171	0.07211510701041314	+
Acetic Acid (ug/g)	high_fat:high_fiber	415.0977923245617	335.45378654521807	1.2374216925663108	0.22332929360117718	ns
Propanoic Acid (ug/g)	purified_diet	-265.0998982116769	176.33095223494556	-1.5034223705572376	0.14078555718740243	ns
Propanoic Acid (ug/g)	seq_depth	-0.003795176712692754	0.002770705385656186	-1.3697510866150582	0.1785999601320028	ns
Propanoic Acid (ug/g)	high_fat	-109.47790037271771	53.345188216326044	-2.0522544588044496	0.04689992006098643	*
Propanoic Acid (ug/g)	high_fiber	-57.038410087057144	75.99508289951716	-0.7505539557404647	0.45742583252030955	ns
Propanoic Acid (ug/g)	purified_diet:seq_depth	0.0036889623742075656	0.0030180493836028757	1.2223002029886503	0.22893012059333331	ns
Propanoic Acid (ug/g)	high_fat:high_fiber	187.67135524731032	111.26050056603677	1.686774320558815	0.09963121828229121	+
n-Butanoic Acid (ug/g)	purified_diet	-800.8104869529425	206.73698229173422	-3.8735715210493358	3.988710110385361e-4	***
n-Butanoic Acid (ug/g)	seq_depth	-0.008289481598431184	0.003248478290338953	-2.551804524316597	0.014749054614364071	*
n-Butanoic Acid (ug/g)	high_fat	-37.59886843457021	62.543887456204615	-0.6011597609902044	0.5512119494065014	ns
n-Butanoic Acid (ug/g)	high_fiber	-17.046041112722467	89.09946840599392	-0.1913147341693426	0.8492715704067462	ns
n-Butanoic Acid (ug/g)	purified_diet:seq_depth	0.00805670702202961	0.0035384736148996597	2.2768876919428647	0.028359402131890178	*
n-Butanoic Acid (ug/g)	high_fat:high_fiber	42.542505894500856	130.44595882770787	0.326131267513551	0.7460686640756928	ns
