c_diff_effect	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
inhibitor	conc_normalized	Chow	HF/HF	52	24	-3.3822041586407763	7.190668273446812e-4	0.002396889424482271	**	3.315142458760866	
inhibitor	conc_normalized	Chow	HF/LF	52	64	-6.72222405313657	1.7897146446483687e-11	1.7897146446483688e-10	****	3.36026150648305	
inhibitor	conc_normalized	Chow	LF/HF	52	20	-2.379368351650762	0.017342336450857615	0.03468467290171523	*	3.4011311303170038	
inhibitor	conc_normalized	Chow	LF/LF	52	56	-5.7432953965244575	9.2851539885808e-9	4.6425769942904e-8	****	3.4384833250254947	
inhibitor	conc_normalized	HF/HF	HF/LF	24	64	-1.756285376421612	0.07903969296838974	0.11291384709769962	ns	3.4728758555970614	
inhibitor	conc_normalized	HF/HF	LF/HF	24	20	0.6889402475438423	0.4908608703848538	0.4908608703848538	ns	3.504743509297357	
inhibitor	conc_normalized	HF/HF	LF/LF	24	56	-1.1124759508070092	0.265933564733601	0.33241695591700127	ns	3.5344317863025454	
inhibitor	conc_normalized	HF/LF	LF/HF	64	20	2.4552311800609523	0.014079401191266846	0.03468467290171523	*	3.562219788956382	
inhibitor	conc_normalized	HF/LF	LF/LF	64	56	0.8140858998616894	0.41559574288154916	0.4617730476461657	ns	3.5883362159826744	
inhibitor	conc_normalized	LF/HF	LF/LF	20	56	-1.84266544435359	0.06537787227197142	0.10896312045328571	ns	3.612970813084557	
promoter	conc_normalized	Chow	HF/HF	26	12	-0.15260774613341407	0.8787076160274645	0.8787076160274645	ns	4.6950696711861335	
promoter	conc_normalized	Chow	HF/LF	26	32	0.4236020378138548	0.6718560689086213	0.8398200861357765	ns	4.740982919436123	
promoter	conc_normalized	Chow	LF/HF	26	10	1.305333072182782	0.19177945723976075	0.6041468211773995	ns	4.782503001166801	
promoter	conc_normalized	Chow	LF/LF	26	28	-0.569891286479217	0.5687514351732446	0.8398200861357765	ns	4.820397697326961	
promoter	conc_normalized	HF/HF	HF/LF	12	32	0.48774412551324764	0.6257310926691155	0.8398200861357765	ns	4.855249590098978	
promoter	conc_normalized	HF/HF	LF/HF	12	10	1.258783016300623	0.20810871643181175	0.6041468211773995	ns	4.887511218566978	
promoter	conc_normalized	HF/HF	LF/LF	12	28	-0.2954863891497036	0.7676223483046011	0.8529137203384457	ns	4.917541116669355	
promoter	conc_normalized	HF/LF	LF/HF	32	10	1.0319972397168757	0.30207341058869935	0.6041468211773995	ns	4.9456281722582265	
promoter	conc_normalized	HF/LF	LF/LF	32	28	-1.031997239716875	0.30207341058869974	0.6041468211773995	ns	4.972008573876683	
promoter	conc_normalized	LF/HF	LF/LF	10	28	-1.7397971501585359	0.081894643082109	0.6041468211773995	ns	4.996877897279311	
