group2	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	Chow	shannon_entropy	17	6	-3.2021010738109563	0.0013642911959159914	0.003722939914847679	**	4.192910267618238	2.1883675208574056	2.0045427467608326	2.0045427467608326
HF/LF	Chow	shannon_entropy	17	23	-5.690653074874997	1.2655440111030503e-8	1.2655440111030503e-7	****	4.192910267618238	1.813631382018719	2.3792788855995193	2.3792788855995193
HF/LF	HF/HF	shannon_entropy	6	23	-0.6535377817340386	0.5134096404165485	0.5704551560183873	ns	2.1883675208574056	1.813631382018719	0.3747361388386865	0
LF/HF	Chow	shannon_entropy	17	9	-3.49938398354112	4.6633449171178283e-4	0.0023316724585589143	**	4.192910267618238	2.2775790685692408	1.9153311990489974	1.9153311990489974
LF/HF	HF/LF	shannon_entropy	23	9	0.9603268991220701	0.33689071612136623	0.42111339515170776	ns	1.813631382018719	2.2775790685692408	-0.46394768655052165	0
LF/HF	HF/HF	shannon_entropy	6	9	0.14797178180801146	0.8823650379110829	0.8823650379110829	ns	2.1883675208574056	2.2775790685692408	-0.08921154771183515	0
LF/LF	HF/HF	shannon_entropy	6	21	1.0457765649142328	0.29566420345408306	0.42111339515170776	ns	2.1883675208574056	2.707528756334421	-0.5191612354770152	0
LF/LF	Chow	shannon_entropy	17	21	-3.176784597706242	0.0014891759659390717	0.003722939914847679	**	4.192910267618238	2.707528756334421	1.4853815112838173	1.4853815112838173
LF/LF	HF/LF	shannon_entropy	23	21	2.5965272567343267	0.009417143376814588	0.018834286753629175	*	1.813631382018719	2.707528756334421	-0.8938973743157017	-0.8938973743157017
LF/LF	LF/HF	shannon_entropy	9	21	1.0193342980704918	0.3080442863313349	0.42111339515170776	ns	2.2775790685692408	2.707528756334421	-0.42994968776518006	0
