diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
Chow	Chow1.042122	3	cecum	9696	0	0	0	13137	barrier_2	1
Chow	Chow1.050622	3	cecum	9740	0	0	0	46241	barrier_2	2
Chow	Chow1.070122	3	cecum	9939	0	0	0	33566	barrier_2	5
Chow	Chow1.081222	3	cecum	117	0	0	0	59401	barrier_1	7
Chow	Chow2.042122	3	cecum	9685	0	0	0	47223	barrier_2	1
Chow	Chow2.050622	3	cecum	9741	0	0	0	54150	barrier_2	2
Chow	Chow2.070122	3	cecum	9943	0	0	0	94765	barrier_2	5
Chow	Chow2.071522	3	cecum	9965	0	0	0	56664	barrier_2	6
Chow	Chow2.081222	3	cecum	116	0	0	0	40721	barrier_1	7
Chow	Chow3.042122	3	cecum	9690	0	0	0	54707	barrier_2	1
Chow	Chow3.050622	3	cecum	9743	0	0	0	49255	barrier_2	2
Chow	Chow3.070122	3	cecum	9941	0	0	0	46599	barrier_2	5
Chow	Chow3.071522	3	cecum	9962	0	0	0	44673	barrier_2	6
Chow	Chow3.081222	3	cecum	115	0	0	0	52297	barrier_1	7
Chow	Chow4.042122	3	cecum	9695	0	0	0	41866	barrier_2	1
Chow	Chow4.050622	3	cecum	9742	0	0	0	52548	barrier_2	2
Chow	Chow4.081222	3	cecum	114	0	0	0	59885	barrier_1	7
Chow	Chow5.042122	3	cecum	9688	0	0	0	57356	barrier_2	1
HF/HF	W+F2.060322	3	cecum	9837	1	1	1	45394	barrier_1	3
HF/HF	WDF2.061722	3	cecum	9879	1	1	1	62436	barrier_2	4
HF/HF	WD+F.081222	3	cecum	103	1	1	1	47099	barrier_1	7
HF/HF	WDF3.061722	3	cecum	9877	1	1	1	67919	barrier_2	4
HF/HF	W+F4.060322	3	cecum	9836	1	1	1	35507	barrier_1	3
HF/HF	WDF4.061722	3	cecum	9878	1	1	1	52312	barrier_2	4
HF/LF	WD1.042122	3	cecum	9699	1	0	1	69603	barrier_2	1
HF/LF	WD1.060322	3	cecum	9847	1	0	1	39876	barrier_1	3
HF/LF	WD1.070122	3	cecum	9953	1	0	1	45771	barrier_2	5
