mouse_id,location,diet,fiber,fluorescence,batch
9740,Cecum,Chow,high_fiber,0,1
9742,Cecum,Chow,high_fiber,577.1707963,1
9743,Cecum,Chow,high_fiber,985.3140625,1
9941,Cecum,Chow,high_fiber,1199.179357,1
9743,Cecum,Chow,high_fiber,731.0100714,1
9963,Cecum,Chow,high_fiber,16224.46667,1
9964,Cecum,Chow,high_fiber,2836.635642,1
9841,Cecum,LF/LF,low_fiber,23661.79842,1
9842,Cecum,LF/LF,low_fiber,20027.81153,1
9882,Cecum,LF/LF,low_fiber,15306.06,1
9883,Cecum,LF/LF,low_fiber,17997.80499,1
9945,Cecum,LF/LF,low_fiber,7244.625,1
9946,Cecum,LF/LF,low_fiber,4123.8,1
9747,Cecum,LF/HF,high_fiber,4951.801723,1
9748,Cecum,LF/HF,high_fiber,88.8,1
9831,Cecum,LF/HF,high_fiber,4687,1
9832,Cecum,LF/HF,high_fiber,3969.541895,1
9873,Cecum,LF/HF,high_fiber,19722.2225,1
9875,Cecum,LF/HF,high_fiber,14632.10811,1
9848,Cecum,HF/LF,low_fiber,18074.09091,1
9849,Cecum,HF/LF,low_fiber,458.8333333,1
9846,Cecum,HF/LF,low_fiber,577.6996667,1
9847,Cecum,HF/LF,low_fiber,23830.51133,1
9887,Cecum,HF/LF,low_fiber,34397.28426,1
9888,Cecum,HF/LF,low_fiber,27832.66127,1
9950,Cecum,HF/LF,low_fiber,13247.42857,1
9952,Cecum,HF/LF,low_fiber,29950.90099,1
9757,Cecum,HF/HF,high_fiber,663.4444444,1
9758,Cecum,HF/HF,high_fiber,3478.356238,1
9836,Cecum,HF/HF,high_fiber,653.1216154,1
9837,Cecum,HF/HF,high_fiber,1273.470333,1
9877,Cecum,HF/HF,high_fiber,856.6666667,1
9880,Cecum,HF/HF,high_fiber,1344.526771,1
9740,Prox_colon,Chow,high_fiber,165.25,1
9742,Prox_colon,Chow,high_fiber,545.7541818,1
9743,Prox_colon,Chow,high_fiber,497.7245667,1
9941,Prox_colon,Chow,high_fiber,2467.140286,1
9743,Prox_colon,Chow,high_fiber,929.1412245,1
9963,Prox_colon,Chow,high_fiber,3573.875,1
9964,Prox_colon,Chow,high_fiber,3848.714286,1
9841,Prox_colon,LF/LF,low_fiber,16189.79646,1
9842,Prox_colon,LF/LF,low_fiber,10071.57576,1
9882,Prox_colon,LF/LF,low_fiber,11971.64062,1
9883,Prox_colon,LF/LF,low_fiber,8566.372429,1
9945,Prox_colon,LF/LF,low_fiber,7973.225024,1
9946,Prox_colon,LF/LF,low_fiber,2020.248673,1
9747,Prox_colon,LF/HF,high_fiber,4799.407533,1
9748,Prox_colon,LF/HF,high_fiber,7164.450299,1
9831,Prox_colon,LF/HF,high_fiber,8541.95754,1
9832,Prox_colon,LF/HF,high_fiber,645.5609524,1
9873,Prox_colon,LF/HF,high_fiber,14994.02041,1
9875,Prox_colon,LF/HF,high_fiber,7665.980706,1
9848,Prox_colon,HF/LF,low_fiber,2357.205714,1
9849,Prox_colon,HF/LF,low_fiber,499.25,1
9846,Prox_colon,HF/LF,low_fiber,278.3333333,1
9847,Prox_colon,HF/LF,low_fiber,267.9850667,1
9887,Prox_colon,HF/LF,low_fiber,9981.353235,1
9888,Prox_colon,HF/LF,low_fiber,18890.80952,1
9950,Prox_colon,HF/LF,low_fiber,3018.714286,1
9952,Prox_colon,HF/LF,low_fiber,748.7142857,1
9757,Prox_colon,HF/HF,high_fiber,21675.99106,1
9758,Prox_colon,HF/HF,high_fiber,5193.549722,1
9836,Prox_colon,HF/HF,high_fiber,1068.962963,1
9837,Prox_colon,HF/HF,high_fiber,430.8181818,1
9877,Prox_colon,HF/HF,high_fiber,6912.117647,1
9880,Prox_colon,HF/HF,high_fiber,10981.63636,1
9740,Dist_colon,Chow,high_fiber,55.91666667,1
9742,Dist_colon,Chow,high_fiber,368.5227333,1
9743,Dist_colon,Chow,high_fiber,3906.548727,1
9941,Dist_colon,Chow,high_fiber,8283.268545,1
9743,Dist_colon,Chow,high_fiber,5902.0738,1
9963,Dist_colon,Chow,high_fiber,9864.969796,1
9964,Dist_colon,Chow,high_fiber,10337.83333,1
9841,Dist_colon,LF/LF,low_fiber,16937.17778,1
9842,Dist_colon,LF/LF,low_fiber,12437.77409,1
9882,Dist_colon,LF/LF,low_fiber,11072.39464,1
9883,Dist_colon,LF/LF,low_fiber,12309.62048,1
9945,Dist_colon,LF/LF,low_fiber,22451.50222,1
9946,Dist_colon,LF/LF,low_fiber,12660.43716,1
9747,Dist_colon,LF/HF,high_fiber,679.1934896,1
9748,Dist_colon,LF/HF,high_fiber,10068.68892,1
9831,Dist_colon,LF/HF,high_fiber,1530.104125,1
9832,Dist_colon,LF/HF,high_fiber,3359.652429,1
9873,Dist_colon,LF/HF,high_fiber,23822.80372,1
9875,Dist_colon,LF/HF,high_fiber,30329.8513,1
9848,Dist_colon,HF/LF,low_fiber,8467.64125,1
9849,Dist_colon,HF/LF,low_fiber,3438.290312,1
9846,Dist_colon,HF/LF,low_fiber,532.5034286,1
9847,Dist_colon,HF/LF,low_fiber,6166.571429,1
9887,Dist_colon,HF/LF,low_fiber,18704,1
9888,Dist_colon,HF/LF,low_fiber,4691.75,1
9950,Dist_colon,HF/LF,low_fiber,5723.866667,1
9952,Dist_colon,HF/LF,low_fiber,6445.666667,1
9757,Dist_colon,HF/HF,high_fiber,15347.90584,1
9758,Dist_colon,HF/HF,high_fiber,3606.797231,1
9836,Dist_colon,HF/HF,high_fiber,2124.485,1
9837,Dist_colon,HF/HF,high_fiber,857.7762,1
9877,Dist_colon,HF/HF,high_fiber,22379.71831,1
9880,Dist_colon,HF/HF,high_fiber,15705.6006,1
9941,Cecum,Chow,high_fiber,299.5695051,2
9943,Cecum,Chow,high_fiber,185.3089089,2
9962,Cecum,Chow,high_fiber,765.4867059,2
9841,Cecum,LF/LF,low_fiber,406.1031536,2
9885,Cecum,LF/LF,low_fiber,2805.560162,2
9947,Cecum,LF/LF,low_fiber,2286.473025,2
9948,Cecum,LF/LF,low_fiber,2153.047855,2
9746,Cecum,LF/HF,high_fiber,262.4742986,2
9835,Cecum,LF/HF,high_fiber,3171.846357,2
9871,Cecum,LF/HF,high_fiber,2450.850435,2
9889,Cecum,HF/LF,low_fiber,1861.047732,2
9890,Cecum,HF/LF,low_fiber,4933.566487,2
9949,Cecum,HF/LF,low_fiber,2840.703673,2
9839,Cecum,HF/HF,high_fiber,50.27205,2
9879,Cecum,HF/HF,high_fiber,51.77042857,2
9941,Prox_colon,Chow,high_fiber,315.9696231,2
9943,Prox_colon,Chow,high_fiber,529.9924463,2
9962,Prox_colon,Chow,high_fiber,214.2372532,2
9841,Prox_colon,LF/LF,low_fiber,1368.512688,2
9885,Prox_colon,LF/LF,low_fiber,160.8514535,2
9947,Prox_colon,LF/LF,low_fiber,373.4438637,2
9948,Prox_colon,LF/LF,low_fiber,276.9358698,2
9746,Prox_colon,LF/HF,high_fiber,741.9708528,2
9835,Prox_colon,LF/HF,high_fiber,1120.616318,2
9871,Prox_colon,LF/HF,high_fiber,1689.346067,2
9889,Prox_colon,HF/LF,low_fiber,75.3893,2
9890,Prox_colon,HF/LF,low_fiber,301.7259319,2
9949,Prox_colon,HF/LF,low_fiber,167.1359856,2
9839,Prox_colon,HF/HF,high_fiber,268.807,2
9879,Prox_colon,HF/HF,high_fiber,1006.657885,2
9941,Dist_colon,Chow,high_fiber,405.0486247,2
9943,Dist_colon,Chow,high_fiber,1334.746606,2
9962,Dist_colon,Chow,high_fiber,1725.410231,2
9841,Dist_colon,LF/LF,low_fiber,1776.960611,2
9885,Dist_colon,LF/LF,low_fiber,146.1204108,2
9947,Dist_colon,LF/LF,low_fiber,1005.62038,2
9948,Dist_colon,LF/LF,low_fiber,2563.985308,2
9746,Dist_colon,LF/HF,high_fiber,799.933625,2
9835,Dist_colon,LF/HF,high_fiber,2183.251958,2
9871,Dist_colon,LF/HF,high_fiber,651.3111111,2
9889,Dist_colon,HF/LF,low_fiber,3888.737914,2
9890,Dist_colon,HF/LF,low_fiber,2876.357318,2
9949,Dist_colon,HF/LF,low_fiber,140.1753,2
9839,Dist_colon,HF/HF,high_fiber,1681.30368,2
9879,Dist_colon,HF/HF,high_fiber,3952.89447,2
