group2	day_post_inf	Family	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_rel_abun	group2_rel_abun	diff_means	stat_diff_means
HF/HF	-3	Enterococcaceae	Chow	rel_abund	23	19	1.3280062672440427	0.18417603649949899	0.24470279371906578	ns	4.917391304347828e-5	0.03770384237371365	-0.03765466846067017	0
HF/HF	-3	Lachnospiraceae	Chow	rel_abund	23	19	-1.3309483803423074	0.1832059965167278	0.22900749564590978	ns	0.011371679315677504	0.0010366825527118562	0.010334996762965648	0
HF/HF	-3	Staphylococcaceae	Chow	rel_abund	23	19	1.4041646471357938	0.16026982656172828	0.22895689508818326	ns	1.753915217456522e-4	5.1694762113179e-4	-3.415560993861378e-4	0
HF/HF	0	Enterobacteriaceae	Chow	rel_abund	24	18	-2.569405669804244	0.010187312281946493	0.016978853803244154	*	0.1808544166304392	0.05634904560606761	0.12450537102437158	0.12450537102437158
HF/HF	0	Lachnospiraceae	Chow	rel_abund	24	18	-4.1302148109687495	3.6242443303340755e-5	2.2248324320229515e-4	***	0.018272963515286345	0.003764683755814474	0.01450827975947187	0.01450827975947187
HF/HF	0	Staphylococcaceae	Chow	rel_abund	24	18	0.17254804840625404	0.8630066905969104	0.977123029631011	ns	1.4050001676225288e-4	1.0355535000872228e-4	3.6944666753530606e-5	0
HF/HF	3	Enterobacteriaceae	Chow	rel_abund	14	1	2.31175109658117	0.020791403789281807	0.06930467929760603	ns	0.004695276281531761	0.32057920573205734	-0.31588392945052557	0
HF/HF	3	Enterococcaceae	Chow	rel_abund	14	1	2.489424636947557	0.012795004201181718	0.04265001400393906	*	0.025015042005802804	0.5103621035510354	-0.4853470615452326	-0.4853470615452326
HF/HF	3	Lachnospiraceae	Chow	rel_abund	14	1	-1.4270091996746137	0.15357724291588043	0.38394310728970105	ns	0.12438366400957225	0.01942318800188013	0.10496047600769212	0
HF/LF	-3	Enterococcaceae	Chow	rel_abund	23	28	4.200412060902064	2.6642963776005803e-5	2.6642963776005803e-4	***	4.917391304347828e-5	0.016051469292137407	-0.01600229537909393	-0.01600229537909393
HF/LF	-3	Enterococcaceae	HF/HF	rel_abund	19	28	2.591734537717297	0.009549342560012034	0.023873356400030084	*	0.03770384237371365	0.016051469292137407	0.021652373081576245	0.021652373081576245
HF/LF	-3	Lachnospiraceae	Chow	rel_abund	23	28	3.5567660896361577	3.7544817372320353e-4	0.0012514939124106785	**	0.011371679315677504	0.06456708810693511	-0.0531954087912576	-0.0531954087912576
HF/LF	-3	Lachnospiraceae	HF/HF	rel_abund	19	28	4.755674692218812	1.9778474217833406e-6	1.9778474217833407e-5	****	0.0010366825527118562	0.06456708810693511	-0.06353040555422325	-0.06353040555422325
HF/LF	-3	Staphylococcaceae	Chow	rel_abund	23	28	5.163564227263209	2.4229139254750325e-7	2.4229139254750327e-6	****	1.753915217456522e-4	0.10229675258486036	-0.1021213610631147	-0.1021213610631147
HF/LF	-3	Staphylococcaceae	HF/HF	rel_abund	19	28	3.4241932949947977	6.166274451464878e-4	0.0012332548902929757	**	5.1694762113179e-4	0.10229675258486036	-0.10177980496372857	-0.10177980496372857
HF/LF	0	Enterobacteriaceae	HF/HF	rel_abund	18	28	0.2606824591254935	0.7943373940692366	0.8189364240489974	ns	0.05634904560606761	0.0655508728684209	-0.009201827262353288	0
