diet	tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
Chow	cecum	score	1	2	5	5	1.9506426088895124	0.051099574841072755	0.1277489371026819	ns	4.9		1	2
Chow	cecum	score	1	5	5	3	3.0970610971715624	0.0019544958619915785	0.019544958619915787	*	4.9		1	5
Chow	cecum	score	1	6	5	4	2.111316241796492	0.034745138926842806	0.1158171297561427	ns	4.9		1	6
Chow	cecum	score	1	7	5	4	0.17543888542148492	0.8607347882217297	0.8607347882217297	ns	4.9		1	7
Chow	cecum	score	2	5	5	3	1.407755044168892	0.1592036164398832	0.22743373777126172	ns	4.9		2	5
Chow	cecum	score	2	6	5	4	0.2722327532402354	0.785443059075745	0.8607347882217297	ns	4.9		2	6
Chow	cecum	score	2	7	5	4	-1.6636446031347718	0.09618347282514782	0.16030578804191303	ns	4.9		2	7
Chow	cecum	score	5	6	3	4	-1.106966515608857	0.2683084056328209	0.3353855070410261	ns	4.9		5	6
Chow	cecum	score	5	7	3	4	-2.807267083584062	0.004996379716246964	0.02498189858123482	*	4.9		5	7
Chow	cecum	score	6	7	4	4	-1.8365345150671515	0.06627864227148715	0.1325572845429743	ns	4.9		6	7
LF/LF	cecum	score	1	3	5	2	2.720309731264733	0.006522079397027714	0.03261039698513857	*	6.1		1	3
LF/LF	cecum	score	1	4	5	4	3.0190368221228	0.002535797090879787	0.0190184781815984	*	6.1		1	4
LF/LF	cecum	score	1	5	5	4	3.1628004803191234	0.0015625938449063852	0.0190184781815984	*	6.1		1	5
LF/LF	cecum	score	1	6	5	4	2.0701966780270626	0.03843393023678172	0.14412723838793143	ns	6.1		1	6
LF/LF	cecum	score	1	7	5	3	0.9860132971832695	0.32412658775761904	0.4766508163572609	ns	6.1		1	7
LF/LF	cecum	score	3	4	2	4	-0.28953301207179305	0.7721735211552698	0.8909694474868497	ns	6.1		3	4
LF/LF	cecum	score	3	5	2	4	-0.1781741612749496	0.8585862013366392	0.8915159972479365	ns	6.1		3	5
LF/LF	cecum	score	3	6	2	4	-1.02450142733096	0.30559849700634445	0.4766508163572609	ns	6.1		3	6
LF/LF	cecum	score	3	7	2	3	-1.7043944137025082	0.08830742686830548	0.18923020043208316	ns	6.1		3	7
LF/LF	cecum	score	4	5	4	4	0.13638618139749525	0.8915159972479365	0.8915159972479365	ns	6.1		4	5
LF/LF	cecum	score	4	6	4	4	-0.9001487972234686	0.36804107050295437	0.4766508163572609	ns	6.1		4	6
LF/LF	cecum	score	4	7	4	3	-1.7088413878674895	0.08748033392519725	0.18923020043208316	ns	6.1		4	7
LF/LF	cecum	score	5	6	4	4	-1.0365349786209639	0.29995262970100117	0.4766508163572609	ns	6.1		5	6
LF/LF	cecum	score	5	7	4	3	-1.835110455936516	0.06648932500388031	0.18923020043208316	ns	6.1		5	7
LF/LF	cecum	score	6	7	4	3	-0.8754655386119159	0.38132065308580876	0.4766508163572609	ns	6.1		6	7
LF/HF	colon	score	2	3	4	5	2.6833333333333336	0.007289229733738338	0.042856864411628504	*	16.8		2	3
LF/HF	colon	score	2	4	4	5	1.75	0.0801183137276342	0.1602366274552684	ns	16.8		2	4
LF/HF	colon	score	2	7	4	1	2.45	0.014285621470542834	0.042856864411628504	*	16.8		2	7
LF/HF	colon	score	3	4	5	5	-0.9899494936611667	0.32219880616258145	0.3866385673950977	ns	16.8		3	4
LF/HF	colon	score	3	7	5	1	0.8573214099741122	0.39126727928263927	0.39126727928263927	ns	16.8		3	7
LF/HF	colon	score	4	7	5	1	1.4288690166235207	0.15304188415882009	0.22956282623823013	ns	16.8		4	7
LF/LF	colon	score	1	3	5	2	2.499714269385889	0.012429350974009672	0.06214675487004836	ns	10.7		1	3
LF/LF	colon	score	1	4	5	4	3.5795716689756794	3.441578538465915e-4	0.005162367807698872	**	10.7		1	4
LF/LF	colon	score	1	5	5	4	2.857883832488647	0.00426476491403054	0.031985736855229055	*	10.7		1	5
LF/LF	colon	score	1	6	5	4	1.9341234017852462	0.05309795728558344	0.1592938718567503	ns	10.7		1	6
LF/LF	colon	score	1	7	5	3	1.0606601717798212	0.2888443663464849	0.48140727724414156	ns	10.7		1	7
LF/LF	colon	score	3	4	2	4	0.35777087639996635	0.7205147871362553	0.7719801290745592	ns	10.7		3	4
LF/LF	colon	score	3	5	2	4	-0.20124611797498107	0.8405061321469851	0.8405061321469851	ns	10.7		3	5
LF/LF	colon	score	3	6	2	4	-0.9167878707749137	0.35925380973109944	0.5193224731455165	ns	10.7		3	6
LF/LF	colon	score	3	7	2	3	-1.4424978336205572	0.14916198229905792	0.2796787168107336	ns	10.7		3	7
LF/LF	colon	score	4	5	4	4	-0.6846531968814576	0.49356278970338935	0.5695525166571442	ns	10.7		4	5
LF/LF	colon	score	4	6	4	4	-1.5610092888897236	0.11852155920687943	0.2796787168107336	ns	10.7		4	6
LF/LF	colon	score	4	7	4	3	-2.1297887219158618	0.03318906021272595	0.1244589757977223	ns	10.7		4	7
LF/LF	colon	score	5	6	4	4	-0.8763560920082658	0.38083648030671213	0.5193224731455165	ns	10.7		5	6
LF/LF	colon	score	5	7	4	3	-1.4959230308694744	0.13467371386968655	0.2796787168107336	ns	10.7		5	7
LF/LF	colon	score	6	7	4	3	-0.6845749463300985	0.4936121811028584	0.5695525166571442	ns	10.7		6	7
