term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
high_fat	1	0.21362584202349325	0.021010618803365355	2.042940336011908	0.047	*	-8
high_fiber	1	0.7843258188997304	0.07714034333321589	7.500641480582744	0.001	***	-8
study	1	0.558989496589415	0.054977970439707785	5.345711825743996	0.001	***	-8
high_fat:high_fiber	1	0.14058230760926738	0.013826610337484047	1.3444125674319003	0.199	ns	-8
Residual	81	8.46999439919135	0.833044457086227	NA	NA		-8
Total	85	10.167517864313256	1	NA	NA		-8
high_fat	1	0.4267581168224229	0.022827587678648592	2.42592961738122	0.006	**	-3
high_fiber	1	1.5828846506354228	0.08466959788981013	8.997993485083343	0.001	***	-3
study	1	1.0765437203835746	0.05758507032024512	6.119671056592916	0.001	***	-3
high_fat:high_fiber	1	0.30402388529661595	0.01626244850288282	1.7282402341260386	0.053	+	-3
Residual	87	15.304630397163068	0.8186552956084133	NA	NA		-3
Total	91	18.694840770301106	1	NA	NA		-3
high_fat	1	0.4461472093357771	0.024211883189457536	2.681073893649462	0.005	**	0
high_fiber	1	1.6954195830987984	0.092008422431289	10.188442486944252	0.001	***	0
study	1	1.7188950676869719	0.0932824093099943	10.329515898484418	0.001	***	0
high_fat:high_fiber	1	0.2553952342716208	0.01385999833672557	1.5347703198403069	0.103	ns	0
Residual	86	14.310929696402226	0.7766372867325338	NA	NA		0
Total	90	18.42678679079539	1	NA	NA		0
high_fat	1	0.26188507003631195	0.10638821683281155	4.39555374674819	0.018	*	3
high_fiber	1	0.21991314778073984	0.08933753897173084	3.6910850265453803	0.025	*	3
study	1	1.187820815085169	0.4825404457622801	19.936723515735977	0.001	***	3
high_fat:high_fiber	1	0.07702494134796689	0.03129061981473732	1.2928085953436408	0.263	ns	3
Residual	12	0.7149544793441872	0.2904431786184402	NA	NA		3
Total	16	2.461598453594375	1	NA	NA		3
