group2	inf_stock	experiment_set	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax	group1_day_post_inf	group2_day_post_inf	diff_means	stat_diff_means
HF/HF	spores	new_exp_anschutz	Chow	day_post_inf	7	4	1.243520931492429	0.21367593260315937	0.2670949157539492	ns	8.36		1	2	3.142857142857143	5	-1.8571428571428572	0
HF/HF	spores	second_set_arizona	Chow	day_post_inf	2	9	1.1395896531851586	0.2544572979897554	0.3635104256996506	ns	9.72		1	2	3	4.111111111111111	-1.1111111111111107	0
HF/LF	culture	second_set_arizona	Chow	day_post_inf	4	8	2.9948964118068924	0.0027453806011651215	0.004118070901747682	**	8.36		1	3	4	6.625	-2.625	-2.625
HF/LF	spores	new_exp_anschutz	Chow	day_post_inf	7	13	4.821410651976407	1.4254656595968457e-6	1.4254656595968457e-5	****	8.76		1	3	3.142857142857143	6.461538461538462	-3.318681318681319	-3.318681318681319
HF/LF	spores	new_exp_anschutz	HF/HF	day_post_inf	4	13	2.590008795341283	0.00959734798186602	0.02399336995466505	*	9.959999999999999		2	3	5	6.461538461538462	-1.4615384615384617	-1.4615384615384617
HF/LF	spores	second_set_arizona	Chow	day_post_inf	2	16	2.3145398469803617	0.020638128135470786	0.07285993859556289	ns	10.520000000000001		1	3	3	5.5625	-2.5625	0
HF/LF	spores	second_set_arizona	HF/HF	day_post_inf	9	16	2.0281120169520976	0.042548816726558907	0.10637204181639727	ns	12.920000000000002		2	3	4.111111111111111	5.5625	-1.4513888888888893	0
LF/HF	spores	new_exp_anschutz	HF/LF	day_post_inf	13	4	-3.3397481834663916	8.385438736894467e-4	0.002795146245631489	**	11.16		3	4	6.461538461538462	4	2.4615384615384617	2.4615384615384617
LF/HF	spores	new_exp_anschutz	HF/HF	day_post_inf	4	4	-0.6062449223199127	0.5443521264928193	0.575762934859818	ns	10.36		2	4	5	4	1	0
LF/HF	spores	new_exp_anschutz	Chow	day_post_inf	7	4	0.559584419171593	0.575762934859818	0.575762934859818	ns	9.16		1	4	3.142857142857143	4	-0.8571428571428572	0
LF/HF	spores	second_set_arizona	HF/LF	day_post_inf	16	6	-2.8252752460098107	0.004724001645304106	0.047240016453041066	*	15.320000000000002		3	4	5.5625	3.3333333333333335	2.2291666666666665	2.2291666666666665
LF/HF	spores	second_set_arizona	Chow	day_post_inf	2	6	0.4695761629500748	0.6386578583745097	0.7096198426383442	ns	11.32		1	4	3	3.3333333333333335	-0.3333333333333335	0
LF/HF	spores	second_set_arizona	HF/HF	day_post_inf	9	6	-0.962820348819681	0.3356376870424691	0.4195471088030864	ns	13.720000000000002		2	4	4.111111111111111	3.3333333333333335	0.7777777777777772	0
LF/LF	culture	second_set_arizona	Chow	day_post_inf	4	13	0.6233312992533551	0.5330668338091922	0.5330668338091922	ns	8.899999999999999		1	5	4	4.461538461538462	-0.4615384615384617	0
LF/LF	culture	second_set_arizona	HF/LF	day_post_inf	8	13	-3.2882178669155757	0.0010082378297093814	0.0030247134891281443	**	9.44		3	5	6.625	4.461538461538462	2.1634615384615383	2.1634615384615383
LF/LF	spores	new_exp_anschutz	Chow	day_post_inf	7	18	3.5967886077578135	3.2217009357417596e-4	0.0016108504678708797	**	9.559999999999999		1	5	3.142857142857143	5.666666666666667	-2.523809523809524	-2.523809523809524
LF/LF	spores	new_exp_anschutz	HF/LF	day_post_inf	13	18	-1.8082921269300976	0.07056104657485199	0.11760174429141998	ns	11.559999999999999		3	5	6.461538461538462	5.666666666666667	0.7948717948717947	0
LF/LF	spores	new_exp_anschutz	HF/HF	day_post_inf	4	18	1.4883546562336845	0.1366573879939199	0.19522483999131415	ns	10.76		2	5	5	5.666666666666667	-0.666666666666667	0
LF/LF	spores	new_exp_anschutz	LF/HF	day_post_inf	4	18	2.2638657665870254	0.02358237203757203	0.04716474407514406	*	11.959999999999999		4	5	4	5.666666666666667	-1.666666666666667	-1.666666666666667
LF/LF	spores	second_set_arizona	HF/HF	day_post_inf	9	19	0.16573925342854406	0.868362153477984	0.868362153477984	ns	14.520000000000001		2	5	4.111111111111111	4.105263157894737	0.005847953216373547	0
LF/LF	spores	second_set_arizona	HF/LF	day_post_inf	16	19	-2.2928267454063462	0.021857981578668865	0.07285993859556289	ns	16.12		3	5	5.5625	4.105263157894737	1.4572368421052628	0
LF/LF	spores	second_set_arizona	Chow	day_post_inf	2	19	1.2885864983620718	0.19754187977190066	0.3635104256996506	ns	12.120000000000001		1	5	3	4.105263157894737	-1.1052631578947372	0
LF/LF	spores	second_set_arizona	LF/HF	day_post_inf	6	19	1.226833634238963	0.2198851264534024	0.3635104256996506	ns	16.92		4	5	3.3333333333333335	4.105263157894737	-0.7719298245614037	0
