	shannon_entropy
2_0418_9740	3.972265583926652
2_0418_9741	3.6468676522288592
2_0418_9742	3.5744870913358593
2_0418_9743	3.831687744137327
2_0418_9744	3.3704274316305374
2_0418_9745	3.1941297925363545
2_0418_9746	3.206009482240843
2_0418_9747	3.8747706955917978
2_0418_9748	3.9102951164828985
2_0418_9749	3.258482457799025
2_0418_9750	3.7877017904237356
2_0418_9751	3.7221161704495778
2_0418_9752	3.608160408148823
2_0418_9753	3.6309109129584383
2_0418_9754	3.0214428569710554
3_0516_9831	5.43141097813175
3_0516_9832	4.911673257667932
3_0516_9833	4.372599566825257
3_0516_9834	4.218152438447955
3_0516_9835	4.1989569300420335
3_0516_9836	3.8810226577826765
3_0516_9837	4.435927031071511
3_0516_9838	3.4669418559516494
3_0516_9839	4.598056451999578
3_0516_9840	4.16501842750473
3_0516_9841	3.6707517935934875
3_0516_9842	4.472293286359053
3_0516_9843	4.049198177808119
3_0516_9844	4.383621580697947
3_0516_9845	5.862904615578412
3_0516_9846	4.39742201729987
3_0516_9847	4.021698628438682
3_0516_9849	4.950776605443571
3_0516_9851	3.727068699288257
41.9871.0530	3.1858627517361597
41.9872.0530	3.6957333842718323
41.9873.0530	4.711948823665769
41.9874.0530	3.517922787543343
41.9875.0530	2.8869239962290734
41.9876.0530	3.5714799211543955
41.9877.0530	4.608748589044571
41.9878.0530	4.6668588160708255
41.9879.0530	2.8859170675754022
41.9880.0530	3.379455335507166
41.9881.0530	3.4409337373345523
41.9882.0530	3.4442398758559314
41.9883.0530	4.750302237070025
41.9884.0530	3.594408077749597
41.9885.0530	3.3941263330358344
41.9886.0530	2.3856196702004886
41.9887.0530	3.5805827604993103
41.9888.0530	2.8805284417608443
41.9889.0530	4.615423346861471
41.9890.0530	3.853739614052202
51.9939.0613	3.422496220468601
51.9940.0613	4.598393735021093
51.9941.0613	3.577387709946578
51.9942.0613	4.097020932341903
51.9943.0613	3.713292901434095
51.9944.0613	3.004117059573877
51.9945.0613	3.524737633773507
51.9946.0613	3.072049898241356
51.9947.0613	4.001133007537545
51.9948.0613	3.3864020190586968
51.9949.0613	3.375334447698426
51.9950.0613	3.921355383762981
51.9951.0613	4.638765770087672
51.9952.0613	4.340557729625031
51.9953.0613	3.5492985100003382
61.9961.0627	4.36322086621134
61.9962.0627	4.661858059293403
61.9963.0627	4.3060145483547885
61.9964.0627	3.4926616508487442
61.9965.0627	3.723918207319504
61.9966.0627	4.519745268907632
61.9967.0627	5.207039813471885
61.9968.0627	3.893781475481367
61.9969.0627	3.5335473064480274
61.9970.0627	4.495745352500819
61.9971.0627	3.7679792396304945
61.9972.0627	3.2740724166536905
61.9973.0627	4.967244845933454
61.9974.0627	4.6574097470504485
61.9975.0627	5.301782647582115
71.100.0801	4.943413612737142
71.101.0801	4.209448842850029
71.102.0801	3.8776838761216306
71.103.0801	3.692266673690853
71.104.0801	4.195967676509855
71.105.0801	4.324869336127665
71.106.0801	5.765419911250944
71.107.0801	4.4109243890716
71.108.0801	4.13977719892508
71.109.0801	4.170490632527325
71.110.0801	3.8812131097697655
71.111.0801	4.319594216485093
71.112.0801	3.8397681207064918
71.113.0801	0.9999600977330682
71.114.0801	4.5618626785619805
71.115.0801	4.447779986499856
71.116.0801	4.376724106860168
71.117.0801	4.702968826793963
71.118.0801	4.40709398590969
71.98.0801	4.356122390270862
71.99.0801	4.186974905386197
AM.chow.3.3.0412	4.114826735019655
AM.chow.3.4.0412	3.826489208861668
AM.chow.4.1.0412	3.3623180929802583
AM.chow.4.2.0412	2.5094028555698475
AM.chow.4.3.0412	3.1487013740910283
AM.chow.4.4.0412	3.3265023589392877
AM.hfd.3.1.0412	2.230952849596001
AM.hfd.3.2.0412	2.048911620484189
AM.hfd.3.3.0412	2.3626253769511787
AM.hfd.3.4.0412	1.9501608698496897
AM.hfd.4.1.0412	2.1374575961156346
AM.hfd.4.2.0412	1.895119181793608
AM.hfd.4.3.0412	2.021290260441161
AM.hfd.4.4.0412	2.226311488718691
AM.LF.1.0107	6.685661129195791
AM.LF.1.0127	2.720048060363412
AM.LF.2.0107	6.255169847956011
AM.LF.2.0127	2.2009047135278372
AM.LF.3.0107	6.934004483019277
AM.LF.3.0127	2.405158888661045
AM.LF.6.0107	6.871969606747666
AM.LF.6.0127	1.5446786919145135
AM.LF.7.0107	5.755476519952528
AM.LF.7.0127	1.6285876177023864
AM.S3.CH.1.0108	5.178921359798427
AM.S3.CH.1.0127	3.155372566790325
AM.S3.CH.2.0108	5.576538928097478
AM.S3.CH.2.0127	2.725683556458029
AM.S3.CH.3.0108	5.757756967770546
AM.S3.CH.3.0127	2.8573096416563657
AM.S3.CH.4.0108	5.6981032367986355
AM.S3.CH.4.0127	2.9257467991439534
AM.S3.CH.5.0108	4.883266160047776
AM.S3.CH.5.0127	3.1354045330424034
AM.S3.HFD.1.0108	4.961967038217649
AM.S3.HFD.1.0127	0.32257767161098033
AM.S3.HFD.2.0108	6.192489118139325
AM.S3.HFD.3.0108	5.629433775159911
AM.S3.HFD.3.0127	1.7923298150430516
AM.S3.HFD.4.0108	5.868472718513383
AM.S3.HFD.4.0127	0.6251279391316412
AM.S3.HFD.5.0108	6.030099431854566
AM.S3.HFD.5.0127	1.444551711823607
AM.S6.chow_3.1.0326	5.845846564957515
AM.S6.chow_3.2.0326	5.792240634970915
AM.S6.chow_3.3.0326	5.551084194677067
AM.S6.chow_3.4.0326	5.108777018109004
AM.S6.chow_4.1.0326	6.091321781510307
AM.S6.chow_4.2.0326	5.450976043450273
AM.S6.chow_4.3.0326	5.849313109628016
AM.S6.chow_4.4.0326	4.533192118397728
AM.S6.hfd_3.1.0326	5.723394962277229
AM.S6.hfd_3.2.0326	5.544337132533722
AM.S6.hfd_3.3.0326	5.700503531725508
AM.S6.hfd_3.4.0326	5.8451955058981
AM.S6.hfd_4.1.0326	5.941442952871233
AM.S6.hfd_4.2.0326	5.68633770342663
AM.S6.hfd_4.3.0326	5.799915037797091
