	shannon_entropy
2_0418_9740	3.942685526228624
2_0418_9741	3.7197149782696535
2_0418_9742	3.5064519447693625
2_0418_9743	3.8691219071660923
2_0418_9744	3.3100565886064843
2_0418_9745	3.2439820021331585
2_0418_9746	3.170924864850233
2_0418_9747	3.970993352019148
2_0418_9748	3.8904690127225754
2_0418_9749	3.339357735447446
2_0418_9750	3.6698659734467136
2_0418_9751	3.6760522161009384
2_0418_9752	3.6388921052143584
2_0418_9753	3.756151205851053
2_0418_9754	3.022789573407384
3_0516_9831	5.461516393070992
3_0516_9832	4.923927499757307
3_0516_9833	4.3454358769165005
3_0516_9834	4.296039644115392
3_0516_9835	4.221469958233533
3_0516_9836	3.9053257835033333
3_0516_9837	4.4309995737764485
3_0516_9838	3.5368454605035584
3_0516_9839	4.6035491770108585
3_0516_9840	4.222773258823493
3_0516_9841	3.7080791097386174
3_0516_9842	4.462690517650986
3_0516_9843	4.133783177364218
3_0516_9844	4.308446912298891
3_0516_9845	5.8333901786201645
3_0516_9846	4.389244690019491
3_0516_9847	4.072827576321357
3_0516_9849	4.904223716707624
3_0516_9851	3.6373707952666434
41.9871.0530	3.216988646072945
41.9872.0530	3.82546965106415
41.9873.0530	4.788110634082542
41.9874.0530	3.6201910747578085
41.9875.0530	2.8519760829275675
41.9876.0530	3.5996805662926383
41.9877.0530	4.54388543076367
41.9878.0530	4.607873074348499
41.9879.0530	2.849119781572869
41.9880.0530	3.4416033865503772
41.9881.0530	3.3848445657406088
41.9882.0530	3.364646806804754
41.9883.0530	4.796206115896857
41.9884.0530	3.7041396671474605
41.9885.0530	3.373231993113624
41.9886.0530	2.394353990328783
41.9887.0530	3.57283851881216
41.9888.0530	2.9635538802368653
41.9889.0530	4.606126689122981
41.9890.0530	3.942931698818415
51.9939.0613	3.448130772575786
51.9940.0613	4.658198311969018
51.9941.0613	3.559148111550422
51.9942.0613	4.010844774660314
51.9943.0613	3.7234346061928103
51.9944.0613	2.975009101934237
51.9945.0613	3.610512667482549
51.9946.0613	3.0899041662009763
51.9947.0613	3.988914243265804
51.9948.0613	3.337346270465768
51.9949.0613	3.362752731537532
51.9950.0613	3.903290526663051
51.9951.0613	4.7335639867993144
51.9952.0613	4.379693878832394
51.9953.0613	3.5178115615266736
61.9961.0627	4.377238448021
61.9962.0627	4.640028432744492
61.9963.0627	4.376056555195126
61.9964.0627	3.5128245949446333
61.9965.0627	3.6635522905624303
61.9966.0627	4.503420931500091
61.9967.0627	5.328992406096127
61.9968.0627	3.8788046654605077
61.9969.0627	3.553917010332599
61.9970.0627	4.578798902923834
61.9971.0627	3.663272288351341
61.9972.0627	3.272577759889388
61.9973.0627	5.019175016093557
61.9974.0627	4.617610466198576
61.9975.0627	5.237690096746096
71.100.0801	4.966167861644614
71.101.0801	4.262145164567371
71.102.0801	3.81807482246247
71.103.0801	3.659362700393645
71.104.0801	4.305887746728891
71.105.0801	4.368431436355479
71.106.0801	5.867487507732445
71.107.0801	4.482775220858965
71.108.0801	4.099800700878493
71.109.0801	4.092321184104661
71.110.0801	3.8713993962838513
71.111.0801	4.429579611561434
71.112.0801	3.891165903185472
71.113.0801	0.9996261942778017
71.114.0801	4.633383989772715
71.115.0801	4.468757974157756
71.116.0801	4.416669947183798
71.117.0801	4.819088108738544
71.118.0801	4.493507032331585
71.98.0801	4.339981504805218
71.99.0801	4.153021300616166
AM.LF.1.0107	6.734370826994672
AM.LF.2.0107	6.300395309547221
AM.LF.3.0107	6.887629301951181
AM.LF.6.0107	6.919992076378448
AM.LF.7.0107	5.796529072686436
AM.S3.CH.1.0108	5.033094462703404
AM.S3.CH.2.0108	5.692999745113899
AM.S3.CH.3.0108	5.767198392816776
AM.S3.CH.4.0108	5.560792433128365
AM.S3.CH.5.0108	4.871488749783156
AM.S3.HFD.1.0108	4.979223035002663
AM.S3.HFD.2.0108	6.199389097624568
AM.S3.HFD.3.0108	5.5859323209063545
AM.S3.HFD.4.0108	5.86333349345486
AM.S3.HFD.5.0108	6.005893981378063
AM.S6.chow_3.1.0326	5.839105594388405
AM.S6.chow_3.2.0326	5.71046824866421
AM.S6.chow_3.3.0326	5.598486324113816
AM.S6.chow_3.4.0326	5.082806302979238
AM.S6.chow_4.1.0326	6.017650576370333
AM.S6.chow_4.2.0326	5.419084335183449
AM.S6.chow_4.3.0326	5.829828897265345
AM.S6.chow_4.4.0326	4.5331524665705265
AM.S6.hfd_3.1.0326	5.748332217389803
AM.S6.hfd_3.2.0326	5.542030453462765
AM.S6.hfd_3.3.0326	5.632017340352232
AM.S6.hfd_3.4.0326	5.821731438817627
AM.S6.hfd_4.1.0326	5.967321819031441
AM.S6.hfd_4.2.0326	5.706662897370662
AM.S6.hfd_4.3.0326	5.725125293904401
AM.S6.hfd_4.4.0326	5.539138019986954
CDD02.CR.Chow.1.00	4.594547835421193
CDD02.CR.Chow.2.00	4.065812164792288
CDD02.CR.Chow.3.00	4.774042283194106
CDD02.CR.Chow.4.00	4.669224386392629
CDD02.CR.Chow.5.00	4.4503765111557465
CDD02.CR.HFHF.1.00	5.580483339485681
CDD02.CR.HFHF.2.00	5.537309516019459
CDD02.CR.HFHF.3.00	4.755195468650145
CDD02.CR.HFHF.4.00	4.125625256405415
CDD02.CR.HFHF.5.00	4.362387110918615
CDD02.CR.HFLF.1.00	4.609176540056935
CDD02.CR.HFLF.2.00	4.213255069406558
CDD02.CR.HFLF.3.00	4.434317587730752
CDD02.CR.HFLF.4.00	4.813460039479809
CDD02.CR.HFLF.5.00	5.420279431484616
CDD02.CR.LFHF.1.00	4.197183147080908
CDD02.CR.LFHF.2.00	5.527185155843106
CDD02.CR.LFHF.3.00	3.9417720893889405
CDD02.CR.LFHF.4.00	4.259498496927999
CDD02.CR.LFHF.5.00	4.474602808684799
CDD02.CR.LFLF.1.00	4.456555836718383
CDD02.CR.LFLF.2.00	5.992964653699164
CDD02.CR.LFLF.3.00	3.9775314419806316
CDD02.CR.LFLF.4.00	4.447795763600797
CDD02.CR.LFLF.5.00	4.07837889115426
CDD02.Tc.Chow.1.00	6.489885687649862
CDD02.Tc.Chow.2.00	6.585228891151796
CDD02.Tc.Chow.3.00	4.619362729800261
CDD02.Tc.Chow.4.00	6.310436339474769
CDD02.Tc.Chow.5.00	5.46583861122952
CDD02.Tc.HFHF.1.00	6.545666991095376
CDD02.Tc.HFHF.2.00	6.408878698626562
CDD02.Tc.HFHF.3.00	5.457438447348789
CDD02.Tc.HFHF.4.00	5.431222729872986
CDD02.Tc.HFHF.5.00	6.191909658589809
CDD02.Tc.HFLF.1.00	5.5762289040084685
CDD02.Tc.HFLF.2.00	5.6845718971690875
CDD02.Tc.HFLF.3.00	6.62606285473856
CDD02.Tc.HFLF.4.00	6.134901964806459
CDD02.Tc.HFLF.5.00	5.719950685884601
CDD02.Tc.LFHF.1.00	4.908857195784179
CDD02.Tc.LFHF.2.00	4.807582491265636
CDD02.Tc.LFHF.3.00	5.190256947653492
CDD02.Tc.LFHF.4.00	5.999337035676047
CDD02.Tc.LFHF.5.00	5.428761099732973
CDD02.Tc.LFLF.1.00	6.340038071368501
CDD02.Tc.LFLF.2.00	5.288137876792395
CDD02.Tc.LFLF.3.00	5.2843091933203965
CDD02.Tc.LFLF.4.00	5.622919614617042
CDD02.Tc.LFLF.5.00	4.765367123892189
