	shannon_entropy
1_0403_9685	3.3331639019330326
1_0403_9686	3.4692959640758003
1_0403_9687	5.134845743353243
1_0403_9688	3.070888940675985
1_0403_9689	3.1238462078352907
1_0403_9690	3.444020988573641
1_0403_9691	3.034433672090527
1_0403_9692	3.3490582772042155
1_0403_9693	3.551268050291717
1_0403_9694	2.7779411356382395
1_0403_9695	4.571890875503388
1_0403_9696	3.714843390810678
1_0403_9697	3.3354349255300004
1_0403_9698	2.745172401187166
1_0403_9699	3.202297865337164
1_0410_9685	3.49315873888075
1_0410_9686	4.421514037604157
1_0410_9687	3.921336670181912
1_0410_9688	3.490602149229682
1_0410_9689	4.169815697757883
1_0410_9690	3.6057783283485336
1_0410_9691	3.8091963684833363
1_0410_9692	4.4045075197768355
1_0410_9693	4.436485381004789
1_0410_9694	3.843215521296987
1_0410_9695	3.923714268228954
1_0410_9696	3.6841032113269323
1_0410_9697	3.678182383925633
1_0410_9698	4.006774210685687
1_0410_9699	4.9419121742463945
1_0415_9687	0.7836684392856379
1_0415_9689	1.4595719895286954
1_0415_9690	2.4610795730938997
1_0415_9691	0.6734642039073943
1_0415_9693	0.9410172769996243
1_0415_9694	0.7871085315638653
1_0415_9695	2.2175207519283395
1_0415_9696	1.332479816742131
1_0415_9698	0.7740591378519082
1_0415_9699	1.2394692730989605
1_0415_9735	1.0913257885524748
1_0415_9736	0.8438472172837558
1_0415_9737	1.807289997490221
1_0415_9738	2.870574682433115
1_0415_9739	3.016548456478682
1_0418_9687	2.417858703648076
1_0418_9689	2.532501619548442
1_0418_9690	3.0316427808098916
1_0418_9691	2.310702575985838
1_0418_9692	2.196225917277635
1_0418_9693	2.607600542800307
1_0418_9694	2.574926579125637
1_0418_9695	3.1505509248412644
1_0418_9696	2.839678679659705
1_0418_9698	2.0422525174629507
1_0418_9699	2.0867301407063863
1_0418_9736	2.226071782989139
1_0418_9737	2.663432497974916
1_0418_9738	3.1002765925485374
1_0418_9739	2.732282538947431
1_0421_9685	3.952544675115774
1_0421_9686	3.3078258556171853
1_0421_9687	3.221698294808703
1_0421_9688	3.684340122522941
1_0421_9689	4.063364928497579
1_0421_9690	3.750151749500531
1_0421_9691	3.153977201444914
1_0421_9692	3.107121498794472
1_0421_9693	3.563083229058912
1_0421_9694	3.310340806072227
1_0421_9695	3.84083063085922
1_0421_9696	3.2196787120972146
1_0421_9697	3.0775549041988253
1_0421_9698	2.544593508721322
1_0421_9699	3.0294222532642103
2_0418_9740	3.9489643760846254
2_0418_9741	3.7377918433165735
2_0418_9742	3.547381261875332
2_0418_9743	3.858141598487423
2_0418_9744	3.3749624736312036
2_0418_9745	3.2757039295317703
2_0418_9746	3.216526342073486
2_0418_9747	3.9361825706468965
2_0418_9748	3.967696511887843
2_0418_9749	3.320900520631881
2_0418_9750	3.738878448216069
2_0418_9751	3.7721826534736285
2_0418_9752	3.6792801820340943
2_0418_9753	3.7533844352344214
2_0418_9754	3.0255068146280775
2_0425_9740	4.0812749371335055
2_0425_9741	3.3228604244523856
2_0425_9742	3.71465795038616
2_0425_9743	5.183571777025644
2_0425_9744	4.047156682293833
2_0425_9745	4.096352744126519
2_0425_9746	4.622479460133462
2_0425_9747	4.0985256119315805
2_0425_9748	3.604996543341821
2_0425_9749	3.8698984511114762
2_0425_9750	4.279158665733874
2_0425_9755	4.731156260905468
2_0425_9756	3.978940030334118
2_0425_9757	3.930304763930721
2_0425_9758	3.874306458176835
2_0430_9740	3.157971108758727
2_0430_9741	3.2856588912286253
2_0430_9742	2.911834166568753
2_0430_9743	3.089270091812599
2_0430_9744	3.1498328040650607
2_0430_9745	0.41131430146307896
2_0430_9746	1.2382967563445444
2_0430_9747	1.2285641095775743
2_0430_9748	1.102527316044462
2_0430_9749	0.9832146225063003
2_0430_9750	1.366746739279034
2_0430_9755	0.7097837721425496
2_0430_9756	1.3262865991856558
2_0430_9757	1.3175761465417146
2_0430_9758	1.2339574907803201
2_0503_9740	2.2410239578317266
2_0503_9741	2.6368748644444113
2_0503_9742	2.80972555470138
2_0503_9743	2.486370491241839
2_0503_9744	2.623529034942774
2_0503_9745	2.343469760911347
2_0503_9746	2.510838957751864
2_0503_9747	2.035698195774672
2_0503_9748	2.3631934460491593
2_0503_9749	2.5519401897349936
2_0503_9750	1.7937348517402798
2_0503_9755	1.9490528371076012
2_0503_9756	2.2450112136142595
2_0503_9757	2.082024039559099
2_0503_9758	2.2288352687625643
2_0506_9740	4.395230874082823
2_0506_9741	4.066420528336264
2_0506_9742	4.030086166172418
2_0506_9743	3.3770823881525702
2_0506_9746	2.8151597911289197
2_0506_9758	2.5192177509645495
2B_0506_9740	4.048815748633729
3_0516_9831	5.452739619235742
3_0516_9832	4.998902107188571
3_0516_9833	4.369792083786549
3_0516_9834	4.226023138320773
3_0516_9835	4.216770805091756
3_0516_9836	3.938772700845373
3_0516_9837	4.455327063047745
3_0516_9838	3.5152302241751525
3_0516_9839	4.659270114224125
3_0516_9840	4.232083897382074
3_0516_9841	3.733010287889098
3_0516_9842	4.479392725118659
3_0516_9843	4.08261807922133
3_0516_9844	4.393350850305942
3_0516_9845	5.940807300386519
3_0516_9846	4.48948212317324
3_0516_9847	4.032588669658509
3_0516_9849	4.961451404068835
3_0516_9851	3.738519877607105
3_0523_9831	4.827181316975278
3_0523_9832	4.268620614371377
3_0523_9835	3.400978585855143
3_0523_9836	4.3501539492886
3_0523_9837	4.604815529502819
3_0523_9838	3.9468152213234755
