	shannon_entropy
1_0403_9685	3.3320667047194736
1_0403_9686	3.469191873441317
1_0403_9687	5.135645709463906
1_0403_9688	3.0699943809389794
1_0403_9689	3.1241264403423763
1_0403_9690	3.442565088771489
1_0403_9691	3.03507025048179
1_0403_9692	3.347795404468244
1_0403_9693	3.550768186545479
1_0403_9694	2.7773150817364822
1_0403_9695	4.57124739655801
1_0403_9696	3.715044728405606
1_0403_9697	3.3349023703212137
1_0403_9698	2.7452827219140885
1_0403_9699	3.202719217183034
1_0410_9685	3.4946258922843527
1_0410_9686	4.422098954625678
1_0410_9687	3.9208696942329775
1_0410_9688	3.490910121353712
1_0410_9689	4.169863707255592
1_0410_9690	3.6050349938956785
1_0410_9691	3.809650330857428
1_0410_9692	4.40320968940777
1_0410_9693	4.437110565361754
1_0410_9694	3.843110702365609
1_0410_9695	3.9237294938743488
1_0410_9696	3.683761317677074
1_0410_9697	3.678371664962098
1_0410_9698	4.006188872607311
1_0410_9699	4.943127614235614
1_0415_9687	0.7838119608459073
1_0415_9689	1.4592676822135648
1_0415_9690	2.461159163823485
1_0415_9691	0.6739626003631694
1_0415_9693	0.9412663326914879
1_0415_9694	0.7869398665843771
1_0415_9695	2.217332204088599
1_0415_9696	1.3332940707287169
1_0415_9698	0.774479818653909
1_0415_9699	1.239388714518693
1_0415_9735	1.0909909705755838
1_0415_9736	0.8434855457982123
1_0415_9737	1.807085120582379
1_0415_9738	2.8705788412027142
1_0415_9739	3.016591588274319
1_0418_9687	2.417817400695302
1_0418_9689	2.5322086736944907
1_0418_9690	3.032077458474946
1_0418_9691	2.3111111788856364
1_0418_9692	2.1959564286563076
1_0418_9693	2.6080066350477473
1_0418_9694	2.5746100094746733
1_0418_9695	3.1503256293144997
1_0418_9696	2.8397595822792474
1_0418_9698	2.0424804719689114
1_0418_9699	2.0872656731693375
1_0418_9736	2.2260872411008625
1_0418_9737	2.662797541589166
1_0418_9738	3.100454657912803
1_0418_9739	2.731574328669933
2_0418_9740	3.949839534060464
2_0418_9741	3.738010832292137
2_0418_9742	3.5453150610511455
2_0418_9743	3.8580783777126677
2_0418_9744	3.3747478137116786
2_0418_9745	3.2758088366823075
2_0418_9746	3.216811525826854
2_0418_9747	3.9351328846021754
2_0418_9748	3.9680488984929063
2_0418_9749	3.320035609174217
2_0418_9750	3.740063334904194
2_0418_9751	3.7726770520213773
2_0418_9752	3.6789556028122745
2_0418_9753	3.7532526879198973
2_0418_9754	3.025920471721454
2_0425_9740	4.079624800219366
2_0425_9741	3.3217497908475138
2_0425_9742	3.7154456343472497
2_0425_9743	5.183819074787026
2_0425_9744	4.046543566456059
2_0425_9745	4.0974516181227445
2_0425_9746	4.622698399289612
2_0425_9747	4.098679171497731
2_0425_9748	3.604492091598331
2_0425_9749	3.870007695996437
2_0425_9750	4.278926492068562
2_0425_9755	4.732305704210702
2_0425_9756	3.979246760391727
2_0425_9757	3.930615421054179
2_0425_9758	3.874514402670236
2_0430_9740	3.1586256782547095
2_0430_9741	3.28505093646916
2_0430_9742	2.9116905039523013
2_0430_9743	3.0893173468518635
2_0430_9744	3.1495742863228338
2_0430_9745	0.4114487155909399
2_0430_9746	1.238442383157879
2_0430_9747	1.2281496451188507
2_0430_9748	1.102108532571523
2_0430_9749	0.9834063253619691
2_0430_9750	1.366678420601332
2_0430_9755	0.7102383770834223
2_0430_9756	1.32623706816092
2_0430_9757	1.318127722740912
2_0430_9758	1.233541154328355
2_0503_9740	2.2407017258531927
2_0503_9741	2.637290004761105
2_0503_9742	2.808618785423231
2_0503_9743	2.486853823807388
2_0503_9744	2.623939058197197
2_0503_9745	2.343875254335197
2_0503_9746	2.511225650917731
2_0503_9747	2.0359605442201656
2_0503_9748	2.362787163910842
2_0503_9749	2.551974939980923
2_0503_9750	1.7934548412380353
2_0503_9755	1.94891674076006
2_0503_9756	2.245290186812758
2_0503_9757	2.082122943314857
2_0503_9758	2.2291056054360943
3_0516_9831	5.453226436109161
3_0516_9832	4.998868945903081
3_0516_9833	4.369428321807271
3_0516_9834	4.226436502707963
3_0516_9835	4.21793782072816
3_0516_9836	3.938786617134246
3_0516_9837	4.455233630556373
3_0516_9838	3.51537289186027
3_0516_9839	4.657626455018961
3_0516_9840	4.2314436367355395
3_0516_9841	3.7325608126072276
3_0516_9842	4.480126588536386
3_0516_9843	4.081931252540724
3_0516_9844	4.392513117942851
3_0516_9845	5.939819359138434
3_0516_9846	4.489827995527356
3_0516_9847	4.032465799176853
3_0516_9849	4.961796911977965
3_0516_9851	3.7375796832212917
3_0523_9831	4.827404841006297
3_0523_9832	4.269056686870644
3_0523_9835	3.400502184912519
3_0523_9836	4.350137482981042
3_0523_9837	4.604928613346606
3_0523_9838	3.945351765922725
3_0523_9839	4.057461756254193
3_0523_9840	3.989457114867185
3_0523_9841	4.9994978285326335
3_0523_9842	5.021212085520639
3_0523_9843	4.436980792193656
3_0523_9844	4.203619253308824
3_0523_9845	4.320953683205012
3_0523_9846	3.5374278024313033
3_0523_9847	3.806813909064933
3_0523_9848	3.872287518550548
3_0523_9859	4.2804396844005295
33.9831.0528	1.831347329422172
33.9832.0528	1.5719405571660836
33.9833.0528	1.8381569396931041
33.9834.0528	2.0403649101550316
33.9835.0528	1.113138755041387
33.9836.0528	1.1794945084160213
33.9837.0528	1.6262823193644103
33.9838.0528	2.0320983576928566
33.9839.0528	1.661463884391387
33.9840.0528	1.5973890847193446
33.9841.0528	3.864696796207811
33.9842.0528	2.0442456917903464
33.9843.0528	3.1584066702108973
33.9844.0528	3.485383812457999
33.9845.0528	2.429854110568304
33.9846.0528	4.0795933194526866
33.9847.0528	2.5970783931865293
33.9848.0528	2.1312340881971505
33.9849.0528	2.8713625858014193
33.9857.0528	2.6611885505263
34.9831.0531	2.25167491359757
34.9832.0531	2.049981616485021
34.9834.0531	1.495905301444081
34.9835.0531	1.4619972707192712
34.9836.0531	1.6952234175372538
34.9837.0531	1.9575620873140427
34.9838.0531	1.9471010645548847
34.9839.0531	1.858010971520549
34.9840.0531	0.9979546073420896
34.9841.0531	1.1139268285720765
34.9843.0531	1.4952249351325493
34.9844.0531	0.7869064447571206
34.9845.0531	1.087001116471809
34.9846.0531	1.6018596628434292
34.9847.0531	1.27991194906178
34.9848.0531	3.00427127954112
34.9849.0531	2.432560496542767
34.9851.0531	2.19324874050609
41.9871.0530	3.210890691776145
41.9872.0530	3.7718988457540967
41.9873.0530	4.796570862843946
41.9874.0530	3.6813643907993026
41.9875.0530	2.930723338707624
41.9876.0530	3.658980579964159
41.9877.0530	4.61143778436058
41.9878.0530	4.724689227041441
41.9879.0530	2.8780506585853805
41.9880.0530	3.3902388230655607
41.9881.0530	3.4773616265103384
41.9882.0530	3.451817673359693
41.9883.0530	4.840401855344595
41.9884.0530	3.6892801449551134
41.9885.0530	3.412535514738032
41.9886.0530	2.3916549151685014
41.9887.0530	3.5764278641451406
41.9888.0530	2.957734405781675
41.9889.0530	4.6370765040054955
41.9890.0530	3.9222448608808604
42.9871.0606	3.8378020389895813
42.9872.0606	4.138402081026916
42.9873.0606	4.665596675664584
42.9874.0606	3.7211079648403698
42.9875.0606	3.836166801221744
42.9876.0606	4.094833809360228
42.9877.0606	4.554145946261505
42.9878.0606	4.103298829136406
42.9879.0606	4.277703941043
42.9880.0606	4.417555573572636
42.9881.0606	4.457377068164036
42.9882.0606	4.627525288192786
42.9883.0606	4.531947909416181
42.9884.0606	5.142954638321567
42.9885.0606	4.5204848720009165
42.9886.0606	4.3340026595312064
42.9887.0606	3.9268099933107883
42.9888.0606	3.9236950344182753
42.9889.0606	4.460500309844907
42.9890.0606	4.447445540726517
43.9871.0611	1.2123095890682127
43.9872.0611	2.4275333221389763
43.9873.0611	2.179834352311474
43.9874.0611	2.752769307594938
43.9875.0611	2.0570260041913637
43.9876.0611	1.5939163572260087
43.9877.0611	1.843110510605742
43.9878.0611	1.9918887459872008
43.9879.0611	2.1891859644899085
43.9880.0611	2.0210628384213054
43.9881.0611	1.5398057848251208
43.9882.0611	3.409044636047849
43.9883.0611	1.2400126540937537
43.9884.0611	1.639938396322824
43.9885.0611	1.4615851537001079
43.9886.0611	2.234610536520976
43.9887.0611	4.175181839623145
43.9888.0611	2.7771760626399504
43.9889.0611	0.923587969604076
43.9890.0611	2.0676849853371104
44.9871.0614	2.210375539704255
44.9872.0614	2.311199845339291
44.9873.0614	2.4551998459508697
44.9874.0614	1.703319036581247
44.9875.0614	3.183649172678838
44.9876.0614	2.7160904917212085
44.9877.0614	2.688526867963221
44.9878.0614	2.6961165554243776
44.9879.0614	2.6975447942405717
44.9880.0614	2.4994912115706125
44.9881.0614	2.4090200790392915
44.9882.0614	3.255908077125668
44.9883.0614	1.4172544608314825
44.9884.0614	2.1504682816491814
44.9885.0614	1.5968099801307116
44.9886.0614	2.0276091381067936
44.9887.0614	0.5311439092403901
44.9888.0614	1.458634295796451
44.9889.0614	2.057413645524655
44.9890.0614	1.986749138459457
51.9939.0613	3.489080109185894
51.9940.0613	4.686168733174242
51.9941.0613	3.607490844640932
51.9942.0613	4.057526229885158
51.9943.0613	3.7275688877411675
51.9944.0613	3.0263443606402705
51.9945.0613	3.645953493828159
51.9946.0613	3.127690008040833
51.9947.0613	4.008031430543531
51.9948.0613	3.3353480916861513
51.9949.0613	3.432791649117567
51.9950.0613	3.8868447733464095
51.9951.0613	4.745561251903242
51.9952.0613	4.432238444118507
51.9953.0613	3.550526101561753
52.9939.0620	4.118817437230526
52.9940.0620	3.6840827918829575
52.9941.0620	4.530528472712916
52.9942.0620	3.8262977715439037
52.9944.0620	4.5535063215922085
52.9945.0620	4.855623370146458
52.9946.0620	4.5847871038767805
52.9947.0620	4.715479315037691
52.9948.0620	4.678436810006435
52.9949.0620	4.097994394667788
52.9950.0620	5.140055370098455
52.9951.0620	3.876713017846784
52.9952.0620	4.360769996530907
52.9953.0620	3.9129306366508216
53.9939.0625	2.1776977884609834
53.9940.0625	2.1923300906476175
53.9941.0625	2.2338669075737796
53.9942.0625	2.890204298013318
53.9943.0625	3.134031090295433
53.9944.0625	1.097592034594186
53.9945.0625	1.2596173042341916
53.9946.0625	0.5966138949848995
53.9947.0625	1.739293171315574
53.9948.0625	0.6778004000785162
53.9949.0625	3.408659197249703
53.9950.0625	1.4971717079675235
53.9951.0625	1.8318675290135853
53.9952.0625	3.640656889121087
53.9953.0625	1.7128327880449035
54.9939.0628	3.0629911386902817
54.9940.0628	3.1985835941433547
54.9941.0628	3.0079387843096796
54.9942.0628	3.073497766246719
54.9943.0628	1.9281479316247983
54.9944.0628	1.5411130565876094
54.9945.0628	1.9649658330651112
54.9946.0628	1.033856857168757
54.9947.0628	2.245559393062391
