#SampleID	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	study	diet	mouse_sex	experiment_set	vendor
Chow1.050622	3	cecum	9740	0	0	0	46241	2	Chow	Female	second_set_arizona	charles_river
Chow1.070122	3	cecum	9939	0	0	0	33566	5	Chow	Female	second_set_arizona	charles_river
Chow1.081222	3	cecum	117	0	0	0	59401	7	Chow	Female	second_set_arizona	charles_river
Chow2.050622	3	cecum	9741	0	0	0	54150	2	Chow	Female	second_set_arizona	charles_river
Chow2.070122	3	cecum	9943	0	0	0	94765	5	Chow	Female	second_set_arizona	charles_river
Chow2.071522	3	cecum	9965	0	0	0	56664	6	Chow	Female	second_set_arizona	charles_river
Chow2.081222	3	cecum	116	0	0	0	40721	7	Chow	Female	second_set_arizona	charles_river
Chow3.050622	3	cecum	9743	0	0	0	49255	2	Chow	Female	second_set_arizona	charles_river
Chow3.070122	3	cecum	9941	0	0	0	46599	5	Chow	Female	second_set_arizona	charles_river
Chow3.071522	3	cecum	9962	0	0	0	44673	6	Chow	Female	second_set_arizona	charles_river
Chow3.081222	3	cecum	115	0	0	0	52297	7	Chow	Female	second_set_arizona	charles_river
Chow4.050622	3	cecum	9742	0	0	0	52548	2	Chow	Female	second_set_arizona	charles_river
Chow4.081222	3	cecum	114	0	0	0	59885	7	Chow	Female	second_set_arizona	charles_river
W+F2.060322	3	cecum	9837	1	1	1	45394	3	HF/HF	Female	second_set_arizona	charles_river
WDF2.061722	3	cecum	9879	1	1	1	62436	4	HF/HF	Female	second_set_arizona	charles_river
WD+F.081222	3	cecum	103	1	1	1	47099	7	HF/HF	Female	second_set_arizona	charles_river
WDF3.061722	3	cecum	9877	1	1	1	67919	4	HF/HF	Female	second_set_arizona	charles_river
W+F4.060322	3	cecum	9836	1	1	1	35507	3	HF/HF	Female	second_set_arizona	charles_river
WDF4.061722	3	cecum	9878	1	1	1	52312	4	HF/HF	Female	second_set_arizona	charles_river
WD1.060322	3	cecum	9847	1	0	1	39876	3	HF/LF	Female	second_set_arizona	charles_river
WD1.070122	3	cecum	9953	1	0	1	45771	5	HF/LF	Female	second_set_arizona	charles_river
WD1.071522	3	cecum	9974	1	0	1	39923	6	HF/LF	Female	second_set_arizona	charles_river
WD+1.081222	3	cecum	113	1	0	1	67069	7	HF/LF	Female	second_set_arizona	charles_river
WD2.060322	3	cecum	9849	1	0	1	38606	3	HF/LF	Female	second_set_arizona	charles_river
WD2.061722	3	cecum	9886	1	0	1	53594	4	HF/LF	Female	second_set_arizona	charles_river
WD2.070122	3	cecum	9949	1	0	1	47577	5	HF/LF	Female	second_set_arizona	charles_river
WD2.071522	3	cecum	9972	1	0	1	27316	6	HF/LF	Female	second_set_arizona	charles_river
WD3.060322	3	cecum	9846	1	0	1	43097	3	HF/LF	Female	second_set_arizona	charles_river
WD-3.061722	3	cecum	9887	1	0	1	62917	4	HF/LF	Female	second_set_arizona	charles_river
WD3.070122	3	cecum	9950	1	0	1	68711	5	HF/LF	Female	second_set_arizona	charles_river
WD3.071522	3	cecum	9971	1	0	1	45809	6	HF/LF	Female	second_set_arizona	charles_river
WD4.060322	3	cecum	9848	1	0	1	45113	3	HF/LF	Female	second_set_arizona	charles_river
WD4.070122	3	cecum	9952	1	0	1	36640	5	HF/LF	Female	second_set_arizona	charles_river
WD4.071522	3	cecum	9975	1	0	1	25579	6	HF/LF	Female	second_set_arizona	charles_river
WD5.060322	3	cecum	9851	1	0	1	16776	3	HF/LF	Female	second_set_arizona	charles_river
WD5.061722	3	cecum	9888	1	0	1	21191	4	HF/LF	Female	second_set_arizona	charles_river
WD5.071522	3	cecum	9973	1	0	1	29596	6	HF/LF	Female	second_set_arizona	charles_river
CtrlF1.060322	3	cecum	9833	0	1	1	39508	3	LF/HF	Female	second_set_arizona	charles_river
CtrlF2.060322	3	cecum	9834	0	1	1	28228	3	LF/HF	Female	second_set_arizona	charles_river
CtrlF2.061722	3	cecum	9871	0	1	1	45390	4	LF/HF	Female	second_set_arizona	charles_river
CtrlF3.060322	3	cecum	9832	0	1	1	49241	3	LF/HF	Female	second_set_arizona	charles_river
CtrlF3.061722	3	cecum	9872	0	1	1	26272	4	LF/HF	Female	second_set_arizona	charles_river
CtrlF4.060322	3	cecum	9831	0	1	1	52367	3	LF/HF	Female	second_set_arizona	charles_river
CtrlF4.061722	3	cecum	9873	0	1	1	45250	4	LF/HF	Female	second_set_arizona	charles_river
CtrlF5.060322	3	cecum	9835	0	1	1	90641	3	LF/HF	Female	second_set_arizona	charles_river
Ctrl5.061722	3	cecum	9875	0	1	1	43110	4	LF/HF	Female	second_set_arizona	charles_river
CtrlF1.050622	3	cecum	9747	0	0	1	37567	2	LF/LF	Female	second_set_arizona	charles_river
Ctrl1.061722	3	cecum	9884	0	0	1	57181	4	LF/LF	Female	second_set_arizona	charles_river
Ctrl1.070122	3	cecum	9946	0	0	1	57573	5	LF/LF	Female	second_set_arizona	charles_river
Ctrl1.071522	3	cecum	9966	0	0	1	38368	6	LF/LF	Female	second_set_arizona	charles_river
Ctrl1.081222	3	cecum	109	0	0	1	54042	7	LF/LF	Female	second_set_arizona	charles_river
Ctrl2.060322	3	cecum	9842	0	0	1	49318	3	LF/LF	Female	second_set_arizona	charles_river
Ctrl2.061722	3	cecum	9883	0	0	1	35805	4	LF/LF	Female	second_set_arizona	charles_river
Ctrl2.070122	3	cecum	9948	0	0	1	46623	5	LF/LF	Female	second_set_arizona	charles_river
Ctrl2.071522	3	cecum	9969	0	0	1	60968	6	LF/LF	Female	second_set_arizona	charles_river
Ctrl2.081222	3	cecum	106	0	0	1	44192	7	LF/LF	Female	second_set_arizona	charles_river
Ctrl3.061722	3	cecum	9882	0	0	1	58475	4	LF/LF	Female	second_set_arizona	charles_river
Ctrl3.070122	3	cecum	9947	0	0	1	117102	5	LF/LF	Female	second_set_arizona	charles_river
Ctrl3.071522	3	cecum	9968	0	0	1	71359	6	LF/LF	Female	second_set_arizona	charles_river
Ctrl3.081222	3	cecum	108	0	0	1	45245	7	LF/LF	Female	second_set_arizona	charles_river
Ctrl4.070122	3	cecum	9945	0	0	1	112920	5	LF/LF	Female	second_set_arizona	charles_river
Ctrl4.071522	3	cecum	9970	0	0	1	43632	6	LF/LF	Female	second_set_arizona	charles_river
2_0418_9740	-15	colon	9740	0	0	0	39052	2	Chow	Female	second_set_arizona	charles_river
2_0418_9741	-15	colon	9741	0	0	0	38891	2	Chow	Female	second_set_arizona	charles_river
2_0418_9742	-15	colon	9742	0	0	0	42301	2	Chow	Female	second_set_arizona	charles_river
2_0418_9743	-15	colon	9743	0	0	0	38789	2	Chow	Female	second_set_arizona	charles_river
2_0418_9744	-15	colon	9744	0	0	0	32586	2	Chow	Female	second_set_arizona	charles_river
3_0516_9841	-15	colon	9841	0	0	0	22206	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9843	-15	colon	9843	0	0	0	36050	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9844	-15	colon	9844	0	0	0	27826	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9845	-15	colon	9845	0	0	0	39455	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9842	-15	colon	9842	0	0	0	33762	3	LF/LF	Female	second_set_arizona	charles_river
2_0418_9745	-15	colon	9745	0	0	0	37497	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9746	-15	colon	9746	0	0	0	42063	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9747	-15	colon	9747	0	0	0	45562	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9748	-15	colon	9748	0	0	0	37814	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9749	-15	colon	9749	0	0	0	41273	2	LF/HF	Female	second_set_arizona	charles_river
3_0516_9831	-15	colon	9831	0	0	0	45158	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9832	-15	colon	9832	0	0	0	33808	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9833	-15	colon	9833	0	0	0	36151	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9834	-15	colon	9834	0	0	0	37279	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9835	-15	colon	9835	0	0	0	37750	3	LF/HF	Female	second_set_arizona	charles_river
2_0418_9751	-15	colon	9751	0	0	0	44643	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9752	-15	colon	9752	0	0	0	43651	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9753	-15	colon	9753	0	0	0	43057	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9754	-15	colon	9754	0	0	0	40098	2	HF/LF	Female	second_set_arizona	charles_river
3_0516_9848	-15	colon	9848	0	0	0	NA	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9846	-15	colon	9846	0	0	0	34436	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9847	-15	colon	9847	0	0	0	31722	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9849	-15	colon	9849	0	0	0	28320	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9851	-15	colon	9851	0	0	0	30878	3	HF/LF	Female	second_set_arizona	charles_river
2_0418_9750	-15	colon	9750	0	0	0	41920	2	HF/HF	Female	second_set_arizona	charles_river
3_0516_9836	-15	colon	9836	0	0	0	29275	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9837	-15	colon	9837	0	0	0	26365	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9838	-15	colon	9838	0	0	0	38352	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9839	-15	colon	9839	0	0	0	50220	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9840	-15	colon	9840	0	0	0	30026	3	HF/HF	Female	second_set_arizona	charles_river
71.98.0801	-15	colon	98	0	0	0	32748	7	LF/HF	Female	second_set_arizona	charles_river
71.99.0801	-15	colon	99	0	0	0	33187	7	LF/HF	Female	second_set_arizona	charles_river
71.100.0801	-15	colon	100	0	0	0	30063	7	LF/HF	Female	second_set_arizona	charles_river
71.101.0801	-15	colon	101	0	0	0	25965	7	LF/HF	Female	second_set_arizona	charles_river
71.102.0801	-15	colon	102	0	0	0	24226	7	HF/HF	Female	second_set_arizona	charles_river
71.103.0801	-15	colon	103	0	0	0	45540	7	HF/HF	Female	second_set_arizona	charles_river
71.104.0801	-15	colon	104	0	0	0	22024	7	HF/HF	Female	second_set_arizona	charles_river
71.105.0801	-15	colon	105	0	0	0	31391	7	HF/HF	Female	second_set_arizona	charles_river
71.106.0801	-15	colon	106	0	0	0	29259	7	LF/LF	Female	second_set_arizona	charles_river
71.107.0801	-15	colon	107	0	0	0	32465	7	LF/LF	Female	second_set_arizona	charles_river
71.108.0801	-15	colon	108	0	0	0	30241	7	LF/LF	Female	second_set_arizona	charles_river
71.109.0801	-15	colon	109	0	0	0	28931	7	LF/LF	Female	second_set_arizona	charles_river
71.110.0801	-15	colon	110	0	0	0	28581	7	HF/LF	Female	second_set_arizona	charles_river
71.111.0801	-15	colon	111	0	0	0	27952	7	HF/LF	Female	second_set_arizona	charles_river
71.112.0801	-15	colon	112	0	0	0	26701	7	HF/LF	Female	second_set_arizona	charles_river
71.113.0801	-15	colon	113	0	0	0	4	7	HF/LF	Female	second_set_arizona	charles_river
71.114.0801	-15	colon	114	0	0	0	27826	7	Chow	Female	second_set_arizona	charles_river
71.115.0801	-15	colon	115	0	0	0	27182	7	Chow	Female	second_set_arizona	charles_river
71.116.0801	-15	colon	116	0	0	0	28354	7	Chow	Female	second_set_arizona	charles_river
71.117.0801	-15	colon	117	0	0	0	23118	7	Chow	Female	second_set_arizona	charles_river
71.118.0801	-15	colon	118	0	0	0	27701	7	Chow	Female	second_set_arizona	charles_river
61.9961.0627	-15	colon	9961	0	0	0	18700	6	Chow	Female	second_set_arizona	charles_river
61.9962.0627	-15	colon	9962	0	0	0	35472	6	Chow	Female	second_set_arizona	charles_river
61.9963.0627	-15	colon	9963	0	0	0	30837	6	Chow	Female	second_set_arizona	charles_river
61.9964.0627	-15	colon	9964	0	0	0	19244	6	Chow	Female	second_set_arizona	charles_river
61.9965.0627	-15	colon	9965	0	0	0	35385	6	Chow	Female	second_set_arizona	charles_river
61.9966.0627	-15	colon	9966	0	0	0	44681	6	LF/LF	Female	second_set_arizona	charles_river
61.9967.0627	-15	colon	9967	0	0	0	29690	6	LF/LF	Female	second_set_arizona	charles_river
61.9968.0627	-15	colon	9968	0	0	0	41839	6	LF/LF	Female	second_set_arizona	charles_river
61.9969.0627	-15	colon	9969	0	0	0	34281	6	LF/LF	Female	second_set_arizona	charles_river
61.9970.0627	-15	colon	9970	0	0	0	35746	6	LF/LF	Female	second_set_arizona	charles_river
61.9971.0627	-15	colon	9971	0	0	0	28707	6	HF/LF	Female	second_set_arizona	charles_river
61.9972.0627	-15	colon	9972	0	0	0	43798	6	HF/LF	Female	second_set_arizona	charles_river
61.9973.0627	-15	colon	9973	0	0	0	35764	6	HF/LF	Female	second_set_arizona	charles_river
61.9974.0627	-15	colon	9974	0	0	0	32533	6	HF/LF	Female	second_set_arizona	charles_river
61.9975.0627	-15	colon	9975	0	0	0	41796	6	HF/LF	Female	second_set_arizona	charles_river
41.9871.0530	-15	colon	9871	0	0	0	33408	4	LF/HF	Female	second_set_arizona	charles_river
41.9872.0530	-15	colon	9872	0	0	0	31166	4	LF/HF	Female	second_set_arizona	charles_river
41.9873.0530	-15	colon	9873	0	0	0	47626	4	LF/HF	Female	second_set_arizona	charles_river
41.9874.0530	-15	colon	9874	0	0	0	36647	4	LF/HF	Female	second_set_arizona	charles_river
41.9875.0530	-15	colon	9875	0	0	0	29424	4	LF/HF	Female	second_set_arizona	charles_river
41.9876.0530	-15	colon	9876	0	0	0	81632	4	HF/HF	Female	second_set_arizona	charles_river
41.9877.0530	-15	colon	9877	0	0	0	35808	4	HF/HF	Female	second_set_arizona	charles_river
41.9878.0530	-15	colon	9878	0	0	0	44003	4	HF/HF	Female	second_set_arizona	charles_river
41.9879.0530	-15	colon	9879	0	0	0	30920	4	HF/HF	Female	second_set_arizona	charles_river
41.9880.0530	-15	colon	9880	0	0	0	38429	4	HF/HF	Female	second_set_arizona	charles_river
41.9881.0530	-15	colon	9881	0	0	0	41749	4	LF/LF	Female	second_set_arizona	charles_river
41.9882.0530	-15	colon	9882	0	0	0	34891	4	LF/LF	Female	second_set_arizona	charles_river
41.9883.0530	-15	colon	9883	0	0	0	39647	4	LF/LF	Female	second_set_arizona	charles_river
41.9884.0530	-15	colon	9884	0	0	0	38177	4	LF/LF	Female	second_set_arizona	charles_river
41.9885.0530	-15	colon	9885	0	0	0	31885	4	LF/LF	Female	second_set_arizona	charles_river
41.9886.0530	-15	colon	9886	0	0	0	29996	4	HF/LF	Female	second_set_arizona	charles_river
41.9887.0530	-15	colon	9887	0	0	0	31800	4	HF/LF	Female	second_set_arizona	charles_river
41.9888.0530	-15	colon	9888	0	0	0	28541	4	HF/LF	Female	second_set_arizona	charles_river
41.9889.0530	-15	colon	9889	0	0	0	25378	4	HF/LF	Female	second_set_arizona	charles_river
41.9890.0530	-15	colon	9890	0	0	0	35205	4	HF/LF	Female	second_set_arizona	charles_river
51.9939.0613	-15	colon	9939	0	0	0	40213	5	Chow	Female	second_set_arizona	charles_river
51.9940.0613	-15	colon	9940	0	0	0	34358	5	Chow	Female	second_set_arizona	charles_river
51.9941.0613	-15	colon	9941	0	0	0	36224	5	Chow	Female	second_set_arizona	charles_river
51.9942.0613	-15	colon	9942	0	0	0	52045	5	Chow	Female	second_set_arizona	charles_river
51.9943.0613	-15	colon	9943	0	0	0	56518	5	Chow	Female	second_set_arizona	charles_river
51.9944.0613	-15	colon	9944	0	0	0	44289	5	LF/LF	Female	second_set_arizona	charles_river
51.9945.0613	-15	colon	9945	0	0	0	37021	5	LF/LF	Female	second_set_arizona	charles_river
51.9946.0613	-15	colon	9946	0	0	0	25344	5	LF/LF	Female	second_set_arizona	charles_river
51.9947.0613	-15	colon	9947	0	0	0	52817	5	LF/LF	Female	second_set_arizona	charles_river
51.9948.0613	-15	colon	9948	0	0	0	37663	5	LF/LF	Female	second_set_arizona	charles_river
51.9949.0613	-15	colon	9949	0	0	0	35903	5	HF/LF	Female	second_set_arizona	charles_river
51.9950.0613	-15	colon	9950	0	0	0	32548	5	HF/LF	Female	second_set_arizona	charles_river
51.9951.0613	-15	colon	9951	0	0	0	36291	5	HF/LF	Female	second_set_arizona	charles_river
51.9952.0613	-15	colon	9952	0	0	0	37115	5	HF/LF	Female	second_set_arizona	charles_river
51.9953.0613	-15	colon	9953	0	0	0	64675	5	HF/LF	Female	second_set_arizona	charles_river
CDD02.Tc.HFLF.3.00	-15	colon	CDD02.Tc.HFLF.3	1	0	1	62859	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.4.00	-15	colon	CDD02.Tc.LFLF.4	0	0	1	75937	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.4.00	-15	colon	CDD02.Tc.Chow.4	0	0	0	55839	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.2.00	-15	colon	CDD02.Tc.Chow.2	0	0	0	45329	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.1.00	-15	colon	CDD02.Tc.Chow.1	0	0	0	84825	2	Chow	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.5.00	-15	colon	CDD02.CR.LFLF.5	0	0	1	43404	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.1.00	-15	colon	CDD02.CR.Chow.1	0	0	0	52927	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.LFLF.1.00	-15	colon	CDD02.CR.LFLF.1	0	0	1	53356	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.4.00	-15	colon	CDD02.CR.Chow.4	0	0	0	57656	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.3.00	-15	colon	CDD02.CR.Chow.3	0	0	0	38827	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.5.00	-15	colon	CDD02.CR.Chow.5	0	0	0	29768	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.5.00	-15	colon	CDD02.Tc.HFHF.5	1	1	1	72549	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.2.00	-15	colon	CDD02.CR.LFLF.2	0	0	1	46843	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.3.00	-15	colon	CDD02.CR.HFLF.3	1	0	1	51291	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFLF.2.00	-15	colon	CDD02.Tc.HFLF.2	1	0	1	45775	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.Chow.2.00	-15	colon	CDD02.CR.Chow.2	0	0	0	41773	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.1.00	-15	colon	CDD02.Tc.HFHF.1	1	1	1	87743	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.3.00	-15	colon	CDD02.CR.LFLF.3	0	0	1	67280	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.2.00	-15	colon	CDD02.Tc.LFHF.2	0	1	1	73611	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.4.00	-15	colon	CDD02.Tc.HFLF.4	1	0	1	52843	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.5.00	-15	colon	CDD02.Tc.HFLF.5	1	0	1	41708	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.4.00	-15	colon	CDD02.CR.LFLF.4	0	0	1	46336	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.3.00	-15	colon	CDD02.Tc.LFHF.3	0	1	1	55243	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.4.00	-15	colon	CDD02.Tc.HFHF.4	1	1	1	42595	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.5.00	-15	colon	CDD02.Tc.LFLF.5	0	0	1	24245	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.5.00	-15	colon	CDD02.Tc.Chow.5	0	0	0	39419	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.1.00	-15	colon	CDD02.Tc.HFLF.1	1	0	1	47410	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.2.00	-15	colon	CDD02.CR.HFLF.2	1	0	1	53788	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.Chow.3.00	-15	colon	CDD02.Tc.Chow.3	0	0	0	28490	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.4.00	-15	colon	CDD02.Tc.LFHF.4	0	1	1	49475	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.5.00	-15	colon	CDD02.Tc.LFHF.5	0	1	1	30759	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.3.00	-15	colon	CDD02.Tc.HFHF.3	1	1	1	59529	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.1.00	-15	colon	CDD02.CR.HFLF.1	1	0	1	78937	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFLF.1.00	-15	colon	CDD02.Tc.LFLF.1	0	0	1	58550	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.2.00	-15	colon	CDD02.Tc.LFLF.2	0	0	1	102011	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.3.00	-15	colon	CDD02.Tc.LFLF.3	0	0	1	41523	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.2.00	-15	colon	CDD02.Tc.HFHF.2	1	1	1	52066	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.1.00	-15	colon	CDD02.Tc.LFHF.1	0	1	1	38985	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFHF.1.00	-15	colon	CDD02.CR.HFHF.1	1	1	1	70530	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.2.18	3	colon	CDD02.Tc.LFHF.2	0	1	1	61615	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.5.18	3	colon	CDD02.Tc.LFLF.5	0	0	1	110884	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFHF.2.00	-15	colon	CDD02.CR.LFHF.2	0	1	1	67551	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.5.00	-15	colon	CDD02.CR.HFLF.5	1	0	1	58436	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.2.18	3	colon	CDD02.CR.Chow.2	0	0	0	38539	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.1.18	3	colon	CDD02.Tc.LFHF.1	0	1	1	73245	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFHF.3.00	-15	colon	CDD02.CR.HFHF.3	1	1	1	53938	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.1.18	3	colon	CDD02.CR.Chow.1	0	0	0	70727	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFLF.4.18	3	colon	CDD02.Tc.LFLF.4	0	0	1	63271	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFHF.5.00	-15	colon	CDD02.CR.LFHF.5	0	1	1	51698	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.4.00	-15	colon	CDD02.CR.HFHF.4	1	1	1	58457	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.5.00	-15	colon	CDD02.CR.HFHF.5	1	1	1	58097	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFLF.1.18	3	colon	CDD02.Tc.LFLF.1	0	0	1	63827	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFHF.1.00	-15	colon	CDD02.CR.LFHF.1	0	1	1	62331	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.3.00	-15	colon	CDD02.CR.LFHF.3	0	1	1	41007	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.3.18	3	colon	CDD02.CR.Chow.3	0	0	0	24290	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.4.00	-15	colon	CDD02.CR.HFLF.4	1	0	1	69016	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFLF.3.18	3	colon	CDD02.Tc.HFLF.3	1	0	1	48011	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.5.18	3	colon	CDD02.Tc.Chow.5	0	0	0	55631	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.3.18	3	colon	CDD02.Tc.LFLF.3	0	0	1	53111	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFHF.4.00	-15	colon	CDD02.CR.LFHF.4	0	1	1	40920	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.2.00	-15	colon	CDD02.CR.HFHF.2	1	1	1	56580	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.4.18	3	colon	CDD02.Tc.HFHF.4	1	1	1	25126	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.3.18	3	colon	CDD02.Tc.HFHF.3	1	1	1	31960	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.5.18	3	colon	CDD02.Tc.HFLF.5	1	0	1	51050	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.4.18	3	colon	CDD02.Tc.LFHF.4	0	1	1	41964	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.1.18	3	colon	CDD02.Tc.HFLF.1	1	0	1	48337	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.2.18	3	colon	CDD02.Tc.LFLF.2	0	0	1	49524	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.3.18	3	colon	CDD02.Tc.LFHF.3	0	1	1	44122	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.4.18	3	colon	CDD02.Tc.Chow.4	0	0	0	43285	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.2.18	3	colon	CDD02.Tc.Chow.2	0	0	0	45603	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.2.18	3	colon	CDD02.Tc.HFLF.2	1	0	1	50212	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.4.18	3	colon	CDD02.Tc.HFLF.4	1	0	1	19984	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.1.18	3	colon	CDD02.Tc.Chow.1	0	0	0	27430	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.5.18	3	colon	CDD02.Tc.HFHF.5	1	1	1	26049	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.2.18	3	colon	CDD02.Tc.HFHF.2	1	1	1	38589	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.5.18	3	colon	CDD02.Tc.LFHF.5	0	1	1	4491	2	LF/HF	Female	new_exp_anschutz	taconic
