#SampleID	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	study	diet	mouse_sex	experiment_set	vendor
2_0418_9740	-15	colon	9740	0	0	0	39052	2	Chow	Female	second_set_arizona	charles_river
2_0418_9741	-15	colon	9741	0	0	0	38891	2	Chow	Female	second_set_arizona	charles_river
2_0418_9742	-15	colon	9742	0	0	0	42301	2	Chow	Female	second_set_arizona	charles_river
2_0418_9743	-15	colon	9743	0	0	0	38789	2	Chow	Female	second_set_arizona	charles_river
2_0418_9744	-15	colon	9744	0	0	0	32586	2	Chow	Female	second_set_arizona	charles_river
3_0516_9841	-15	colon	9841	0	0	0	22206	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9843	-15	colon	9843	0	0	0	36050	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9844	-15	colon	9844	0	0	0	27826	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9845	-15	colon	9845	0	0	0	39455	3	LF/LF	Female	second_set_arizona	charles_river
3_0516_9842	-15	colon	9842	0	0	0	33762	3	LF/LF	Female	second_set_arizona	charles_river
2_0418_9745	-15	colon	9745	0	0	0	37497	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9746	-15	colon	9746	0	0	0	42063	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9747	-15	colon	9747	0	0	0	45562	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9748	-15	colon	9748	0	0	0	37814	2	LF/HF	Female	second_set_arizona	charles_river
2_0418_9749	-15	colon	9749	0	0	0	41273	2	LF/HF	Female	second_set_arizona	charles_river
3_0516_9831	-15	colon	9831	0	0	0	45158	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9832	-15	colon	9832	0	0	0	33808	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9833	-15	colon	9833	0	0	0	36151	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9834	-15	colon	9834	0	0	0	37279	3	LF/HF	Female	second_set_arizona	charles_river
3_0516_9835	-15	colon	9835	0	0	0	37750	3	LF/HF	Female	second_set_arizona	charles_river
2_0418_9751	-15	colon	9751	0	0	0	44643	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9752	-15	colon	9752	0	0	0	43651	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9753	-15	colon	9753	0	0	0	43057	2	HF/LF	Female	second_set_arizona	charles_river
2_0418_9754	-15	colon	9754	0	0	0	40098	2	HF/LF	Female	second_set_arizona	charles_river
3_0516_9848	-15	colon	9848	0	0	0	NA	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9846	-15	colon	9846	0	0	0	34436	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9847	-15	colon	9847	0	0	0	31722	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9849	-15	colon	9849	0	0	0	28320	3	HF/LF	Female	second_set_arizona	charles_river
3_0516_9851	-15	colon	9851	0	0	0	30878	3	HF/LF	Female	second_set_arizona	charles_river
2_0418_9750	-15	colon	9750	0	0	0	41920	2	HF/HF	Female	second_set_arizona	charles_river
3_0516_9836	-15	colon	9836	0	0	0	29275	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9837	-15	colon	9837	0	0	0	26365	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9838	-15	colon	9838	0	0	0	38352	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9839	-15	colon	9839	0	0	0	50220	3	HF/HF	Female	second_set_arizona	charles_river
3_0516_9840	-15	colon	9840	0	0	0	30026	3	HF/HF	Female	second_set_arizona	charles_river
71.98.0801	-15	colon	98	0	0	0	32748	7	LF/HF	Female	second_set_arizona	charles_river
71.99.0801	-15	colon	99	0	0	0	33187	7	LF/HF	Female	second_set_arizona	charles_river
71.100.0801	-15	colon	100	0	0	0	30063	7	LF/HF	Female	second_set_arizona	charles_river
71.101.0801	-15	colon	101	0	0	0	25965	7	LF/HF	Female	second_set_arizona	charles_river
71.102.0801	-15	colon	102	0	0	0	24226	7	HF/HF	Female	second_set_arizona	charles_river
71.103.0801	-15	colon	103	0	0	0	45540	7	HF/HF	Female	second_set_arizona	charles_river
71.104.0801	-15	colon	104	0	0	0	22024	7	HF/HF	Female	second_set_arizona	charles_river
71.105.0801	-15	colon	105	0	0	0	31391	7	HF/HF	Female	second_set_arizona	charles_river
71.106.0801	-15	colon	106	0	0	0	29259	7	LF/LF	Female	second_set_arizona	charles_river
71.107.0801	-15	colon	107	0	0	0	32465	7	LF/LF	Female	second_set_arizona	charles_river
71.108.0801	-15	colon	108	0	0	0	30241	7	LF/LF	Female	second_set_arizona	charles_river
71.109.0801	-15	colon	109	0	0	0	28931	7	LF/LF	Female	second_set_arizona	charles_river
71.110.0801	-15	colon	110	0	0	0	28581	7	HF/LF	Female	second_set_arizona	charles_river
71.111.0801	-15	colon	111	0	0	0	27952	7	HF/LF	Female	second_set_arizona	charles_river
71.112.0801	-15	colon	112	0	0	0	26701	7	HF/LF	Female	second_set_arizona	charles_river
71.113.0801	-15	colon	113	0	0	0	4	7	HF/LF	Female	second_set_arizona	charles_river
71.114.0801	-15	colon	114	0	0	0	27826	7	Chow	Female	second_set_arizona	charles_river
71.115.0801	-15	colon	115	0	0	0	27182	7	Chow	Female	second_set_arizona	charles_river
71.116.0801	-15	colon	116	0	0	0	28354	7	Chow	Female	second_set_arizona	charles_river
71.117.0801	-15	colon	117	0	0	0	23118	7	Chow	Female	second_set_arizona	charles_river
71.118.0801	-15	colon	118	0	0	0	27701	7	Chow	Female	second_set_arizona	charles_river
61.9961.0627	-15	colon	9961	0	0	0	18700	6	Chow	Female	second_set_arizona	charles_river
61.9962.0627	-15	colon	9962	0	0	0	35472	6	Chow	Female	second_set_arizona	charles_river
61.9963.0627	-15	colon	9963	0	0	0	30837	6	Chow	Female	second_set_arizona	charles_river
61.9964.0627	-15	colon	9964	0	0	0	19244	6	Chow	Female	second_set_arizona	charles_river
61.9965.0627	-15	colon	9965	0	0	0	35385	6	Chow	Female	second_set_arizona	charles_river
61.9966.0627	-15	colon	9966	0	0	0	44681	6	LF/LF	Female	second_set_arizona	charles_river
61.9967.0627	-15	colon	9967	0	0	0	29690	6	LF/LF	Female	second_set_arizona	charles_river
61.9968.0627	-15	colon	9968	0	0	0	41839	6	LF/LF	Female	second_set_arizona	charles_river
61.9969.0627	-15	colon	9969	0	0	0	34281	6	LF/LF	Female	second_set_arizona	charles_river
61.9970.0627	-15	colon	9970	0	0	0	35746	6	LF/LF	Female	second_set_arizona	charles_river
61.9971.0627	-15	colon	9971	0	0	0	28707	6	HF/LF	Female	second_set_arizona	charles_river
61.9972.0627	-15	colon	9972	0	0	0	43798	6	HF/LF	Female	second_set_arizona	charles_river
61.9973.0627	-15	colon	9973	0	0	0	35764	6	HF/LF	Female	second_set_arizona	charles_river
61.9974.0627	-15	colon	9974	0	0	0	32533	6	HF/LF	Female	second_set_arizona	charles_river
61.9975.0627	-15	colon	9975	0	0	0	41796	6	HF/LF	Female	second_set_arizona	charles_river
41.9871.0530	-15	colon	9871	0	0	0	33408	4	LF/HF	Female	second_set_arizona	charles_river
