Day,status,diet
7,1,Low Fat
8,1,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
16,0,Low Fat
4,1,Western Diet
4,1,Western Diet
4,1,Western Diet
5,1,Western Diet
5,1,Western Diet
5,1,Western Diet
16,0,Western Diet
16,0,Western Diet
16,0,Western Diet
16,0,Western Diet
4,1,Western Diet
4,1,Western Diet
5,1,Western Diet
5,1,Western Diet
6,1,Western Diet
4,1,Western Diet
3,1,Western Diet
4,1,Western Diet
5,1,Western Diet
7,1,Western Diet
5,1,Low Fat
6,1,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
14,0,Low Fat
3,1,Chow
4,1,Chow
5,1,Chow
21,0,Chow
21,0,Chow
4,1,Chow
14,0,Chow
14,0,Chow
14,0,Chow
14,0,Chow
3,1,Chow
15,0,Chow
15,0,Chow
15,0,Chow
15,0,Chow
14,0,Chow
14,0,Chow
14,0,Chow
14,0,Chow
14,0,Chow
