	shannon_entropy
2_0418_9740	3.9495375653550306
2_0418_9741	3.736048058759534
2_0418_9742	3.546744636777577
2_0418_9743	3.8573539929522234
2_0418_9744	3.37460064690372
2_0418_9745	3.2752501453850074
2_0418_9746	3.216731301481053
2_0418_9747	3.93618149128613
2_0418_9748	3.9686069365720393
2_0418_9749	3.3202828559657203
2_0418_9750	3.740276212594401
2_0418_9751	3.7723927576843854
2_0418_9752	3.6795965200984915
2_0418_9753	3.7539114479608644
2_0418_9754	3.0256765552399774
3_0516_9831	5.453422096640723
3_0516_9832	4.998540808126337
3_0516_9833	4.368778873601786
3_0516_9834	4.226561628734085
3_0516_9835	4.2175369428154
3_0516_9836	3.938496799096223
3_0516_9837	4.4553325174103735
3_0516_9838	3.5150479929161764
3_0516_9839	4.658631601798403
3_0516_9840	4.231407273406708
3_0516_9841	3.7329867377409878
3_0516_9842	4.478505854623005
3_0516_9843	4.08261914582917
3_0516_9844	4.391682600270336
3_0516_9845	5.940004627089041
3_0516_9846	4.489566237855424
3_0516_9847	4.031657998528906
3_0516_9849	4.961950405587053
3_0516_9851	3.7382168742624997
41.9871.0530	3.211484534111908
41.9872.0530	3.7716014021579434
41.9873.0530	4.795308679051424
41.9874.0530	3.6818643296391658
41.9875.0530	2.930565432006979
41.9876.0530	3.65886073483844
41.9877.0530	4.611111687570885
41.9878.0530	4.723805386544682
41.9879.0530	2.877832648674624
41.9880.0530	3.3913337711781466
41.9881.0530	3.476430297090471
41.9882.0530	3.452170456345841
41.9883.0530	4.839450828281121
41.9884.0530	3.6886239788162207
41.9885.0530	3.4127984082165717
41.9886.0530	2.39278718444622
41.9887.0530	3.576776042259625
41.9888.0530	2.956787391819613
41.9889.0530	4.637170837410595
41.9890.0530	3.922017087502336
51.9939.0613	3.4887014532065046
51.9940.0613	4.686864843448305
51.9941.0613	3.607225333512477
51.9942.0613	4.058228746494453
51.9943.0613	3.7274250005640597
51.9944.0613	3.02844033773667
51.9945.0613	3.646424179383864
51.9946.0613	3.127344782713876
51.9947.0613	4.0076776461731685
51.9948.0613	3.3352500289887645
51.9949.0613	3.4329808958122237
51.9950.0613	3.8874088335795576
51.9951.0613	4.7470569696230145
51.9952.0613	4.431756547360307
51.9953.0613	3.5508167000988187
61.9961.0627	4.380092394324419
61.9962.0627	4.681597763709931
61.9963.0627	4.378447926287793
61.9964.0627	3.5481342681509607
61.9965.0627	3.7300830713252005
61.9966.0627	4.566811986061928
61.9967.0627	5.354964567426197
61.9968.0627	3.893676743476633
61.9969.0627	3.6152361070548227
61.9970.0627	4.59160949527481
61.9971.0627	3.7614110281260635
61.9972.0627	3.330232599941941
61.9973.0627	5.015330245956631
61.9974.0627	4.671810703699347
61.9975.0627	5.326026375258598
71.100.0801	4.981178052445685
71.101.0801	4.27882234298989
71.102.0801	3.8333363877874924
71.103.0801	3.688319185023107
71.104.0801	4.253714348449752
71.105.0801	4.332499934358405
71.106.0801	5.859511349266065
71.107.0801	4.441094054024465
71.108.0801	4.168407343134487
71.109.0801	4.130681603360364
71.110.0801	3.904609320854299
71.111.0801	4.410075643687323
71.112.0801	3.883560698283544
71.113.0801	0.9999999999273298
71.114.0801	4.582235253942259
71.115.0801	4.5152639919481725
71.116.0801	4.408009686041099
71.117.0801	4.745878309128375
71.118.0801	4.446385348908699
71.98.0801	4.4035399233135974
71.99.0801	4.176268331185851
CDD02.CR.Chow.1.00	4.616527218280901
CDD02.CR.Chow.2.00	4.114445987901569
CDD02.CR.Chow.3.00	4.75918965705914
CDD02.CR.Chow.4.00	4.692749561755867
CDD02.CR.Chow.5.00	4.43670703438404
CDD02.CR.HFHF.1.00	5.622070770289394
CDD02.CR.HFHF.2.00	5.5484300853627255
CDD02.CR.HFHF.3.00	4.740626493290683
CDD02.CR.HFHF.4.00	4.2032292337421095
CDD02.CR.HFHF.5.00	4.392883815177619
CDD02.CR.HFLF.1.00	4.595136090241797
CDD02.CR.HFLF.2.00	4.234821382361044
CDD02.CR.HFLF.3.00	4.454892288531722
CDD02.CR.HFLF.4.00	4.898432088533111
CDD02.CR.HFLF.5.00	5.464957646415867
CDD02.CR.LFHF.1.00	4.186334388270654
CDD02.CR.LFHF.2.00	5.5613004202924605
CDD02.CR.LFHF.3.00	3.975236154550951
CDD02.CR.LFHF.4.00	4.2706490670326165
CDD02.CR.LFHF.5.00	4.49064602527652
CDD02.CR.LFLF.1.00	4.507437006350971
CDD02.CR.LFLF.2.00	6.014266252256028
CDD02.CR.LFLF.3.00	3.978812363993173
CDD02.CR.LFLF.4.00	4.499432348548237
CDD02.CR.LFLF.5.00	4.064785329844996
CDD02.Tc.Chow.1.00	6.524362050050854
CDD02.Tc.Chow.2.00	6.611691357166729
CDD02.Tc.Chow.3.00	4.688573838949545
CDD02.Tc.Chow.4.00	6.298962014889413
CDD02.Tc.Chow.5.00	5.481246313641875
CDD02.Tc.HFHF.1.00	6.607554307124212
CDD02.Tc.HFHF.2.00	6.469546291263402
CDD02.Tc.HFHF.3.00	5.530976592275407
CDD02.Tc.HFHF.4.00	5.518140602514539
CDD02.Tc.HFHF.5.00	6.2664111395008835
CDD02.Tc.HFLF.1.00	5.6236516432969745
CDD02.Tc.HFLF.2.00	5.712828435688309
CDD02.Tc.HFLF.3.00	6.642024835581777
CDD02.Tc.HFLF.4.00	6.258362091043603
CDD02.Tc.HFLF.5.00	5.7638578543331835
CDD02.Tc.LFHF.1.00	4.961936129624009
CDD02.Tc.LFHF.2.00	4.877446351348439
CDD02.Tc.LFHF.3.00	5.282902913739647
CDD02.Tc.LFHF.4.00	6.045996146975835
CDD02.Tc.LFHF.5.00	5.436822333308951
CDD02.Tc.LFLF.1.00	6.3895166638648
CDD02.Tc.LFLF.2.00	5.302784788079876
CDD02.Tc.LFLF.3.00	5.291111335170228
CDD02.Tc.LFLF.4.00	5.687206164427004
CDD02.Tc.LFLF.5.00	4.768400900865635
