	shannon_entropy
2_0418_9740	3.9489670045519403
2_0418_9741	3.737320448021638
2_0418_9742	3.5463066173351523
2_0418_9743	3.8570426144307732
2_0418_9744	3.3748997817332427
2_0418_9745	3.2749125710162748
2_0418_9746	3.2165634911830825
2_0418_9747	3.936148254280958
2_0418_9748	3.967615014746023
2_0418_9749	3.3212809737456834
2_0418_9750	3.7404453822022377
2_0418_9751	3.7734554592447185
2_0418_9752	3.6780218009087267
2_0418_9753	3.7533069445620644
2_0418_9754	3.0257263095428524
2_0425_9740	4.081502585920139
2_0425_9741	3.3213684671482144
2_0425_9742	3.7153153237031113
2_0425_9743	5.18344526573027
2_0425_9744	4.04659391336777
2_0425_9745	4.097530884884333
2_0425_9746	4.62329124091473
2_0425_9747	4.0990051647762815
2_0425_9748	3.6046921229662563
2_0425_9749	3.8704711942724743
2_0425_9750	4.2784697997934895
2_0425_9755	4.731651110386695
2_0425_9756	3.979028149617629
2_0425_9757	3.930586678160235
2_0425_9758	3.874170742768249
2_0430_9740	3.15811064837935
2_0430_9741	3.2855977037351844
2_0430_9742	2.9111811176441993
2_0430_9743	3.089389469305842
2_0430_9744	3.1498319787672515
2_0430_9745	0.41133983840116883
2_0430_9746	1.2381486769356247
2_0430_9747	1.2278444846961099
2_0430_9748	1.1025193949874386
2_0430_9749	0.9833394741060422
2_0430_9750	1.3666595434137407
2_0430_9755	0.7094666605820401
2_0430_9756	1.3265877470169283
2_0430_9757	1.3178377467446394
2_0430_9758	1.2337593993435303
2_0503_9740	2.2401919767814227
2_0503_9741	2.6368000645889844
2_0503_9742	2.808862261576153
2_0503_9743	2.4859752346055113
2_0503_9744	2.6241483251202475
2_0503_9745	2.3439807449297345
2_0503_9746	2.511133523891141
2_0503_9747	2.03564973526897
2_0503_9748	2.3624549134091963
2_0503_9749	2.551783766882619
2_0503_9750	1.7937268702254316
2_0503_9755	1.949024538362635
2_0503_9756	2.2451671082912967
2_0503_9757	2.082492898928481
2_0503_9758	2.2283662038250323
3_0516_9831	5.452990012221057
3_0516_9832	4.9987012601459195
3_0516_9833	4.369306111616985
3_0516_9834	4.226666901108144
3_0516_9835	4.217333295897649
3_0516_9836	3.938711762738952
3_0516_9837	4.455259780376832
3_0516_9838	3.5149960958404503
3_0516_9839	4.6578263581852255
3_0516_9840	4.231625697329503
3_0516_9841	3.7331642485013896
3_0516_9842	4.4796352550698435
3_0516_9843	4.083115641658813
3_0516_9844	4.3926377372268615
3_0516_9845	5.939796223379429
3_0516_9846	4.490092133378716
3_0516_9847	4.032594396117317
3_0516_9849	4.961026877147502
3_0516_9851	3.7371710671074774
3_0523_9831	4.827101494208202
3_0523_9832	4.268775711755045
3_0523_9835	3.40063190788449
3_0523_9836	4.3497551971912145
3_0523_9837	4.6039889101239115
3_0523_9838	3.946324720959855
3_0523_9839	4.0577358462685735
3_0523_9840	3.988347433326107
3_0523_9841	4.999819606759202
3_0523_9842	5.02152015659483
3_0523_9843	4.437018222383003
3_0523_9844	4.203515679377114
3_0523_9845	4.320962350754382
3_0523_9846	3.537955668662344
3_0523_9847	3.8078980779412874
3_0523_9848	3.872237399064139
3_0523_9859	4.281015480949348
33.9831.0528	1.831598290711283
33.9832.0528	1.5720427078263313
33.9833.0528	1.8380846518283867
33.9834.0528	2.040673555485867
33.9835.0528	1.1136205799888834
33.9836.0528	1.1793133879870412
33.9837.0528	1.6264387493449108
33.9838.0528	2.0319371691326746
33.9839.0528	1.6615825265016788
33.9840.0528	1.5976014441078215
33.9841.0528	3.8647135572679474
33.9842.0528	2.0436144173335187
33.9843.0528	3.1584134902687455
33.9844.0528	3.4848987336857626
33.9845.0528	2.430063732563409
33.9846.0528	4.0793345344719585
33.9847.0528	2.596896393278381
33.9848.0528	2.131308117423358
33.9849.0528	2.87077917824258
33.9857.0528	2.6615903887995946
34.9831.0531	2.251737551571169
34.9832.0531	2.0497209722263117
34.9834.0531	1.4959803550357083
34.9835.0531	1.4620520735467724
34.9836.0531	1.6947768956275675
34.9837.0531	1.9576421971390432
34.9838.0531	1.9471508010053529
34.9839.0531	1.8575161531134676
34.9840.0531	0.997839926244125
34.9841.0531	1.1142781569647302
34.9843.0531	1.494941498068979
34.9844.0531	0.7865166522080055
34.9845.0531	1.086279116993879
34.9846.0531	1.601365159172076
34.9847.0531	1.2801833881757552
34.9848.0531	3.004209003585432
34.9849.0531	2.4330659473810825
34.9851.0531	2.193423568754712
41.9871.0530	3.211921600979904
41.9872.0530	3.7705664471913796
41.9873.0530	4.7970407927531244
41.9874.0530	3.6828696575447673
41.9875.0530	2.9306651598097146
41.9876.0530	3.659747311555984
41.9877.0530	4.611446739327284
41.9878.0530	4.72530795479371
41.9879.0530	2.8785920858389358
41.9880.0530	3.3903090227989083
41.9881.0530	3.477258385820244
41.9882.0530	3.45172355970425
41.9883.0530	4.839453594258598
41.9884.0530	3.688444346540984
41.9885.0530	3.4132112922278908
41.9886.0530	2.391820064441268
41.9887.0530	3.5756548100221517
41.9888.0530	2.956255341222492
41.9889.0530	4.637199527054488
41.9890.0530	3.9215055168512216
42.9871.0606	3.836909784343951
42.9872.0606	4.137259284086021
42.9873.0606	4.66553223208244
42.9874.0606	3.720748401330181
42.9875.0606	3.8354489903926283
42.9876.0606	4.094993896701853
42.9877.0606	4.554342701472207
42.9878.0606	4.10301442392857
42.9879.0606	4.278116536470683
42.9880.0606	4.418365059129791
42.9881.0606	4.457092168197044
42.9882.0606	4.628065886230708
42.9883.0606	4.532550744594981
42.9884.0606	5.142889861620929
42.9885.0606	4.521021380324728
42.9886.0606	4.334561212738632
42.9887.0606	3.9267013530576134
42.9888.0606	3.92392316801911
42.9889.0606	4.460818765249498
42.9890.0606	4.447467931299238
43.9871.0611	1.2118054214630265
43.9872.0611	2.427619351164905
43.9873.0611	2.1798552274435345
43.9874.0611	2.7525798786430378
43.9875.0611	2.057390732813845
43.9876.0611	1.5943631045346263
43.9877.0611	1.8430418787461311
43.9878.0611	1.9915887609564136
43.9879.0611	2.1891820064578806
43.9880.0611	2.021265140148244
43.9881.0611	1.5400404465394832
43.9882.0611	3.4094446025034406
43.9883.0611	1.240328895548419
43.9884.0611	1.6398430591256745
43.9885.0611	1.462071910834421
43.9886.0611	2.235316492548219
43.9887.0611	4.174724767478982
43.9888.0611	2.776645625509663
43.9889.0611	0.9230732667322042
43.9890.0611	2.0680190213816356
44.9871.0614	2.210401473213406
44.9872.0614	2.3114567792603173
44.9873.0614	2.455033236428672
44.9874.0614	1.7031688039134507
44.9875.0614	3.183900548577476
44.9876.0614	2.7159121157412303
44.9877.0614	2.6891206802022474
44.9878.0614	2.6960995686918316
44.9879.0614	2.6977218605189455
44.9880.0614	2.499070548824898
44.9881.0614	2.408729308516833
44.9882.0614	3.2559737838198766
44.9883.0614	1.4169419584653036
44.9884.0614	2.1510188786478124
44.9885.0614	1.5975341917788424
44.9886.0614	2.0276528980041877
44.9887.0614	0.5311671079878124
44.9888.0614	1.4585815288125727
44.9889.0614	2.0577639628527575
44.9890.0614	1.986647728791965
51.9939.0613	3.490342810120043
51.9940.0613	4.6860706816719055
51.9941.0613	3.606338228705886
51.9942.0613	4.057241604044518
51.9943.0613	3.728716728417481
51.9944.0613	3.028464463115127
51.9945.0613	3.6451821096508663
51.9946.0613	3.1268093096133716
51.9947.0613	4.008239486931139
51.9948.0613	3.3360530631385528
51.9949.0613	3.433002384112249
51.9950.0613	3.886923431079993
51.9951.0613	4.746950706932591
51.9952.0613	4.432167303188109
51.9953.0613	3.549694125830992
52.9939.0620	4.11861653305835
52.9940.0620	3.6839157510598377
52.9941.0620	4.53262919991029
52.9942.0620	3.8265483786644956
52.9944.0620	4.553672524997735
52.9945.0620	4.855962933743951
52.9946.0620	4.585013279243795
52.9947.0620	4.7161324706709475
52.9948.0620	4.678885363850378
52.9949.0620	4.097949120449688
52.9950.0620	5.139857143340522
52.9951.0620	3.876834569790073
52.9952.0620	4.36276236778212
52.9953.0620	3.9128440698238527
53.9939.0625	2.1786670089100117
53.9940.0625	2.19157286864548
53.9941.0625	2.2335644688243708
53.9942.0625	2.890252140719133
53.9943.0625	3.1349391790408485
53.9944.0625	1.097602351688432
53.9945.0625	1.2593444167650016
53.9946.0625	0.596791055885854
53.9947.0625	1.7397956140356416
53.9948.0625	0.6773719940116015
53.9949.0625	3.4090376188764497
53.9950.0625	1.4966597201956482
53.9951.0625	1.8321619666924545
53.9952.0625	3.6413516019710954
53.9953.0625	1.712624440083857
54.9939.0628	3.06240558498552
54.9940.0628	3.198437981745434
54.9941.0628	3.008027190629212
54.9942.0628	3.074501613764806
54.9943.0628	1.927746441519735
54.9944.0628	1.5410941467923196
54.9945.0628	1.9645964878784015
54.9946.0628	1.0335605682734958
54.9947.0628	2.2462998360879998
54.9948.0628	1.7458358908641718
54.9949.0628	0.8112223794237262
54.9950.0628	2.0301419817155604
54.9951.0628	0.18161013590084404
54.9952.0628	1.180684002547776
54.9953.0628	0.6156344479211767
61.9961.0627	4.3801107958088625
61.9962.0627	4.680627788191386
61.9963.0627	4.379413110005876
61.9964.0627	3.5473781996780125
61.9965.0627	3.7292166144823553
61.9966.0627	4.567594539441578
61.9967.0627	5.354667968906068
61.9968.0627	3.8931611007438582
61.9969.0627	3.6148960162129393
61.9970.0627	4.592125110667844
61.9971.0627	3.7624194145390613
61.9972.0627	3.330214937156259
61.9973.0627	5.015090034462323
61.9974.0627	4.672413386681907
61.9975.0627	5.325658997174247
62.9961.0704	3.7165224196730873
62.9962.0704	4.635681798255941
62.9963.0704	4.288895588840108
62.9964.0704	3.828223042861794
62.9965.0704	3.861945648001327
62.9966.0704	4.802072548125874
62.9967.0704	4.528436752483911
62.9968.0704	4.876068909594662
62.9969.0704	4.558771568416921
62.9970.0704	5.136816055296272
62.9972.0704	4.607404808724398
62.9973.0704	4.095373966143872
62.9974.0704	4.644493117577878
62.9975.0704	4.004958438176494
63.9961.0709	2.9562248052574214
63.9962.0709	3.3475778961003932
63.9963.0709	2.441365189214854
63.9964.0709	3.108872409781078
63.9965.0709	2.8375528384370736
63.9966.0709	4.960891009878701
63.9967.0709	0.03393890824371627
63.9968.0709	0.23526476413082067
63.9969.0709	0.31998347960614176
63.9970.0709	3.52627773089433
63.9971.0709	2.2835053380501362
63.9972.0709	4.351888976436266
63.9973.0709	3.4896037999587586
63.9974.0709	3.817746732443709
63.9975.0709	4.750716767582627
64.9961.0712	2.314183187127285
64.9962.0712	2.58249557528293
64.9963.0712	2.529237656809402
64.9964.0712	2.5926064856604523
64.9965.0712	2.4469655574624842
64.9966.0712	2.018822807170608
64.9967.0712	0.7866682375545121
64.9968.0712	0.7914805578766614
64.9969.0712	1.0149069931351473
64.9970.0712	3.1195008049289834
64.9971.0712	0.8955031836410721
64.9972.0712	1.904937288494556
64.9973.0712	3.0587697208219917
64.9974.0712	3.0704115677624833
64.9975.0712	1.9830563587737837
71.100.0801	4.981345039791123
71.101.0801	4.2788706470121065
71.102.0801	3.833433819456857
71.103.0801	3.6888845380123056
71.104.0801	4.253723925363219
71.105.0801	4.332159690112622
71.106.0801	5.860381601243324
71.107.0801	4.440763150316344
71.108.0801	4.16872566322413
71.109.0801	4.130373621384787
71.110.0801	3.9045537099814736
71.111.0801	4.409765473340692
71.112.0801	3.88360785112096
71.113.0801	0.9999999737661055
71.114.0801	4.581426264631415
71.115.0801	4.514906408936299
71.116.0801	4.408141052426535
71.117.0801	4.745999207265359
71.118.0801	4.446621772686617
71.98.0801	4.4033943849040345
71.99.0801	4.175768116461532
72.100.0808	5.332549784834373
72.101.0808	4.706456837758128
72.103.0808	4.427109141423624
72.105.0808	4.08219342987898
72.108.0808	3.661932666522344
72.111.0808	4.271452314592917
72.112.0808	4.200060102190786
72.113.0808	4.203479198007023
72.114.0808	1.9198762610998235
72.115.0808	4.07990691134047
72.116.0808	5.548124915066736
72.99.0808	4.831363402206126
73.100.0813	1.7678440388593002
73.101.0813	1.764176063412813
73.102.0813	1.9680794341632368
73.103.0813	2.355535347301052
73.104.0813	1.7685402368895384
73.105.0813	2.2733135758598837
73.106.0813	0.7922384836676818
73.107.0813	1.317395440677818
73.111.0813	5.616546057649652
73.112.0813	4.724115642822683
73.113.0813	1.3480080032993802
73.114.0813	1.7556718902759691
73.115.0813	1.6461247413404783
73.117.0813	1.6113356628566073
73.98.0813	2.0617655970520676
74.100.0816	2.3033384339367973
74.101.0816	2.743345286904782
74.102.0816	1.8481603296866707
74.103.0816	2.0595658382153474
74.105.0816	2.033816948872488
74.106.0816	1.7986185308825267
74.107.0816	1.0630143520875348
74.108.0816	1.213835968955913
74.109.0816	1.709045191616196
74.110.0816	6.100064281336728
74.111.0816	1.6222099223227489
74.113.0816	0.9992652984548024
74.114.0816	2.7081995062961806
74.115.0816	2.9913327187803214
74.116.0816	3.5861536581699918
74.117.0816	3.6703647037761264
74.98.0816	1.95564075289074
74.99.0816	1.8464599019506203
Chow1.050622	5.148219470712651
Chow1.070122	2.9827620715609995
Chow1.081222	5.59253984981728
Chow2.050622	4.981958464637506
Chow2.070122	2.5091568832597475
Chow2.071522	2.5991233774240627
Chow2.081222	4.218859499117327
Chow3.050622	5.147340083412781
Chow3.070122	2.756563372575362
Chow3.071522	4.984452086574103
Chow3.081222	3.991617512193464
Chow4.050622	5.271984515603917
Chow4.081222	3.7521198963826015
Ctrl1.061722	3.3034377575060137
Ctrl1.070122	2.150070427195045
Ctrl1.071522	1.9471538113874944
Ctrl1.081222	2.249016405852769
Ctrl2.060322	1.8271445217204352
Ctrl2.061722	2.9025686406974933
Ctrl2.070122	2.7477521216449623
Ctrl2.071522	2.084239168922146
Ctrl2.081222	2.145070761886537
Ctrl3.061722	3.3965779481057448
Ctrl3.070122	2.3868856991847434
Ctrl3.071522	2.351294984542153
Ctrl3.081222	1.9634530417067695
Ctrl4.070122	2.6096006845269724
Ctrl4.071522	1.725462117652427
Ctrl5.061722	2.7704309491881562
CtrlF1.050622	2.8723065366611507
CtrlF1.060322	2.8599304870311655
CtrlF2.060322	1.8236458225784011
CtrlF2.061722	1.8059946935003108
CtrlF3.060322	2.399431482904913
CtrlF3.061722	1.8243488959623266
CtrlF4.060322	2.367929384136674
CtrlF4.061722	1.9796984457977758
CtrlF5.060322	2.5011134411984557
W+F2.060322	2.0458609035897783
W+F4.060322	2.2424603432662398
WD-3.061722	2.0400150698728634
WD+1.081222	1.667024339613701
WD1.060322	1.163439074898879
WD1.070122	2.0262338299625453
WD1.071522	0.6152746187944157
WD2.060322	0.455929174349752
WD2.061722	1.7022424363470263
WD2.070122	2.316933061015529
WD2.071522	0.06980364588455722
WD3.060322	1.018121423066852
WD3.070122	1.9520312339564925
WD3.071522	1.4730189909226055
WD4.060322	1.3295210720513806
WD4.070122	2.0785612244828724
WD4.071522	0.08414325901143832
WD5.060322	0.2282025845002806
WD5.061722	1.5383387970489095
WD5.071522	0.17859550926475481
WDF2.061722	2.5902235318982516
WDF3.061722	2.393775886380625
WDF4.061722	1.9039964206515276
