day_post_inf	term	estimate	std.error	statistic	p.value
-8	(Intercept)	36.297525306185925	6.791876704899588	5.344255628197914	5.916078019319909e-7
-8	seq_depth	3.743914153278888e-4	1.8296152085621356e-4	2.046284997937445	0.043406440231983943
-3	dietHF/LF	14.020180041571543	4.8065610482030126	2.9168837971616206	0.004324092285055816
-3	seq_depth	2.625419646152987e-4	1.0886795101232594e-4	2.4115633864145556	0.01762016800054003
-3	dietLF/LF:seq_depth	-2.9324084770472483e-4	1.2713697227873224e-4	-2.3064954469879164	0.023046635458010972
0	(Intercept)	14.952505021457974	4.070570664329364	3.6733191128427283	3.7871900347382097e-4
3	(Intercept)	26.928583619474548	5.620540053665273	4.791102520818057	9.778553409925121e-6
3	dietHF/LF	-28.84325975916603	7.199807858887156	-4.006115208138931	1.592795491575076e-4
3	dietLF/HF	-17.6618344693522	8.612735808483148	-2.0506648365965328	0.044273994754004585
3	dietLF/LF	-17.249946324678167	7.082190709532018	-2.4356794432916393	0.017572094401704545
