Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	-8	purified_diet	-0.04782874881601157	0.019062074454673245	-2.5091051307002896	0.01369390708033031	*
Bacteroidaceae	-8	seq_depth	-1.4131825355175985e-6	4.5849247053125455e-7	-3.082237171485381	0.0026484955893798312	**
Bacteroidaceae	-8	high_fat	-0.011154382654986908	0.004340143894182716	-2.570049041447131	0.011628025458374481	*
Bacteroidaceae	-8	high_fiber	-0.0086689672608003	0.004859095842265863	-1.7840700291183886	0.07741526652702026	+
Bacteroidaceae	-8	purified_diet:seq_depth	1.3614014358877858e-6	4.991093604232187e-7	2.7276615985189867	0.007523132668415341	**
Bacteroidaceae	-8	high_fat:high_fiber	0.0010707750976459427	0.006794550063924567	0.15759323098245853	0.8750919703999165	ns
Bacteroidaceae	0	purified_diet	0.007224384596266936	0.06478848019202994	0.11150723978790994	0.9114210975846704	ns
Bacteroidaceae	0	seq_depth	4.2318218180219767e-7	1.3358844127975224e-6	0.31678053710949217	0.7520216463946225	ns
Bacteroidaceae	0	high_fat	-0.023952334252109568	0.021801406058950142	-1.0986600674902987	0.27435958424388424	ns
Bacteroidaceae	0	high_fiber	-0.06797360887609238	0.023987156917244158	-2.8337501234765656	0.005491380705553564	**
Bacteroidaceae	0	purified_diet:seq_depth	1.5967064851478776e-6	1.439657261854822e-6	1.1090879249209056	0.26985584246745253	ns
Bacteroidaceae	0	high_fat:high_fiber	0.02724393561870577	0.033677673428998085	0.8089613338683735	0.42031594079205015	ns
Enterobacteriaceae	0	purified_diet	-0.3022486537668061	0.14063354437992756	-2.1491931750668845	0.033851926855763347	*
Enterobacteriaceae	0	seq_depth	-2.2598526358732206e-6	2.8997463638099813e-6	-0.7793276901997721	0.43749110246763956	ns
Enterobacteriaceae	0	high_fat	0.06297767739908988	0.047323366707301716	1.3307945266999104	0.18605944943868377	ns
Enterobacteriaceae	0	high_fiber	0.2311930471360242	0.05206788130962403	4.440223825533138	2.178643955711307e-5	****
Enterobacteriaceae	0	purified_diet:seq_depth	3.5360818672239584e-6	3.1250015871162782e-6	1.131545622825434	0.2603317982056645	ns
Enterobacteriaceae	0	high_fat:high_fiber	-0.26552553973145204	0.07310266526937828	-3.6322278914593435	4.315317945432096e-4	***
Enterococcaceae	3	purified_diet	0.46908449662859836	0.18267931116021405	2.567803073316826	0.012371877610134254	*
Enterococcaceae	3	seq_depth	-3.3325145720355355e-7	2.9909002882227225e-6	-0.11142178778603849	0.9116007568662384	ns
Enterococcaceae	3	high_fat	0.227487854456044	0.061517586429106354	3.697932049369393	4.2856963875383613e-4	***
Enterococcaceae	3	high_fiber	-0.042876793018635215	0.07949750697632277	-0.5393476430827633	0.5913584614978129	ns
Enterococcaceae	3	purified_diet:seq_depth	-5.771265684875445e-6	3.285872452680047e-6	-1.7563876163751406	0.08339583854024343	+
Enterococcaceae	3	high_fat:high_fiber	-0.1907040750117071	0.12039039167399584	-1.5840473011177927	0.11769075562148411	ns
Lachnospiraceae	-3	purified_diet	0.05516373340467264	0.043940649032493645	1.2554146244831215	0.21203775617137424	ns
Lachnospiraceae	-3	seq_depth	6.769748380176017e-7	1.0138556917960668e-6	0.6677230729141802	0.5057347408003309	ns
Lachnospiraceae	-3	high_fat	0.029092283783896052	0.014511000486302451	2.0048434159558806	0.04748172456424963	*
Lachnospiraceae	-3	high_fiber	-0.011616302623646574	0.019169975342591537	-0.6059633575969012	0.5458105451710367	ns
Lachnospiraceae	-3	purified_diet:seq_depth	-1.1677688866531827e-06	1.0543035645295536e-6	-1.1076211121170392	0.2704862257464324	ns
Lachnospiraceae	-3	high_fat:high_fiber	-0.03685947521218664	0.022692015770980494	-1.6243367528117132	0.10721902550642928	ns
Lachnospiraceae	3	purified_diet	-0.3431283228264901	0.12091272531740703	-2.8378181198525354	0.005938300322968006	**
Lachnospiraceae	3	seq_depth	-6.686065193992836e-7	1.979632519439832e-6	-0.3377427440869057	0.7365678216631659	ns
Lachnospiraceae	3	high_fat	0.0049086275861844435	0.04071757761101286	0.12055303567117925	0.9043904302283851	ns
Lachnospiraceae	3	high_fiber	-0.026196089665753073	0.05261822022098927	-0.4978520663704152	0.6201487850512282	ns
Lachnospiraceae	3	purified_diet:seq_depth	1.9628285594226513e-6	2.174870218064772e-6	0.9025037646472541	0.3698844315572267	ns
Lachnospiraceae	3	high_fat:high_fiber	0.012194724547336208	0.07968461380153942	0.15303738031168848	0.8788090938835207	ns
Lactobacillaceae	-8	purified_diet	-0.2928682979738913	0.1398822677826831	-2.0936770801348654	0.03879295440137192	*
Lactobacillaceae	-8	seq_depth	-3.0213388822421837e-6	3.364532369847795e-6	-0.89799667535339045	0.37132303624339436	ns
Lactobacillaceae	-8	high_fat	-0.0859556212954321	0.031849060912287286	-2.6988431945342115	0.008157493993543503	**
Lactobacillaceae	-8	high_fiber	-0.0015687063998899888	0.03565726004301281	-0.04399402528398654	0.9649960277680827	ns
Lactobacillaceae	-8	purified_diet:seq_depth	1.411639448643003e-6	3.6625892619178286e-6	0.3854211727535703	0.7007359378297977	ns
Lactobacillaceae	-8	high_fat:high_fiber	-0.03400807947739173	0.049860106976538136	-0.6820699260311326	0.4967559575805728	ns
Lactobacillaceae	-3	purified_diet	-0.3348226354729522	0.24531376085648826	-1.3648750657278774	0.17512907469133954	ns
Lactobacillaceae	-3	seq_depth	-9.0678238035349e-6	5.660197520895273e-6	-1.6020331039791422	0.11206921811196038	ns
Lactobacillaceae	-3	high_fat	0.1661357442819197	0.08101264276849413	2.0507384848149903	0.042713208173738644	*
Lactobacillaceae	-3	high_fiber	-0.17938245456970253	0.10702296962750164	-1.6761117281089415	0.09660895897287468	+
Lactobacillaceae	-3	purified_diet:seq_depth	8.870449207093833e-6	5.886011658769266e-6	1.5070390140797982	0.1347201923011315	ns
Lactobacillaceae	-3	high_fat:high_fiber	0.1298866688462499	0.12668596966051823	1.0252648276230478	0.30752917366277954	ns
Lactobacillaceae	0	purified_diet	0.007868950583940876	0.12524476285156472	0.06282857985261112	0.9500191408277603	ns
Lactobacillaceae	0	seq_depth	-6.946193639153688e-7	2.582442526542083e-6	-0.2689776662117903	0.7884600397940231	ns
Lactobacillaceae	0	high_fat	0.03102290058369897	0.04214502213342203	0.7360988086680125	0.46326636148637224	ns
Lactobacillaceae	0	high_fiber	-0.05092396323939727	0.046370369712007684	-1.0982005007868294	0.27455925972270673	ns
Lactobacillaceae	0	purified_diet:seq_depth	-2.0850376442424235e-6	2.783049267618432e-6	-0.7491917834522113	0.45537032905210884	ns
Lactobacillaceae	0	high_fat:high_fiber	-0.04035409478347836	0.06510342902789971	-0.6198459188099729	0.5366648243668719	ns
Lactobacillaceae	3	purified_diet	-0.2650938046429406	0.04575623512432933	-5.793610508439448	1.8052681652798862e-7	****
Lactobacillaceae	3	seq_depth	-2.049715143109206e-6	7.49139768221047e-7	-2.7360917549158876	0.007873026038747065	**
Lactobacillaceae	3	high_fat	-0.004018297463718726	0.015408494432425271	-0.26078456148595	0.7950243193948537	ns
Lactobacillaceae	3	high_fiber	0.01019419852454747	0.01991197907362623	0.5119630995419168	0.6102882913177088	ns
