group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-3	Chow	shannon_entropy	23	19	-3.151630711578937	0.001623614736779413	0.005412049122598044	**	2.6011586478568787	1.6871654688926725	0.9139931789642062	0.9139931789642062
HF/HF	-8	Chow	shannon_entropy	22	18	1.918842936826509	0.05500421410120007	0.11000842820240014	ns	3.9356292361992318	4.221167968820514	-0.28553873262128215	0
HF/HF	0	Chow	shannon_entropy	24	18	-3.506927177870187	4.5331318644916595e-4	0.0015110439548305533	**	2.806021956449009	2.110789858565321	0.6952320978836881	0.6952320978836881
HF/HF	3	Chow	shannon_entropy	18	5	-2.909257127087873	0.0036228875823391053	0.009057218955847763	**	4.225562253998687	2.2350966478832306	1.9904656061154564	1.9904656061154564
HF/LF	-3	Chow	shannon_entropy	23	28	-0.9755925965476835	0.32926639480101355	0.47038056400144795	ns	2.6011586478568787	2.6220030403182233	-0.02084439246134462	0
HF/LF	-3	HF/HF	shannon_entropy	19	28	2.363528585110126	0.01810183012352399	0.030169716872539984	*	1.6871654688926725	2.6220030403182233	-0.9348375714255508	-0.9348375714255508
HF/LF	-8	HF/HF	shannon_entropy	18	25	-0.443666732973463	0.6572835505914216	0.7981794658056547	ns	4.221167968820514	4.18713834830315	0.03402962051736402	0
HF/LF	-8	Chow	shannon_entropy	22	25	1.6170358834411134	0.1058705354169495	0.1764508923615825	ns	3.9356292361992318	4.18713834830315	-0.25150911210391813	0
HF/LF	0	Chow	shannon_entropy	24	28	-4.731846253194382	2.2248690603602347e-6	1.1124345301801174e-5	****	2.806021956449009	1.9652189762295358	0.8408029802194734	0.8408029802194734
HF/LF	0	HF/HF	shannon_entropy	18	28	-0.7374869915326239	0.46082625109561276	0.5120291678840142	ns	2.110789858565321	1.9652189762295358	0.1455708823357853	0
HF/LF	3	HF/HF	shannon_entropy	5	23	-0.7437490787640448	0.4570282916831937	0.5078092129813263	ns	2.2350966478832306	1.8013700224884388	0.4337266253947918	0
HF/LF	3	Chow	shannon_entropy	18	23	-5.839578449842101	5.233306961457531e-9	5.233306961457531e-8	****	4.225562253998687	1.8013700224884388	2.424192231510248	2.424192231510248
LF/HF	-3	Chow	shannon_entropy	23	18	-3.312924834669825	9.232578896243117e-4	0.004616289448121559	**	2.6011586478568787	1.6434173448551899	0.9577413030016888	0.9577413030016888
LF/HF	-3	HF/HF	shannon_entropy	19	18	-0.19916792326952992	0.8421313902500648	0.9357015447222943	ns	1.6871654688926725	1.6434173448551899	0.04374812403748263	0
LF/HF	-3	HF/LF	shannon_entropy	28	18	-2.5422027544658232	0.01101562523965319	0.02203125047930638	*	2.6220030403182233	1.6434173448551899	0.9785856954630334	0.9785856954630334
LF/HF	-8	HF/HF	shannon_entropy	18	17	-0.3606494482062632	0.7183615192250892	0.7981794658056547	ns	4.221167968820514	4.1272090485865975	0.09395892023391639	0
LF/HF	-8	Chow	shannon_entropy	22	17	1.5108231347825265	0.13083351874926744	0.18690502678466778	ns	3.9356292361992318	4.1272090485865975	-0.19157981238736577	0
LF/HF	-8	HF/LF	shannon_entropy	25	17	0.048272273731016994	0.961499251142663	0.961499251142663	ns	4.18713834830315	4.1272090485865975	0.059929299716552364	0
LF/HF	0	HF/LF	shannon_entropy	28	17	1.258262768314165	0.20829674131541073	0.2975667733077296	ns	1.9652189762295358	2.204316674137055	-0.23909769790751922	0
LF/HF	0	HF/HF	shannon_entropy	18	17	0.48514708522684985	0.6275720140827621	0.6275720140827621	ns	2.110789858565321	2.204316674137055	-0.09352681557173392	0
LF/HF	0	Chow	shannon_entropy	24	17	-2.931843851386792	0.0033695612003797376	0.008423903000949345	**	2.806021956449009	2.204316674137055	0.6017052823119542	0.6017052823119542
LF/HF	3	Chow	shannon_entropy	18	9	-3.592610535457752	3.273817099915348e-4	0.001636908549957674	**	4.225562253998687	2.2592596578578172	1.9663025961408698	1.9663025961408698
LF/HF	3	HF/HF	shannon_entropy	5	9	0.007216526004038855	0.9942420952957195	0.9942420952957195	ns	2.2350966478832306	2.2592596578578172	-0.024163009974586647	0
LF/HF	3	HF/LF	shannon_entropy	23	9	0.9436352380712807	0.345356078621919	0.4933658266027415	ns	1.8013700224884388	2.2592596578578172	-0.45788963536937843	0
LF/LF	-3	HF/HF	shannon_entropy	19	27	-0.23917247545566295	0.8109718447662886	0.9357015447222943	ns	1.6871654688926725	1.7335503248929238	-0.04638485600025133	0
LF/LF	-3	LF/HF	shannon_entropy	18	27	-0.020078141533757633	0.9839810371599644	0.9839810371599644	ns	1.6434173448551899	1.7335503248929238	-0.09013298003773396	0
LF/LF	-3	Chow	shannon_entropy	23	27	-3.6957427902384796	2.1924484847735853e-4	0.0021924484847735855	**	2.6011586478568787	1.7335503248929238	0.8676083229639548	0.8676083229639548
LF/LF	-3	HF/LF	shannon_entropy	28	27	-2.8700833568495066	0.0041036360346360075	0.010259090086590018	*	2.6220030403182233	1.7335503248929238	0.8884527154252995	0.8884527154252995
LF/LF	-8	HF/HF	shannon_entropy	18	26	2.132817306839263	0.03293971595591217	0.08234928988978042	ns	4.221167968820514	4.534344892703551	-0.3131769238830371	0
LF/LF	-8	Chow	shannon_entropy	22	26	4.362763281255088	1.2842988508984208e-5	1.2842988508984207e-4	***	3.9356292361992318	4.534344892703551	-0.5987156565043192	-0.5987156565043192
LF/LF	-8	LF/HF	shannon_entropy	17	26	2.4877416767088407	0.012855707361706025	0.04285235787235342	*	4.1272090485865975	4.534344892703551	-0.40713584411695347	-0.40713584411695347
LF/LF	-8	HF/LF	shannon_entropy	25	26	2.8243038932506432	0.004738343477029914	0.02369171738514957	*	4.18713834830315	4.534344892703551	-0.3472065444004011	-0.3472065444004011
LF/LF	0	HF/LF	shannon_entropy	28	28	-0.8296387723647182	0.40674304838990205	0.5084288104873775	ns	1.9652189762295358	1.7507117267867034	0.2145072494428324	0
LF/LF	0	LF/HF	shannon_entropy	17	28	-1.9794071790140908	0.0477701808803045	0.095540361760609	ns	2.204316674137055	1.7507117267867034	0.4536049473503516	0
LF/LF	0	HF/HF	shannon_entropy	18	28	-1.4714283725290325	0.14117530509349355	0.2352921751558226	ns	2.110789858565321	1.7507117267867034	0.3600781317786177	0
LF/LF	0	Chow	shannon_entropy	24	28	-5.52893740285767	3.2217626959470785e-8	3.221762695947078e-7	****	2.806021956449009	1.7507117267867034	1.0553102296623058	1.0553102296623058
LF/LF	3	HF/HF	shannon_entropy	5	21	0.8068760444138557	0.41973790169037745	0.5078092129813263	ns	2.2350966478832306	2.689341772185352	-0.4542451243021213	0
LF/LF	3	HF/LF	shannon_entropy	23	21	2.5462057570823386	0.010890097763693317	0.021780195527386633	*	1.8013700224884388	2.689341772185352	-0.8879717496969131	-0.8879717496969131
LF/LF	3	Chow	shannon_entropy	18	21	-3.328652706890092	8.726714936527005e-4	0.0029089049788423352	**	4.225562253998687	2.689341772185352	1.5362204818133351	1.5362204818133351
LF/LF	3	LF/HF	shannon_entropy	9	21	0.9976847200583748	0.31843226488083465	0.4933658266027415	ns	2.2592596578578172	2.689341772185352	-0.4300821143275346	0
