day_post_inf	term	estimate	std.error	statistic	p.value
-8	(Intercept)	3.6756012738547197	0.5675452255520498	6.476314324165923	3.765006637129248e-9
-3	(Intercept)	1.4924371720852243	0.6676511250798095	2.2353548373139067	0.02751091490871475
-3	dietHF/LF	2.066254331408153	0.7028619793199667	2.939772518933655	0.004039897060275787
-3	dietHF/LF:seq_depth	-0.00015318937586576549	2.595229678477828e-5	-5.902729039212251	4.4363096253033116e-8
-3	dietLF/LF:seq_depth	-5.94797564596376e-5	1.859120129431949e-5	-3.199349817045526	0.0018216354293584846
0	(Intercept)	2.2537963600360293	0.5719845749279887	3.940309684609548	1.4685721482357106e-4
3	(Intercept)	4.7518398910107935	0.6481330248931725	7.331581185504331	4.154795544685489e-10
3	dietHF/LF	-5.883509917729546	0.8302464179019751	-7.086462272968452	1.1366612931658306e-9
3	dietLF/HF	-2.8829730419972623	0.9931783171828223	-2.9027748513226657	0.005023984998806656
3	dietLF/LF	-2.620347679602325	0.8166833869364462	-3.2085233047678474	0.002060071630674121
3	dietHF/LF:seq_depth	7.317935488664824e-5	1.6205250591905098e-5	4.515780516421205	2.6705803090275663e-5
