group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	253	171	-0.017649076301093827	0.9859188055356828	0.9859188055356828	ns	0.5161518994652706	0.5332884240137555	-0.01713652454848491	0
HF/HF	-8	Chow	dist	231	153	0.5685059714265697	0.5696914521366595	0.6329905023740662	ns	0.4435531419698922	0.4565553698683049	-0.01300222789841271	0
HF/HF	0	Chow	dist	276	153	1.0971765334679007	0.2725642292758385	0.3028491436398206	ns	0.470767200821458	0.4928191523882494	-0.022051951566791406	0
HF/HF	3	Chow	dist	153	10	-0.9217451232818255	0.3566615377612607	0.4772003513276034	ns	0.5628312651392394	0.5248466219574259	0.03798464318181349	0
HF/LF	-3	Chow	dist	253	378	10.975142230848704	5.032659316832954e-28	5.0326593168329536e-27	****	0.5161518994652706	0.655893617474211	-0.13974171800894042	-0.13974171800894042
HF/LF	-3	HF/HF	dist	171	378	9.692298661188218	3.251273726409738e-22	1.625636863204869e-21	****	0.5332884240137555	0.655893617474211	-0.12260519346045551	-0.12260519346045551
HF/LF	-8	HF/HF	dist	153	300	-0.0018144968564744483	0.9985522417670266	0.9985522417670266	ns	0.4565553698683049	0.4548592205871587	0.0016961492811461976	0
HF/LF	-8	Chow	dist	231	300	0.6749089462983752	0.49973361626736945	0.6246670203342118	ns	0.4435531419698922	0.4548592205871587	-0.011306078617266513	0
HF/LF	0	Chow	dist	276	378	16.45190351383312	8.127329842626151e-61	8.127329842626151e-60	****	0.470767200821458	0.682924167152807	-0.212156966331349	-0.212156966331349
HF/LF	0	HF/HF	dist	153	378	12.43993701885744	1.5862894660444884e-35	7.931447330222443e-35	****	0.4928191523882494	0.682924167152807	-0.1901050147645576	-0.1901050147645576
HF/LF	3	HF/HF	dist	10	253	1.57274423476264	0.11577805278046815	0.2894451319511704	ns	0.5248466219574259	0.5879004103974318	-0.06305378844000586	0
HF/LF	3	Chow	dist	153	253	2.013631075874262	0.04404828125780232	0.1468276041926744	ns	0.5628312651392394	0.5879004103974318	-0.02506914525819237	0
LF/HF	-3	Chow	dist	253	153	0.1861372343716954	0.852337143310472	0.9470412703449689	ns	0.5161518994652706	0.5348393970447531	-0.018687497579482515	0
LF/HF	-3	HF/HF	dist	171	153	0.18700231488691296	0.8516588179465424	0.9470412703449689	ns	0.5332884240137555	0.5348393970447531	-0.0015509730309976044	0
LF/HF	-3	HF/LF	dist	378	153	-9.104911349441533	8.633691734451452e-20	2.8778972448171507e-19	****	0.655893617474211	0.5348393970447531	0.1210542204294579	0.1210542204294579
LF/HF	-8	HF/HF	dist	153	136	1.1569778827849253	0.2472813966791009	0.3532591381130013	ns	0.4565553698683049	0.4903846970904764	-0.03382932722217147	0
LF/HF	-8	Chow	dist	231	136	1.8098066116447784	0.07032578226801932	0.14065156453603864	ns	0.4435531419698922	0.4903846970904764	-0.04683155512058418	0
LF/HF	-8	HF/LF	dist	300	136	1.3207463380900997	0.18658595776727918	0.31097659627879864	ns	0.4548592205871587	0.4903846970904764	-0.035525476503317666	0
LF/HF	0	HF/LF	dist	378	136	-11.161876594118258	6.265486465741631e-29	2.088495488580544e-28	****	0.682924167152807	0.49622672026860526	0.18669744688420176	0.18669744688420176
LF/HF	0	HF/HF	dist	153	136	0.6439694511443982	0.5195952438120643	0.5195952438120643	ns	0.4928191523882494	0.49622672026860526	-0.003407567880355844	0
LF/HF	0	Chow	dist	276	136	1.7799468562984997	0.07508465837020815	0.0938558229627602	ns	0.470767200821458	0.49622672026860526	-0.02545951944714725	0
LF/HF	3	Chow	dist	153	36	0.06369615018567423	0.9492121702307255	0.9492121702307255	ns	0.5628312651392394	0.5634220127483446	-5.907476091051578e-4	0
LF/HF	3	HF/HF	dist	10	36	0.8746575188150159	0.3817602810620827	0.4772003513276034	ns	0.5248466219574259	0.5634220127483446	-0.03857539079091865	0
LF/HF	3	HF/LF	dist	253	36	-1.0914709542604322	0.2750657058609388	0.4584428431015647	ns	0.5879004103974318	0.5634220127483446	0.024478397649087213	0
LF/LF	-3	HF/HF	dist	171	351	6.6068950686307995	3.9246400335550245e-11	7.849280067110049e-11	****	0.5332884240137555	0.6172942322280144	-0.08400580821425885	-0.08400580821425885
LF/LF	-3	LF/HF	dist	153	351	6.145303651260461	7.981068512348706e-10	1.3301780853914511e-9	****	0.5348393970447531	0.6172942322280144	-0.08245483518326124	-0.08245483518326124
LF/LF	-3	Chow	dist	253	351	7.449774097781754	9.35001917452032e-14	2.33750479363008e-13	****	0.5161518994652706	0.6172942322280144	-0.10114233276274376	-0.10114233276274376
LF/LF	-3	HF/LF	dist	378	351	-3.7382753022524278	1.8528698923953903e-4	2.646956989136272e-4	***	0.655893617474211	0.6172942322280144	0.03859938524619666	0.03859938524619666
LF/LF	-8	HF/HF	dist	153	325	-3.99230913546969	6.543299429014817e-5	2.1810998096716058e-4	***	0.4565553698683049	0.4111900936184383	0.04536527624986664	0.04536527624986664
LF/LF	-8	Chow	dist	231	325	-3.859836870705974	1.1346274352027313e-4	2.836568588006828e-4	***	0.4435531419698922	0.4111900936184383	0.03236304835145393	0.03236304835145393
