group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.6889417376884817	0.0912305957237884	0.13032942246255486	ns	0.8063059885218673	0.8207024356639337	-0.014396447142066449	0
HF/HF	0	Chow	dist	200	110	5.577884223515753	2.4346159867630154e-8	4.869231973526031e-8	****	0.7558530475412549	0.8000951559855476	-0.04424210844429266	-0.04424210844429266
HF/LF	-3	Chow	dist	200	295	-7.230839665498505	4.800168033102072e-13	1.600056011034024e-12	****	0.8063059885218673	0.7603820918983066	0.04592389662356067	0.04592389662356067
HF/LF	-3	HF/HF	dist	110	295	-7.723089561780094	1.1354333324854498e-14	5.677166662427249e-14	****	0.8207024356639337	0.7603820918983066	0.060320343765627116	0.060320343765627116
HF/LF	0	Chow	dist	200	295	12.623813360901975	1.56076420959229e-36	1.5607642095922902e-35	****	0.7558530475412549	0.8292562810980167	-0.07340323355676182	-0.07340323355676182
HF/LF	0	HF/HF	dist	110	295	4.423377960345168	9.716953057641119e-6	1.61949217627352e-5	****	0.8000951559855476	0.8292562810980167	-0.029161125112469155	-0.029161125112469155
LF/HF	-3	Chow	dist	200	128	-0.8616485238807153	0.38888096025035235	0.43208995583372484	ns	0.8063059885218673	0.7873434502895542	0.018962538232313086	0
LF/HF	-3	HF/HF	dist	110	128	-2.2922153369431966	0.02189322037355427	0.04378644074710854	*	0.8207024356639337	0.7873434502895542	0.033358985374379535	0.033358985374379535
LF/HF	-3	HF/LF	dist	295	128	5.336153249201334	9.493916886897207e-8	2.3734792217243018e-7	****	0.7603820918983066	0.7873434502895542	-0.02696135839124758	-0.02696135839124758
LF/HF	0	HF/HF	dist	110	116	-3.4592513814909016	5.416790950335003e-4	6.770988687918754e-4	***	0.8000951559855476	0.7578500041578422	0.042245151827705385	0.042245151827705385
LF/HF	0	HF/LF	dist	295	116	-8.709917212274398	3.0409681145865097e-18	1.5204840572932548e-17	****	0.8292562810980167	0.7578500041578422	0.07140627694017454	0.07140627694017454
LF/HF	0	Chow	dist	200	116	1.7286713069804132	0.08386793947129402	0.09318659941254892	ns	0.7558530475412549	0.7578500041578422	-0.0019969566165872754	0
LF/LF	-3	Chow	dist	200	275	1.2879394556310138	0.197767039543712	0.24720879942964	ns	0.8063059885218673	0.8146708148933445	-0.008364826371477174	0
LF/LF	-3	HF/LF	dist	295	275	9.329331912000708	1.0654032894988012e-20	1.0654032894988012e-19	****	0.7603820918983066	0.8146708148933445	-0.05428872299503784	-0.05428872299503784
LF/LF	-3	HF/HF	dist	110	275	-0.7161730714552498	0.4738844885227956	0.4738844885227956	ns	0.8207024356639337	0.8146708148933445	0.006031620770589274	0
LF/LF	-3	LF/HF	dist	128	275	2.0301319830058326	0.04234312529986357	0.07057187549977262	ns	0.7873434502895542	0.8146708148933445	-0.02732736460379026	0
LF/LF	0	HF/HF	dist	110	259	-0.16085507173543942	0.8722075489663323	0.8722075489663323	ns	0.8000951559855476	0.7962460907291231	0.0038490652564244776	0
LF/LF	0	Chow	dist	200	259	6.8394484364088175	7.949866640300024e-12	2.6499555467666748e-11	****	0.7558530475412549	0.7962460907291231	-0.04039304318786818	-0.04039304318786818
LF/LF	0	HF/LF	dist	295	259	-6.01835422468509	1.761992883453149e-9	4.404982208632873e-9	****	0.8292562810980167	0.7962460907291231	0.03301019036889363	0.03301019036889363
LF/LF	0	LF/HF	dist	116	259	3.956873857113083	7.593700386499666e-5	1.0848143409285238e-4	***	0.7578500041578422	0.7962460907291231	-0.03839608657128091	-0.03839608657128091
