term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.8669909398128065	0.0594834976019693	7.462976672005148	0.001	***	-15
Residual	118	13.708327842116105	0.9405165023980306	NA	NA		-15
Total	119	14.575318781928912	1	NA	NA		-15
purified_diet	1	1.7671452922412942	0.12495353205315882	16.960841991043097	0.001	***	-8
high_fat	1	0.2136258423688724	0.015105324762496734	2.050354418241681	0.029	*	-8
high_fiber	1	0.7843258195390985	0.05545909657920581	7.5278622267815205	0.001	***	-8
study	1	0.6112100506554796	0.04321820904659603	5.8663184844053715	0.001	***	-8
high_fat:high_fiber	1	0.13876176258356754	0.0098117412444042	1.3318182380994426	0.168	ns	-8
Residual	102	10.627350924193514	0.7514520963141385	NA	NA		-8
Total	107	14.142419691581827	1	NA	NA		-8
purified_diet	1	1.4093242517278413	0.060339907155869475	8.24927996514841	0.001	***	-3
high_fat	1	0.4267581169964052	0.018271554701486493	2.497968214331666	0.003	**	-3
high_fiber	1	1.5828846489440074	0.06777085730174243	9.265191176314461	0.001	***	-3
study	1	1.0125004734465763	0.043349984567524764	5.926528164165218	0.001	***	-3
high_fat:high_fiber	1	0.30316503536593054	0.012979944157250435	1.7745336102118212	0.036	*	-3
Residual	109	18.621788093910453	0.7972877521161263	NA	NA		-3
Total	114	23.356420620391216	1	NA	NA		-3
purified_diet	1	2.140276803861857	0.09152027348053984	13.538818665160136	0.001	***	0
high_fat	1	0.446147208996599	0.01907767934795772	2.822207926410869	0.006	**	0
high_fiber	1	1.6954195818967475	0.07249775520599806	10.72477085171607	0.001	***	0
study	1	1.618679201092048	0.0692162634729782	10.239331726208816	0.001	***	0
high_fat:high_fiber	1	0.25409310569442756	0.010865263072848163	1.6073250319103414	0.086	+	0
Residual	109	17.23120586741259	0.7368227654196778	NA	NA		0
Total	114	23.385821768954273	1	NA	NA		0
purified_diet	1	2.126714531301113	0.14321208352224868	14.566986918815303	0.001	***	3
high_fat	1	0.36671763977679106	0.024694615325106757	2.5118420845411475	0.03	*	3
high_fiber	1	0.31424183124615324	0.02116091591995458	2.1524076587311196	0.043	*	3
study	1	1.568524651507936	0.10562380615372577	10.743650708201411	0.001	***	3
high_fat:high_fiber	1	0.25422175690741167	0.017119188752203165	1.7412985865493111	0.079	+	3
Residual	70	10.21968496441714	0.6881893903267611	NA	NA		3
Total	75	14.850105375156545	1	NA	NA		3
