term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	1.4023669732986983	0.07600880463204232	9.706844601489182	0.001	***	-15
Residual	118	17.04769259660954	0.9239911953679575	NA	NA		-15
Total	119	18.45005956990824	1	NA	NA		-15
purified_diet	1	11.948613647037245	0.2379431970490456	39.80105812736142	0.001	***	-8
high_fat	1	2.0284088586190396	0.04039348019777138	6.75666828577804	0.001	***	-8
high_fiber	1	3.650783357126466	0.07270124295495276	12.16082843580968	0.001	***	-8
study	1	1.7170875898871394	0.03419386740756276	5.719651249399539	0.001	***	-8
high_fat:high_fiber	1	0.2500894965838434	0.004980250941522519	0.8330528448414798	0.477	ns	-8
Residual	102	30.621261075467682	0.609787961449145	NA	NA		-8
Total	107	50.21624402472141	1	NA	NA		-8
purified_diet	1	7.20253072130589	0.07925750178726242	13.480584214922581	0.001	***	-3
high_fat	1	8.802843887205778	0.0968675375530652	16.475803150865055	0.001	***	-3
high_fiber	1	14.433281269635664	0.1588255378960468	27.01398594211216	0.001	***	-3
study	1	1.6351830164525474	0.017993747734475624	3.0604829348236433	0.041	*	-3
high_fat:high_fiber	1	0.5637031607698475	0.006203056397946353	1.0550524843298676	0.334	ns	-3
Residual	109	58.2375241388491	0.6408526186312036	NA	NA		-3
Total	114	90.87506619421883	1	NA	NA		-3
purified_diet	1	7.392518055335652	0.0850918941647852	12.543889280612424	0.001	***	0
high_fat	1	1.168084291929481	0.013445284029123485	1.9820472427267801	0.104	ns	0
high_fiber	1	4.954760075305314	0.057031977031896476	8.407414270942455	0.001	***	0
study	1	3.722923008240553	0.04285286396726497	6.317189037084286	0.001	***	0
high_fat:high_fiber	1	5.401380505971847	0.062172820535238024	9.165255806235947	0.001	***	0
Residual	109	64.23721144262569	0.7394051602716919	NA	NA		0
Total	114	86.87687737940854	1	NA	NA		0
purified_diet	1	3.2981475562647597	0.08058572363405145	7.202057060219439	0.001	***	3
high_fat	1	2.7362076569227023	0.06685549093378637	5.974967261951304	0.002	**	3
high_fiber	1	0.502499138628095	0.012277879027854472	1.0972909511693598	0.353	ns	3
study	1	1.4972312096435543	0.036582796378357776	3.269454874361792	0.011	*	3
high_fat:high_fiber	1	0.8369436534502448	0.020449573223642797	1.8276065110815527	0.12	ns	3
Residual	70	32.056164927343524	0.7832485368023071	NA	NA		3
Total	75	40.92719414225288	1	NA	NA		3
