group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	253	171	-4.416770335710075	1.001865796765114e-5	1.2224933164784836e-5	****	0.8713289796422534	0.6584411518321612	0.2128878278100922	0.2128878278100922
HF/HF	-8	Chow	dist	231	153	6.144069681709033	8.043352915590491e-10	2.010838228897623e-9	****	0.48348200273816005	0.6838572324696242	-0.2003752297314641	-0.2003752297314641
HF/HF	0	Chow	dist	276	153	-1.3943868657082918	0.16320081217311552	0.2040010152163944	ns	0.8638298125749586	0.793445594006636	0.07038421856832267	0
HF/HF	3	Chow	dist	153	10	1.9912387662622846	0.046454643821643674	0.07742440636940613	ns	0.8383148119910339	1.0517475556051148	-0.21343274361408093	0
HF/LF	-3	Chow	dist	253	378	5.390593527505085	7.022535492814413e-8	1.0032193561163448e-7	****	0.8713289796422534	1.0412334818685296	-0.16990450222627618	-0.16990450222627618
HF/LF	-3	HF/HF	dist	171	378	9.495659976395638	2.1882080757693516e-21	5.470520189423379e-21	****	0.6584411518321612	1.0412334818685296	-0.38279233003636837	-0.38279233003636837
HF/LF	-8	HF/HF	dist	153	300	5.016606308974087	5.259218099948762e-7	8.765363499914605e-7	****	0.6838572324696242	0.8786516124923629	-0.19479438002273874	-0.19479438002273874
HF/LF	-8	Chow	dist	231	300	13.009670212411073	1.0780632924407219e-38	1.078063292440722e-37	****	0.48348200273816005	0.8786516124923629	-0.39516960975420284	-0.39516960975420284
HF/LF	0	Chow	dist	276	378	8.122352613192765	4.572325988869633e-16	2.286162994434816e-15	****	0.8638298125749586	1.1470932542093573	-0.28326344163439865	-0.28326344163439865
HF/LF	0	HF/HF	dist	153	378	8.178173006876042	2.8817981024465906e-16	2.286162994434816e-15	****	0.793445594006636	1.1470932542093573	-0.3536476602027213	-0.3536476602027213
HF/LF	3	HF/HF	dist	10	253	-0.5802896941971664	0.5617192760649844	0.7021490950812305	ns	1.0517475556051148	0.9732935856771395	0.07845396992797526	0
HF/LF	3	Chow	dist	153	253	4.51934851686073	6.203021159337121e-6	3.10151057966856e-5	****	0.8383148119910339	0.9732935856771395	-0.13497877368610567	-0.13497877368610567
LF/HF	-3	Chow	dist	253	153	-7.258827113173633	3.90461150945125e-13	6.507685849085416e-13	****	0.8713289796422534	0.5210929784737265	0.35023600116852693	0.35023600116852693
LF/HF	-3	HF/HF	dist	171	153	-2.7511125533509864	0.0059393232492691225	0.0059393232492691225	**	0.6584411518321612	0.5210929784737265	0.13734817335843474	0.13734817335843474
LF/HF	-3	HF/LF	dist	378	153	-12.328041475499713	6.398299288146686e-35	2.132766429382229e-34	****	1.0412334818685296	0.5210929784737265	0.5201405033948031	0.5201405033948031
LF/HF	-8	HF/HF	dist	153	136	2.28489924339945	0.02231873641956779	0.03188390917081113	*	0.6838572324696242	0.773592442959122	-0.08973521048949784	-0.08973521048949784
LF/HF	-8	Chow	dist	231	136	8.4167273645722709	3.871472400498148e-17	1.2904908001660494e-16	****	0.48348200273816005	0.773592442959122	-0.29011044022096194	-0.29011044022096194
LF/HF	-8	HF/LF	dist	300	136	-2.216148042825746	0.02668136487867874	0.03335170609834842	*	0.8786516124923629	0.773592442959122	0.1050591695332409	0.1050591695332409
LF/HF	0	HF/LF	dist	378	136	-1.2217230931487038	0.2218123602743621	0.24645817808262457	ns	1.1470932542093573	1.0944740074595933	0.052619246749763926	0
LF/HF	0	HF/HF	dist	153	136	5.612748837606552	1.9913754109747743e-8	3.9827508219495485e-8	****	0.793445594006636	1.0944740074595933	-0.3010284134529574	-0.3010284134529574
LF/HF	0	Chow	dist	276	136	4.972222880218887	6.618954638195278e-7	1.1031591063658797e-6	****	0.8638298125749586	1.0944740074595933	-0.23064419488463472	-0.23064419488463472
LF/HF	3	Chow	dist	153	36	2.2325938810554082	0.025575737985997084	0.0639393449649927	ns	0.8383148119910339	0.9747712882189775	-0.13645647622794366	0
LF/HF	3	HF/HF	dist	10	36	-0.6612550618412871	0.5084487552052624	0.7021490950812305	ns	1.0517475556051148	0.9747712882189775	0.07697626738613728	0
LF/HF	3	HF/LF	dist	253	36	-0.27663609357663527	0.7820595471742307	0.863432041285659	ns	0.9732935856771395	0.9747712882189775	-0.0014777025418379885	0
