day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet.y	0.034448642708520986	0.1215824990591698	0.28333553739305917	0.7769711717568415	ns
-8	seq_depth.y	-8.222433960840644e-7	2.8075368087900098e-6	-0.2928700323749039	0.7696748875931623	ns
-8	high_fat.y	0.15491337956271484	0.025765228851388395	6.012497713730461	2.45765677268025e-9	****
-8	high_fiber.y	0.05724326182397261	0.03294398617030353	1.7375936696929835	0.08255296493330692	+
-8	purified_diet.y:seq_depth.y	4.997919562521456e-6	3.0773668904487622e-6	1.6240896001167497	0.1046336143432066	ns
-8	high_fat.y:high_fiber.y	-0.2590773900058272	0.04606040974225093	-5.624730467132104	2.337126305783933e-8	****
-3	purified_diet.y	0.18856526959236306	0.11964808637236136	1.5759990427721668	0.11526951411640761	ns
-3	seq_depth.y	-5.735443932750995e-6	2.6692984022348445e-6	-2.1486709496207133	0.031844868461612434	*
-3	high_fat.y	-0.2408279309901244	0.031728530393727646	-7.590264282701641	6.066941373485138e-14	****
-3	high_fiber.y	-0.6628606424052946	0.04969684163522578	-13.338083882084172	3.953528509394429e-38	****
-3	purified_diet.y:seq_depth.y	3.4905217311260385e-6	2.756737793896218e-6	1.2661783572070275	0.20567624860226708	ns
-3	high_fat.y:high_fiber.y	0.3347742751171433	0.05806706420532815	5.765303958425797	1.017259476597401e-8	****
0	purified_diet.y	-0.12322281817554528	0.11906622234983294	-1.0349099496370995	0.30090138995968974	ns
0	seq_depth.y	-5.207126347310178e-6	2.3428378455266662e-6	-2.222572235313889	0.026414334653151145	*
0	high_fat.y	0.08076539629871336	0.03318154840831476	2.4340454310587525	0.015063611953176504	*
0	high_fiber.y	-0.03592124906540408	0.04479524503653579	-0.8018987067959127	0.4227565477008257	ns
0	purified_diet.y:seq_depth.y	8.54087005301454e-6	2.4980633546286273e-6	3.4189965747623168	6.477721394393661e-4	***
0	high_fat.y:high_fiber.y	-0.3785916672129371	0.06151592803118759	-6.1543681340708565	9.992024357850116e-10	****
3	purified_diet.y	0.03591874624844793	0.09961761778000452	0.3605662035381218	0.7185400048689148	ns
3	seq_depth.y	4.7941960133307685e-6	1.5202373499160686e-6	3.1535838884602154	0.0016865195532250587	**
3	high_fat.y	0.16424075592868742	0.03272107625839179	5.019417901529615	6.687045787100599e-7	****
3	high_fiber.y	0.20269752413604233	0.06473467756699139	3.1312046611536544	0.0018184059124921167	**
3	purified_diet.y:seq_depth.y	-1.6195978365286217e-6	1.8306029160168992e-6	-0.8847346534619365	0.37662441360049226	ns
3	high_fat.y:high_fiber.y	-0.11263294948656759	0.12894082761473205	-0.8735243256163091	0.3826974889518926	ns
