group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.883210548554306	0.05967184007112185	0.05967184007112185	ns	1.251279221896428	1.3132334410042623	-0.061954219107834385	0
HF/HF	0	Chow	dist	200	110	-3.5348313387171166	4.080355123876942e-4	5.829078748395631e-4	***	1.300973192931012	1.1812578874674502	0.1197153054635618	0.1197153054635618
HF/LF	-3	Chow	dist	200	295	15.646653700045299	3.501536625928416e-55	1.7507683129642079e-54	****	1.251279221896428	1.6757708223732233	-0.42449160047679535	-0.42449160047679535
HF/LF	-3	HF/HF	dist	110	295	10.82755457829443	2.548710936252906e-27	8.49570312084302e-27	****	1.3132334410042623	1.6757708223732233	-0.36253738136896096	-0.36253738136896096
HF/LF	0	Chow	dist	200	295	5.245190700540182	1.5612076165789327e-7	3.1224152331578655e-7	****	1.300973192931012	1.4193413409768452	-0.11836814804583318	-0.11836814804583318
HF/LF	0	HF/HF	dist	110	295	8.056422530600043	7.855974462186164e-16	7.855974462186164e-15	****	1.1812578874674502	1.4193413409768452	-0.23808345350939497	-0.23808345350939497
LF/HF	-3	Chow	dist	200	128	-1.9829238806157203	0.04737593273926513	0.052639925265850145	ns	1.251279221896428	1.1730838630201714	0.0781953588762565	0
LF/HF	-3	HF/HF	dist	110	128	-3.4457948223634203	5.69382493236536e-4	7.1172811654567e-4	***	1.3132334410042623	1.1730838630201714	0.1401495779840909	0.1401495779840909
LF/HF	-3	HF/LF	dist	295	128	-15.661434962468542	2.7756325831927626e-55	1.7507683129642079e-54	****	1.6757708223732233	1.1730838630201714	0.5026869593530519	0.5026869593530519
LF/HF	0	HF/HF	dist	110	116	7.095098058013017	1.292598019284503e-12	4.308660064281677e-12	****	1.1812578874674502	1.4135835170211508	-0.23232562955370062	-0.23232562955370062
LF/HF	0	HF/LF	dist	295	116	0.40339814986093886	0.6866553475971807	0.6866553475971807	ns	1.4193413409768452	1.4135835170211508	0.005757823955694352	0
LF/HF	0	Chow	dist	200	116	4.49540136981117	6.943883964243421e-6	1.1573139940405701e-05	****	1.300973192931012	1.4135835170211508	-0.11261032409013882	-0.11261032409013882
LF/LF	-3	Chow	dist	200	275	7.1774147513713125	7.104192668288782e-13	1.1840321113814638e-12	****	1.251279221896428	1.4410096387338067	-0.1897304168373788	-0.1897304168373788
LF/LF	-3	HF/LF	dist	295	275	-9.14027071047292	6.229619013387571e-20	1.557404753346893e-19	****	1.6757708223732233	1.4410096387338067	0.23476118363941656	0.23476118363941656
LF/LF	-3	HF/HF	dist	110	275	3.9308972294886297	8.462944395734477e-5	1.2089920565334968e-4	***	1.3132334410042623	1.4410096387338067	-0.1277761977295444	-0.1277761977295444
LF/LF	-3	LF/HF	dist	128	275	8.331484396239643	7.983496097365878e-17	1.5966992194731757e-16	****	1.1730838630201714	1.4410096387338067	-0.2679257757136353	-0.2679257757136353
LF/LF	0	HF/HF	dist	110	259	2.5163278623434766	0.011858481184707803	0.014823101480884754	*	1.1812578874674502	1.2621848465712622	-0.08092695910381198	-0.08092695910381198
LF/LF	0	Chow	dist	200	259	-1.4153205614159694	0.15697452907466258	0.17441614341629177	ns	1.300973192931012	1.2621848465712622	0.038788346359749815	0
LF/LF	0	HF/LF	dist	295	259	-7.206736588890936	5.730871033242249e-13	2.8654355166211247e-12	****	1.4193413409768452	1.2621848465712622	0.157156494405583	0.157156494405583
LF/LF	0	LF/HF	dist	116	259	-5.888537466580508	3.896282238012014e-9	9.740705595030036e-9	****	1.4135835170211508	1.2621848465712622	0.15139867044988864	0.15139867044988864
