day_post_inf	term	estimate	std.error	statistic	p.value
-8	(Intercept)	37.109960583070624	7.220663028114943	5.139411774040189	1.7996552389501483e-6
-8	seq_depth	3.8586289349585597e-4	1.9324625131460593e-4	1.996741933522266	0.0491306554491662
-3	dietHF/LF	11.579598253421862	5.009251583550106	2.3116423801607677	0.02308039977202784
-3	seq_depth	2.574899032138399e-4	1.1267433567872589e-4	2.2852577888547225	0.024647125307376616
-3	dietLF/LF:seq_depth	-3.1646877693061384e-4	1.3764533460987208e-4	-2.299160940162489	0.023810247758294444
0	(Intercept)	13.220828831086724	4.449944830855765	2.9710096043020466	0.003806000659245278
3	(Intercept)	36.02028615624635	6.72199970299409	5.358567055604349	2.0327488100631042e-6
3	dietHF/HF	-30.456131394408352	14.47614527384415	-2.1038840670822245	0.040339130698509244
3	dietHF/LF	-30.961763726204023	8.07630313394371	-3.833655474876312	3.482489606648326e-4
3	dietLF/HF	-26.753537006124	8.893757275603964	-3.008125382453413	0.004075664624790384
3	dietLF/LF	-23.97256903805724	7.890126031695657	-3.038299887955697	0.003745930050391952
