Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	-8	purified_diet	-0.04194988903402426	0.01977776053537639	-2.121063654248856	0.03679506008114516	*
Bacteroidaceae	-8	seq_depth	-1.3605613530097943e-6	4.7381055333915197e-7	-2.871530284459302	0.005142388342366533	**
Bacteroidaceae	-8	high_fat	-0.009826532421681808	0.004906027961169567	-2.0029507576102814	0.04833192506738423	*
Bacteroidaceae	-8	high_fiber	-0.005418764325377706	0.005073428458513261	-1.06806755425613	0.2884789882469611	ns
Bacteroidaceae	-8	purified_diet:seq_depth	1.20663473184328e-6	5.17755851338267e-7	2.330509116844236	0.022120406219473986	*
Bacteroidaceae	-8	high_fat:high_fiber	7.723046588577046e-5	0.0071485232158362815	0.010803695190452779	0.9914050890368151	ns
Bacteroidaceae	0	purified_diet	0.008336012750593086	0.07265035517523559	0.11474152783542885	0.9088973640525961	ns
Bacteroidaceae	0	seq_depth	5.39777704408704e-7	1.5454509823087515e-6	0.34926873164383987	0.7276771668343438	ns
Bacteroidaceae	0	high_fat	-0.021725068164718243	0.027083107559392864	-0.8021630500516044	0.4245036971104943	ns
Bacteroidaceae	0	high_fiber	-0.0674275180304723	0.02654690799940684	-2.5399386637411365	0.012745392602797848	*
Bacteroidaceae	0	purified_diet:seq_depth	1.5312673660379067e-6	1.6809420686698722e-6	0.9109578459474199	0.36467272291123987	ns
Bacteroidaceae	0	high_fat:high_fiber	0.02512145305885417	0.03810905119843158	0.6591991211759182	0.511396884499361	ns
Enterobacteriaceae	0	purified_diet	-0.2755338954774129	0.15545405560166747	-1.7724458484597903	0.0795951979190695	+
Enterobacteriaceae	0	seq_depth	-2.951161494157122e-6	3.306888484632893e-6	-0.8924284891586657	0.3744666611755453	ns
Enterobacteriaceae	0	high_fat	0.015967273626092855	0.057951250179695296	0.2755294075034019	0.7835208050975903	ns
Enterobacteriaceae	0	high_fiber	0.23552940446743276	0.056803913790071284	4.146358741016905	7.454010250934941e-5	****
Enterobacteriaceae	0	purified_diet:seq_depth	3.1237887198674175e-6	3.5968063910479137e-6	0.8684895377305297	0.3873621102839713	ns
Enterobacteriaceae	0	high_fat:high_fiber	-0.22077564106137432	0.08154408260824535	-2.7074391421144095	0.008069035511886266	**
Enterococcaceae	3	purified_diet	0.34899086444537153	0.23268833891462554	1.4998210313126947	0.13937955862456197	ns
Enterococcaceae	3	seq_depth	-9.699323789877524e-7	3.817076102681117e-6	-0.2541034951612495	0.8003631978476378	ns
Enterococcaceae	3	high_fat	0.3434566432731303	0.0706229961594401	4.863240898159216	1.0059070830251577e-5	****
Enterococcaceae	3	high_fiber	-0.0022948748198423404	0.08213705282371159	-0.027939580748870606	0.9778114735175945	ns
Enterococcaceae	3	purified_diet:seq_depth	-4.364938453116728e-6	4.109374360304286e-6	-1.0621905113540249	0.29279103696409864	ns
Enterococcaceae	3	high_fat:high_fiber	-0.31060605577966166	0.12544878809321902	-2.475958998893279	0.016394783160685815	*
Lachnospiraceae	-3	purified_diet	0.05806152223504438	0.04735159362986729	1.2261788418124484	0.2232270821846681	ns
Lachnospiraceae	-3	seq_depth	7.296151834909033e-7	1.084910671689284e-6	0.6725117583688619	0.502925472243841	ns
Lachnospiraceae	-3	high_fat	0.03710495286764606	0.016517904972638962	2.246347398723292	0.02704858972253686	*
Lachnospiraceae	-3	high_fiber	-0.02420890277689023	0.02112405116978374	-1.1460350376124406	0.25472096392228166	ns
Lachnospiraceae	-3	purified_diet:seq_depth	-1.0426796074224272e-6	1.1294877259803322e-6	-0.923143814172429	0.3583211503321717	ns
Lachnospiraceae	-3	high_fat:high_fiber	-0.04275662129760255	0.024391993590490834	-1.752895725352729	0.08291526752766336	+
Lachnospiraceae	3	purified_diet	-0.39283372973170927	0.13593292639525903	-2.8899085758622367	0.005504878656916512	**
Lachnospiraceae	3	seq_depth	-2.484772050324099e-6	2.229876784247572e-6	-1.1143091259020108	0.2699924170448412	ns
Lachnospiraceae	3	high_fat	-0.027723340666698522	0.041256861360276904	-0.6719692131838031	0.5044163339465895	ns
Lachnospiraceae	3	high_fiber	-0.007236483088915181	0.0479831950663657	-0.1508128643560809	0.8806751080428112	ns
Lachnospiraceae	3	purified_diet:seq_depth	2.1283356559479902e-6	2.4006329026000734e-6	0.8865727257352992	0.3791692570348437	ns
Lachnospiraceae	3	high_fat:high_fiber	0.05326219932272504	0.07328524049719001	0.7267793482204276	0.47044324315079045	ns
Lactobacillaceae	-8	purified_diet	-0.3138992814431808	0.14606836678831592	-2.1489887806994346	0.03444534346515943	*
Lactobacillaceae	-8	seq_depth	-3.620610185425206e-6	3.4993210464614953e-6	-1.0346607634319114	0.3037280769995977	ns
Lactobacillaceae	-8	high_fat	-0.10510594521276674	0.03623339914668515	-2.900802786601998	0.0047248859901484995	**
Lactobacillaceae	-8	high_fiber	0.009897456073303005	0.037469733119017766	0.26414535811784445	0.7922998757090869	ns
Lactobacillaceae	-8	purified_diet:seq_depth	2.036620394061841e-6	3.823878414585905e-6	0.532605949575515	0.5956798853594754	ns
Lactobacillaceae	-8	high_fat:high_fiber	-0.01494189901817298	0.05279531568894557	-0.2830156202911304	0.7778449776519073	ns
Lactobacillaceae	-3	purified_diet	-0.30008454024430375	0.2255302472715958	-1.3305733659881356	0.18658278153569088	ns
Lactobacillaceae	-3	seq_depth	-7.492268884048888e-6	5.167305961574731e-6	-1.4499371509570196	0.1504401768983387	ns
Lactobacillaceae	-3	high_fat	0.12687235360272897	0.07867290005078605	1.6126563724081422	0.11020766939526008	ns
Lactobacillaceae	-3	high_fiber	-0.07425432941047343	0.10061144976320667	-0.7380306077015504	0.4623541154812143	ns
Lactobacillaceae	-3	purified_diet:seq_depth	6.449470373680103e-6	5.379621393986243e-6	1.198870682775152	0.23362411721649215	ns
Lactobacillaceae	-3	high_fat:high_fiber	0.15908694406996257	0.11617628730536975	1.3693581346062647	0.17418513483241505	ns
Lactobacillaceae	0	purified_diet	0.0028398717258421267	0.13962932412978457	0.020338648371616294	0.9838167981560126	ns
Lactobacillaceae	0	seq_depth	2.868210235720064e-8	2.9702576899312847e-6	0.00965643568718921	0.9923160831579195	ns
Lactobacillaceae	0	high_fat	0.05998947076458878	0.05205199609459475	1.1524912638425844	0.2520730881994182	ns
Lactobacillaceae	0	high_fiber	-0.0729884279101353	0.051021454922718174	-1.4305438373070767	0.15591241200497175	ns
Lactobacillaceae	0	purified_diet:seq_depth	-1.6936489414725736e-6	3.2306628699002094e-6	-0.5242419310452187	0.6013575395996337	ns
Lactobacillaceae	0	high_fat:high_fiber	-0.06703744800534124	0.07324315275857292	-0.9152725610585446	0.36241567662535035	ns
Lactobacillaceae	3	purified_diet	-0.1556371740621169	0.05553214800840299	-2.8026499900303925	0.0069861806193208306	**
Lactobacillaceae	3	seq_depth	-4.904649789050856e-7	9.109628616636384e-7	-0.5384028257852116	0.5924713843987381	ns
Lactobacillaceae	3	high_fat	7.67777411578937e-5	0.01685450458676336	0.004555324706380922	0.9963818721062256	ns
Lactobacillaceae	3	high_fiber	0.012203888900152433	0.019602387449479838	0.6225715582657902	0.5361389149962789	ns
Lactobacillaceae	3	purified_diet:seq_depth	7.342882225940447e-7	9.807211924018354e-7	0.7487227035399694	0.4572144617479209	ns
Lactobacillaceae	3	high_fat:high_fiber	0.020608773249423604	0.02993893334046036	0.6883603037911942	0.49411922873665215	ns
Marinifilaceae	-8	purified_diet	0.06928228520986063	0.08071930394924093	0.8583112318885667	0.3931065090768794	ns
Marinifilaceae	-8	seq_depth	3.0654392091688725e-7	1.933770914099764e-6	0.1585213215700857	0.8744176752479434	ns
Marinifilaceae	-8	high_fat	0.03712489258888556	0.020023053746291333	1.8541074233375527	0.06715166433252581	+
Marinifilaceae	-8	high_fiber	-0.05027932819519361	0.020706268188197943	-2.428217761800824	0.01725718561472355	*
Marinifilaceae	-8	purified_diet:seq_depth	4.6586358684985383e-7	2.1131255917937134e-6	0.22046185454334896	0.8260340044556755	ns
Marinifilaceae	-8	high_fat:high_fiber	-0.04632599080536026	0.029175387032074448	-1.5878449445908296	0.11599141678643951	ns
Marinifilaceae	-3	purified_diet	0.00143951781169304	0.006213499754840224	0.2316758458985497	0.8172987885256593	ns
Marinifilaceae	-3	seq_depth	1.2001456325351393e-7	1.4236251994511385e-7	0.8430207845420556	0.40137979859945117	ns
Marinifilaceae	-3	high_fat	8.150731131162393e-4	0.0021674877365316235	0.37604508638212886	0.7077398435795095	ns
Marinifilaceae	-3	high_fiber	0.0018615483917826762	0.0027719085399882768	0.6715764120379488	0.5035182028498464	ns
Marinifilaceae	-3	purified_diet:seq_depth	-1.6367458326006746e-8	1.4821194326281654e-7	-0.11043278946139436	0.9123041157256694	ns
Marinifilaceae	-3	high_fat:high_fiber	-0.005206180033839978	0.003200729575846461	-1.6265604170771466	0.10721431046402286	ns
Marinifilaceae	0	purified_diet	-0.00597189312245842	0.005268916399030946	-1.133419600955666	0.25995149760524083	ns
Marinifilaceae	0	seq_depth	1.6006087169250536e-8	1.1208275589216567e-07	0.14280597440564294	0.8867523645927363	ns
Marinifilaceae	0	high_fat	0.0014802507579464966	0.001964183508975409	0.7536214163200312	0.4529803372002146	ns
Marinifilaceae	0	high_fiber	0.005499118808139087	0.0019252960094174364	2.856245886991181	0.005287690983194775	**
Marinifilaceae	0	purified_diet:seq_depth	6.084180378294532e-8	1.2190915254402912e-7	0.49907494649322154	0.6189051062610174	ns
Marinifilaceae	0	high_fat:high_fiber	-0.0037257913153014707	0.002763832390448805	-1.348052554915046	0.1809158380003797	ns
Muribaculaceae	-8	purified_diet	0.0904406954366102	0.09643103465285309	0.937879550522217	0.3509328349364107	ns
Muribaculaceae	-8	seq_depth	2.3156354947100606e-6	2.3101726712794247e-6	1.0023646818692606	0.31897952481361713	ns
Muribaculaceae	-8	high_fat	-0.024468440742577924	0.02392047125280887	-1.0229079721706866	0.3092201641546801	ns
Muribaculaceae	-8	high_fiber	0.06811678905733783	0.024736671000570018	2.753676477152814	0.007189309876483727	**
Muribaculaceae	-8	purified_diet:seq_depth	-5.794153125084203e-6	2.524438110817065e-6	-2.2952248661817483	0.024154369692283885	*
Muribaculaceae	-8	high_fat:high_fiber	0.12389338467669606	0.03485427425971787	3.554610942505934	6.178375755469048e-4	***
Muribaculaceae	-3	purified_diet	-0.0038682053021970027	0.027764526022294705	-0.1393218562092817	0.8894970860251026	ns
Muribaculaceae	-3	seq_depth	1.3670282626902883e-6	6.361355187205929e-7	2.148957608026164	0.0342345002952913	*
Muribaculaceae	-3	high_fat	0.002195197857015278	0.00968524535903589	0.22665381987119812	0.8211903864474066	ns
Muribaculaceae	-3	high_fiber	0.018064436560671457	0.012386051311899413	1.4584500020048163	0.1480855991621673	ns
Muribaculaceae	-3	purified_diet:seq_depth	-1.4586131718990333e-6	6.62273198342011e-7	-2.2024342454905996	0.030106471042108954	*
Muribaculaceae	-3	high_fat:high_fiber	-0.00639018852258082	0.01430220376683712	-0.4467974744841709	0.656060039354559	ns
Muribaculaceae	0	purified_diet	-0.06669506910881592	0.020549960986248443	-3.2455083079450473	0.001630202126684608	**
