day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-3	purified_diet.y	-0.03164729137063555	0.02740684420706071	-1.1547221975481	0.2485921512400297	ns
-3	seq_depth.y	-1.0170817319520427e-6	5.867699626435638e-7	-1.7333568463010671	0.08346579900723439	+
-3	high_fat.y	-0.04522911016932783	0.007413253251725486	-6.101114940164825	1.7297911778893283e-9	****
-3	high_fiber.y	-0.0087111235811799	0.010731138778772147	-0.8117613387324606	0.41720026726454584	ns
-3	purified_diet.y:seq_depth.y	9.659958799578553e-7	6.038986496449331e-7	1.5995993376137205	0.11013173291155948	ns
-3	high_fat.y:high_fiber.y	0.07754782799010074	0.01211273440458561	6.402173563777875	2.7818876962319974e-10	****
0	purified_diet.y	0.09280593338621458	0.021127516923694148	4.392656918529518	1.2976207023816939e-5	****
0	seq_depth.y	-3.588217546710311e-8	4.2255609326091644e-7	-0.08491695194878394	0.9323522992253068	ns
0	high_fat.y	0.026216709622250645	0.007197567830920753	3.6424400906127836	2.905188744681869e-4	***
0	high_fiber.y	-0.0630441625648702	0.007152542540260354	-8.814231052804807	9.924129907542002e-18	****
0	purified_diet.y:seq_depth.y	-2.727020581944317e-7	4.626912777259765e-7	-0.589382318885934	0.5557997319011208	ns
0	high_fat.y:high_fiber.y	0.0161588764563217	0.010408442683108622	1.552477824809007	0.12101115827270974	ns
