term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.5078506624577582	0.03938572166937662	4.223057499203183	0.001	***	-15
Residual	103	12.38643287310647	0.9606142783306234	NA	NA		-15
Total	104	12.894283535564227	1	NA	NA		-15
purified_diet	1	1.4838159848979724	0.11891313752215432	13.95958577233002	0.001	***	-8
high_fat	1	0.21520761376739728	0.017246756223277128	2.024650747680834	0.052	+	-8
high_fiber	1	0.9862515017745141	0.07903827809888982	9.278551095442802	0.001	***	-8
study	1	0.3995862473493861	0.032022875387938576	3.759265670467071	0.002	**	-8
high_fat:high_fiber	1	0.14573713548697942	0.011679386265298686	1.3710797455683552	0.158	ns	-8
Residual	87	9.247551667471622	0.7410995665024415	NA	NA		-8
Total	92	12.478150150747872	1	NA	NA		-8
purified_diet	1	1.330393571661486	0.06304492770231722	7.81620801123467	0.001	***	-3
high_fat	1	0.35674059188255347	0.016905286753324835	2.095890067119552	0.008	**	-3
high_fiber	1	2.026760944741766	0.09604450889788063	11.907442632456567	0.001	***	-3
study	1	1.0691502807134845	0.05066508406705127	6.281375051211437	0.001	***	-3
high_fat:high_fiber	1	0.31956244096560926	0.015143481911064984	1.8774643566908704	0.042	*	-3
Residual	94	15.999701588855917	0.758196710668361	NA	NA		-3
Total	99	21.102309418820816	1	NA	NA		-3
purified_diet	1	2.0584024364391493	0.09608227513091583	12.623860622168372	0.001	***	0
high_fat	1	0.43128744969706156	0.020131670400657883	2.645018562300516	0.007	**	0
high_fiber	1	2.152414735154614	0.1004705888012471	13.200423365558212	0.001	***	0
study	1	1.1641396689981995	0.05433980546631796	7.139486752451158	0.001	***	0
high_fat:high_fiber	1	0.28977695535610337	0.013526232119744831	1.7771568043127397	0.048	*	0
Residual	94	15.32731030676135	0.7154494280811164	NA	NA		0
Total	99	21.423331552406477	1	NA	NA		0
purified_diet	1	2.108987761808784	0.17991226544036026	14.41309209059183	0.001	***	3
high_fat	1	0.49324895910367283	0.0420777869200776	3.370926469982226	0.002	**	3
high_fiber	1	0.3250307826348977	0.027727531425571026	2.221301937938256	0.022	*	3
study	1	0.4446170251366688	0.0379291230106931	3.0385696135304614	0.004	**	3
high_fat:high_fiber	1	0.30258306227400844	0.02581257473533611	2.067891346068408	0.027	*	3
Residual	55	8.047844707465556	0.6865407184679619	NA	NA		3
Total	60	11.722312298423587	1	NA	NA		3
