term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.6401419789939596	0.03823859218154367	4.095168471807146	0.007	**	-15
Residual	103	16.100588850080133	0.9617614078184563	NA	NA		-15
Total	104	16.740730829074092	1	NA	NA		-15
purified_diet	1	9.74188786482232	0.21605362322815488	31.124738334415177	0.001	***	-8
high_fat	1	2.474341582652041	0.054875448316999365	7.905370640540844	0.001	***	-8
high_fiber	1	4.384454934533128	0.09723755678886806	14.008066451796301	0.001	***	-8
study	1	0.7442280000263679	0.01650533840511136	2.377763127987751	0.05	*	-8
high_fat:high_fiber	1	0.5146603524475424	0.011414033442089796	1.6443084772994159	0.14	ns	-8
Residual	87	27.23056608968812	0.6039139998187766	NA	NA		-8
Total	92	45.09013882416952	1	NA	NA		-8
purified_diet	1	6.448087456731808	0.08280069912346606	12.41401092693783	0.001	***	-3
high_fat	1	7.782834770363777	0.09994035665191883	14.98369811671525	0.001	***	-3
high_fiber	1	13.313887909858886	0.17096530318255415	25.632212823115882	0.001	***	-3
study	1	0.8084434918374761	0.01038132419498654	1.5564345875930365	0.194	ns	-3
high_fat:high_fiber	1	0.696046814789387	0.008938024379159727	1.340045838775774	0.214	ns	-3
Residual	94	48.825494395009514	0.6269742924679147	NA	NA		-3
Total	99	77.87479483859084	1	NA	NA		-3
purified_diet	1	5.772632734965336	0.07359023914675604	9.858861351352537	0.001	***	0
high_fat	1	1.6730210235082899	0.021327879820205623	2.857289397394028	0.033	*	0
high_fiber	1	6.754056233108629	0.08610154780755973	11.534997464524514	0.001	***	0
study	1	3.397065512590123	0.04330621311736813	5.801719843915978	0.003	**	0
high_fat:high_fiber	1	5.806568859404965	0.07402286107645192	9.916819576137222	0.001	***	0
Residual	94	55.039568744142905	0.7016512590316586	NA	NA		0
Total	99	78.44291310772024	1	NA	NA		0
purified_diet	1	2.560113293997451	0.07103905997779009	5.226933156319569	0.002	**	3
high_fat	1	3.7422880445948796	0.10384252348419981	7.640556184233765	0.001	***	3
high_fiber	1	0.40579219849036363	0.011260086182383203	0.8284979816472157	0.507	ns	3
study	1	1.1030653398622023	0.030608303555010728	2.252106893874986	0.066	+	3
high_fat:high_fiber	1	1.2882546249956368	0.03574701080077343	2.6302042292267513	0.042	*	3
Residual	55	26.938594192584905	0.7475030159998428	NA	NA		3
Total	60	36.038107694525436	1	NA	NA		3
