group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	153	171	-2.3719216116137343	0.017695844577523448	0.01966204953058161	*	0.774620733608107	0.6583997200839578	0.11622101352414926	0.11622101352414926
HF/HF	-8	Chow	dist	136	153	4.1386874402837535	3.4929843313814584e-5	8.732460828453646e-5	****	0.5314079526821752	0.6838010358852463	-0.1523930832030711	-0.1523930832030711
HF/HF	0	Chow	dist	171	153	-2.880359152442757	0.003972223899598358	0.0056746055708547976	**	0.9394432404721663	0.7933190567947439	0.14612418367742241	0.14612418367742241
HF/LF	-3	Chow	dist	153	253	7.5616006086222045	3.981392856340028e-14	6.635654760566714e-14	****	0.774620733608107	1.1072649746581213	-0.33264424105001433	-0.33264424105001433
HF/LF	-3	HF/HF	dist	171	253	10.488782665327086	9.7273542398806e-26	2.43183855997015e-25	****	0.6583997200839578	1.1072649746581213	-0.4488652545741636	-0.4488652545741636
HF/LF	-8	HF/HF	dist	153	190	2.9334546714083594	0.0033521259806583996	0.006704251961316799	**	0.6838010358852463	0.8299325026659132	-0.1461314667806669	-0.1461314667806669
HF/LF	-8	Chow	dist	136	190	7.179322801134446	7.005755837441517e-13	7.005755837441517e-12	****	0.5314079526821752	0.8299325026659132	-0.298524549983738	-0.298524549983738
HF/LF	0	HF/HF	dist	153	253	5.175423076156262	2.273951060204359e-7	7.579836867347864e-7	****	0.7933190567947439	1.0201339490838233	-0.22681489228907936	-0.22681489228907936
HF/LF	0	Chow	dist	171	253	2.1161934393077115	0.0343283589808937	0.04291044872611713	*	0.9394432404721663	1.0201339490838233	-0.08069070861165695	-0.08069070861165695
LF/HF	-3	Chow	dist	153	153	-5.132703121146627	2.856102280540994e-7	4.0801461150585634e-7	****	0.774620733608107	0.5210853178965518	0.25353541571155525	0.25353541571155525
LF/HF	-3	HF/HF	dist	171	153	-2.901429553899405	0.0037146429037294357	0.004643303629661795	**	0.6583997200839578	0.5210853178965518	0.13731440218740598	0.13731440218740598
LF/HF	-3	HF/LF	dist	253	153	-13.291650280621493	2.5880646281329463e-40	1.2940323140664731e-39	****	1.1072649746581213	0.5210853178965518	0.5861796567615696	0.5861796567615696
LF/HF	-8	HF/HF	dist	153	136	2.216965933414948	0.026625419552854246	0.03803631364693464	*	0.6838010358852463	0.7735500849969816	-0.08974904911173531	-0.08974904911173531
LF/HF	-8	Chow	dist	136	136	6.176584847058061	6.550301474524922e-10	3.275150737262461e-9	****	0.5314079526821752	0.7735500849969816	-0.2421421323148064	-0.2421421323148064
LF/HF	-8	HF/LF	dist	190	136	-0.5107728300473464	0.6095101363576105	0.6095101363576105	ns	0.8299325026659132	0.7735500849969816	0.056382417668931595	0
LF/HF	0	Chow	dist	171	136	3.0641808294246413	0.0021826693569277325	0.003637782261546221	**	0.9394432404721663	1.0944837041247935	-0.15504046365262714	-0.15504046365262714
LF/HF	0	HF/HF	dist	153	136	5.707153092193591	1.1488144649988736e-8	5.744072324994368e-8	****	0.7933190567947439	1.0944837041247935	-0.30116464733004955	-0.30116464733004955
LF/HF	0	HF/LF	dist	253	136	1.3407784932743223	0.17999238088664274	0.18279047853601357	ns	1.0201339490838233	1.0944837041247935	-0.07434975504097019	0
LF/LF	-3	Chow	dist	153	231	9.424787516541189	4.309772843453442e-21	8.619545686906884e-21	****	0.774620733608107	1.3035463024885352	-0.5289255688804282	-0.5289255688804282
LF/LF	-3	HF/HF	dist	171	231	12.354646808245366	4.597709676457081e-35	1.5325698921523604e-34	****	0.6583997200839578	1.3035463024885352	-0.6451465824045775	-0.6451465824045775
LF/LF	-3	LF/HF	dist	153	231	15.054698403930944	3.2156248046603007e-51	3.2156248046603005e-50	****	0.5210853178965518	1.3035463024885352	-0.7824609845919834	-0.7824609845919834
LF/LF	-3	HF/LF	dist	253	231	2.2854571491603237	0.022286036289074045	0.022286036289074045	*	1.1072649746581213	1.3035463024885352	-0.19628132783041385	-0.19628132783041385
LF/LF	-8	HF/LF	dist	190	210	-2.4908907020107076	0.012742331160293021	0.02123721860048837	*	0.8299325026659132	0.7167030135922328	0.11322948907368047	0.11322948907368047
LF/LF	-8	HF/HF	dist	153	210	0.6514325421485051	0.5147673095759551	0.5719636773066168	ns	0.6838010358852463	0.7167030135922328	-0.03290197770698644	0
LF/LF	-8	Chow	dist	136	210	5.060447807724147	4.182729458289558e-7	1.3942431527631862e-6	****	0.5314079526821752	0.7167030135922328	-0.18529506091005754	-0.18529506091005754
LF/LF	-8	LF/HF	dist	136	210	-1.7446599638061289	0.08104407626610922	0.10130509533263653	ns	0.7735500849969816	0.7167030135922328	0.05684707140474887	0
LF/LF	0	HF/LF	dist	253	253	3.1965962852600707	0.00139059406331993	0.00278118812663986	**	1.0201339490838233	1.1653977555008015	-0.14526380641697823	-0.14526380641697823
LF/LF	0	Chow	dist	171	253	4.987092446875413	6.129473996134882e-7	1.5323684990337205e-6	****	0.9394432404721663	1.1653977555008015	-0.22595451502863517	-0.22595451502863517
LF/LF	0	HF/HF	dist	153	253	7.950566843854971	1.8566003083264842e-15	1.8566003083264843e-14	****	0.7933190567947439	1.1653977555008015	-0.3720786987060576	-0.3720786987060576
LF/LF	0	LF/HF	dist	136	253	1.3322121700673477	0.18279047853601357	0.18279047853601357	ns	1.0944837041247935	1.1653977555008015	-0.07091405137600804	0
