Genus	term	estimate	std.error	statistic	p.value	signif
Akkermansia	experiment_setnew_exp_anschutz	-0.07078145879648928	0.007956731378238201	-8.89579595335816	5.715194540225619e-16	****
Akkermansia	experiment_setsecond_set_arizona	-0.10228284101450388	0.010329584687949924	-9.901931597871782	9.18825483740176e-19	****
Akkermansia	vendortaconic	-0.030611898194224114	0.00837214087867923	-3.6564002729793263	3.3463502755965964e-4	***
Bacteroides	experiment_setnew_exp_anschutz	-0.05375105378222478	0.007828334845865105	-6.866218019610629	1.0055957494810167e-10	****
Bacteroides	experiment_setsecond_set_arizona	-0.04293936387173344	0.010162897792070238	-4.225110273689612	3.771491150066123e-5	****
Bacteroides	vendortaconic	0.0499685247458262	0.008237040948034156	6.066319818132219	7.405769592492911e-9	****
Enterococcus	experiment_setnew_exp_anschutz	4.6107860570956724e-5	6.347512937187424e-5	0.726392541885658	0.4685313289025812	ns
Enterococcus	experiment_setsecond_set_arizona	4.780523851272393e-5	8.24046575480261e-5	0.5801278706226363	0.562545913475786	ns
Enterococcus	vendortaconic	-5.2680344385751874e-5	6.678907457491546e-5	-0.7887569145259198	0.4312803300244267	ns
Escherichia-Shigella	experiment_setnew_exp_anschutz	0.003295354368446176	8.257505185486777e-4	3.990738479023935	9.539370985156811e-5	****
Escherichia-Shigella	experiment_setsecond_set_arizona	0.0032855269266837397	0.0010720055141984432	3.06484144266775	0.00250921370081914	**
Escherichia-Shigella	vendortaconic	0.003302454091879386	8.688617653776715e-4	3.8008970166202394	1.9650786285798077e-4	***
Lactobacillus	experiment_setnew_exp_anschutz	0.28675137652640925	0.026288194211401824	10.90799064479059	1.225484359176119e-21	****
Lactobacillus	experiment_setsecond_set_arizona	0.28947684653498595	0.03412784917467913	8.482129801187732	7.487602527410576e-15	****
Lactobacillus	vendortaconic	-0.09976201905658491	0.027660663018721696	-3.6066387486468607	4.005229227462349e-4	***
Muribaculaceae	experiment_setnew_exp_anschutz	0.12978621782319807	0.017342695547590683	7.483624299754746	2.9877966862121524e-12	****
Muribaculaceae	experiment_setsecond_set_arizona	0.2200589245401408	0.02251462740920585	9.774042472058074	2.106316563012393e-18	****
Muribaculaceae	vendortaconic	0.0035558895226009985	0.01824813273671453	0.19486319909580052	0.8457173999088947	ns
Proteus	experiment_setnew_exp_anschutz	-3.3275214416822013e-4	4.93498347332563e-5	-6.742720537298622	1.992213929229963e-10	****
Proteus	experiment_setsecond_set_arizona	-3.979796552710495e-4	6.406692308448605e-5	-6.211936458166214	3.466464474623688e-9	****
Proteus	vendortaconic	-6.359731996291851e-5	5.1926318620780554e-5	-1.2247608082400685	0.2222481891028135	ns
Staphylococcus	experiment_setnew_exp_anschutz	-1.1476045538297081e-18	0.009909505473770246	-1.158084585418854e-16	0.9999999999999999	ns
Staphylococcus	experiment_setsecond_set_arizona	0.00509636053338643	0.012864714308060268	0.39615030783803357	0.6924581908022698	ns
Staphylococcus	vendortaconic	-2.207942520024059e-18	0.010426866500904484	-2.1175513466414188e-16	0.9999999999999998	ns
