tissue	term	estimate	std.error	statistic	p.value	signif
cecum	purified_diet	-0.8227314496202103	1.8316318437985544	-0.4491794857169428	0.6550998175220126	ns
cecum	seq_depth	-6.096331196966408e-6	3.0045997310218456e-5	-0.20289994484200677	0.8399758260870746	ns
cecum	high_fat	-1.5816135141583296	0.5579753610127339	-2.8345579835060755	0.0064426891389220975	**
cecum	high_fiber	-0.3825435162045992	0.6822611332881191	-0.5606995584827649	0.5773215418286735	ns
cecum	study	-0.3800497639286254	0.13384528986220975	-2.83947058816845	0.006357195665291955	**
cecum	purified_diet:seq_depth	4.092886782387529e-5	3.23267844234347e-5	1.2660977128985544	0.210912946587628	ns
cecum	high_fat:high_fiber	2.0947527577345912	0.9975824772117494	2.09982914253811	0.040431214501629294	*
colon	purified_diet	3.977110678447355	3.0011391211422236	1.3252003715621419	0.19068468545171163	ns
colon	seq_depth	5.5430163421402546e-5	4.92305362929407e-5	1.125930521893397	0.26517409973949946	ns
colon	high_fat	-2.2002456328109465	0.9142457804707951	-2.406623776461861	0.019551262588281538	*
colon	high_fiber	1.6484733861658354	1.117888720311524	1.4746310220452465	0.14611844644444233	ns
colon	study	-0.6196814182343909	0.219306263399009	-2.825643958498958	0.0066005389575680175	**
colon	purified_diet:seq_depth	-1.0763899915559276e-5	5.296761885985806e-5	-0.20321660945413547	0.8397295551296234	ns
colon	high_fat:high_fiber	2.5528646803628954	1.6345445232690676	1.5618202159811465	0.12417240003484784	ns
