location	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
Cecum	fluorescence	Chow	HF/HF	10	8	-0.143055417959998	0.8862464140265176	0.8862464140265176	ns	38107.55536	
Cecum	fluorescence	Chow	HF/LF	10	11	2.9247656161401983	0.0034471575240145945	0.01888164474773787	*	42230.079093333334	
Cecum	fluorescence	Chow	LF/HF	10	9	1.7307790538338848	0.08349117915096368	0.13915196525160614	ns	46352.60282666666	
Cecum	fluorescence	Chow	LF/LF	10	10	2.507590517624764	0.012155744302771053	0.030419994925579827	*	50475.12655999999	
Cecum	fluorescence	HF/HF	HF/LF	8	11	2.8962653863493277	0.0037763289495475745	0.01888164474773787	*	54597.650293333325	
Cecum	fluorescence	HF/HF	LF/HF	8	9	1.7762353461188414	0.07569413465278327	0.13915196525160614	ns	58720.17402666666	
Cecum	fluorescence	HF/HF	LF/LF	8	10	2.5072344305620717	0.012167997970231931	0.030419994925579827	*	62842.69775999999	
Cecum	fluorescence	HF/LF	LF/HF	11	9	-1.073904066637879	0.28286568051213906	0.4040938293030558	ns	66965.22149333332	
Cecum	fluorescence	HF/LF	LF/LF	11	10	-0.3581648950659496	0.7202199165935086	0.8002443517705652	ns	71087.74522666665	
Cecum	fluorescence	LF/HF	LF/LF	9	10	0.709930330464797	0.47774734076035336	0.5971841759504417	ns	75210.26895999999	
Dist_colon	fluorescence	Chow	HF/HF	10	8	1.1971479713494577	0.23124888491377293	0.8089843998644908	ns	32728.89316	
Dist_colon	fluorescence	Chow	HF/LF	10	11	0.8129302805023821	0.41625803229655883	0.8089843998644908	ns	35394.495559999996	
Dist_colon	fluorescence	Chow	LF/HF	10	9	0.5579257828226993	0.5768950647591655	0.8089843998644908	ns	38060.09796	
Dist_colon	fluorescence	Chow	LF/LF	10	10	1.581219498374851	0.11382785859259101	0.8089843998644908	ns	40725.700359999995	
Dist_colon	fluorescence	HF/HF	HF/LF	8	11	-0.45767281738451365	0.6471875198915926	0.8089843998644908	ns	43391.30276	
Dist_colon	fluorescence	HF/HF	LF/HF	8	9	-0.641078044461283	0.5214719780987989	0.8089843998644908	ns	46056.905159999995	
Dist_colon	fluorescence	HF/HF	LF/LF	8	10	0.29364006844420654	0.769032954616933	0.825935349130346	ns	48722.50756	
Dist_colon	fluorescence	HF/LF	LF/HF	11	9	-0.21991757418443852	0.825935349130346	0.825935349130346	ns	51388.109959999994	
Dist_colon	fluorescence	HF/LF	LF/LF	11	10	0.8054994735508062	0.42053151003610845	0.8089843998644908	ns	54053.71235999999	
Dist_colon	fluorescence	LF/HF	LF/LF	9	10	0.9811202620535393	0.32653343959429365	0.8089843998644908	ns	56719.314759999994	
Prox_colon	fluorescence	Chow	HF/HF	10	8	1.5397280512010325	0.12362665620531234	0.26363789903791446	ns	23815.26424	
Prox_colon	fluorescence	Chow	HF/LF	10	11	0.20954875603443537	0.8340198782953299	0.9266887536614776	ns	26192.234506666668	
Prox_colon	fluorescence	Chow	LF/HF	10	9	2.0019689854226277	0.04528806726785836	0.26363789903791446	ns	28569.20477333333	
Prox_colon	fluorescence	Chow	LF/LF	10	10	1.6770509831248424	0.0935325126890931	0.26363789903791446	ns	30946.17504	
Prox_colon	fluorescence	HF/HF	HF/LF	8	11	-1.3747652949679856	0.16920422076194952	0.2820070346032492	ns	33323.145306666665	
Prox_colon	fluorescence	HF/HF	LF/HF	8	9	0.3899551162168952	0.6965697367728749	0.8895565146365312	ns	35700.11557333333	
Prox_colon	fluorescence	HF/HF	LF/LF	8	10	0.04141077888315713	0.9669684198632327	0.9669684198632327	ns	38077.08584	
Prox_colon	fluorescence	HF/LF	LF/HF	11	9	1.8428129573995282	0.06535632430682757	0.26363789903791446	ns	40454.05610666666	
Prox_colon	fluorescence	HF/LF	LF/LF	11	10	1.5069676497795526	0.13181894951895723	0.26363789903791446	ns	42831.02637333333	
Prox_colon	fluorescence	LF/HF	LF/LF	9	10	-0.3696474226751015	0.7116452117092249	0.8895565146365312	ns	45207.99664	
