c_diff_effect	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
inhibitor	conc_normalized	Chow	HF/HF	108	41	-4.0481087649562575	5.163315300357646e-5	1.7211051001192153e-4	***	3.747233786805128	
inhibitor	conc_normalized	Chow	HF/LF	108	120	-4.109188393549378	3.9705207251966416e-5	1.7211051001192153e-4	***	3.7941196077684745	
inhibitor	conc_normalized	Chow	LF/HF	108	30	-2.7364087715443706	0.006211381492731202	0.015528453731828006	*	3.836433296866863	
inhibitor	conc_normalized	Chow	LF/LF	108	114	-4.188727129669264	2.8052345858083907e-5	1.7211051001192153e-4	***	3.8749878718464466	
inhibitor	conc_normalized	HF/HF	HF/LF	41	120	1.0920399151256193	0.2748155572115075	0.5377184325374624	ns	3.910397090240689	
inhibitor	conc_normalized	HF/HF	LF/HF	41	30	0.7401968654492539	0.4591805492956751	0.6559722132795358	ns	3.9431356747514994	
inhibitor	conc_normalized	HF/HF	LF/LF	41	114	0.989065574306431	0.32263105952247745	0.5377184325374624	ns	3.973578375008355	
inhibitor	conc_normalized	HF/LF	LF/HF	120	30	-0.09655197075069671	0.9230821999963769	0.9911504765879324	ns	4.00202620707654	
inhibitor	conc_normalized	HF/LF	LF/LF	120	114	-0.1332904399079484	0.8939636879863481	0.9911504765879324	ns	4.028724611808365	
inhibitor	conc_normalized	LF/HF	LF/LF	30	114	0.011091460209463215	0.9911504765879324	0.9911504765879324	ns	4.053876346102603	
promoter	conc_normalized	Chow	HF/HF	36	14	-0.3631670379674207	0.7164801089734207	0.7164801089734207	ns	4.6950696711861335	
promoter	conc_normalized	Chow	HF/LF	36	40	1.7372381454389998	0.0823451444321391	0.26094248612096743	ns	4.740982919436123	
promoter	conc_normalized	Chow	LF/HF	36	10	1.623994443459175	0.10437699444838697	0.26094248612096743	ns	4.782503001166801	
promoter	conc_normalized	Chow	LF/LF	36	38	0.6483407126925368	0.5167646071935673	0.6459557589919591	ns	4.820397697326961	
promoter	conc_normalized	HF/HF	HF/LF	14	40	1.6535942118025568	0.09820998954930422	0.26094248612096743	ns	4.855249590098978	
promoter	conc_normalized	HF/HF	LF/HF	14	10	1.6783434464379596	0.09328007106684624	0.26094248612096743	ns	4.887511218566978	
promoter	conc_normalized	HF/HF	LF/LF	14	38	0.8481873735510475	0.3963336279543117	0.5661908970775882	ns	4.917541116669355	
promoter	conc_normalized	HF/LF	LF/HF	40	10	0.5131061494409485	0.6078770701681826	0.6754189668535362	ns	4.9456281722582265	
promoter	conc_normalized	HF/LF	LF/LF	40	38	-1.0961541891686297	0.2730113035760863	0.45501883929347714	ns	4.972008573876683	
promoter	conc_normalized	LF/HF	LF/LF	10	38	-1.2090906757065447	0.22662801106818245	0.4532560221363649	ns	4.996877897279311	
