group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-3	Chow	shannon_entropy	18	19	-3.2149505920123933	0.0013046697598703939	0.0026093395197407878	**	2.6626573342908637	1.6871628346964218	0.9754944995944419	0.9754944995944419
HF/HF	-8	Chow	shannon_entropy	17	18	1.080820565122471	0.2797769386918847	0.5595538773837694	ns	4.022888941394221	4.2210671810306115	-0.19817823963639025	0
HF/HF	0	Chow	shannon_entropy	19	18	-2.8742124049824866	0.004050364653098337	0.01350121551032779	*	2.7625597749832735	2.1107317490842274	0.6518280258990461	0.6518280258990461
HF/HF	3	Chow	shannon_entropy	13	5	-2.3845448304006545	0.01710026435686394	0.028500440594773236	*	4.1489766987132155	2.2352634171572845	1.913713281555931	1.913713281555931
HF/LF	-3	Chow	shannon_entropy	18	23	0.18837264281469587	0.8505845436597522	0.8577372819820067	ns	2.6626573342908637	2.999637150083882	-0.3369798157930184	0
HF/LF	-3	HF/HF	shannon_entropy	19	23	3.6021888735532066	3.1554895707844777e-4	0.001577744785392239	**	1.6871628346964218	2.999637150083882	-1.3124743153874603	-1.3124743153874603
HF/LF	-8	HF/HF	shannon_entropy	18	20	-0.33957597678835943	0.7341758719307226	0.9111003396504123	ns	4.2210671810306115	4.186451639631574	0.03461554139903722	0
HF/LF	-8	Chow	shannon_entropy	17	20	0.7736273093788424	0.4391512175793241	0.6273588822561773	ns	4.022888941394221	4.186451639631574	-0.16356269823735303	0
HF/LF	0	Chow	shannon_entropy	19	23	-4.443836054914558	8.836895237446711e-6	4.4184476187233554e-5	****	2.7625597749832735	1.870763950549374	0.8917958244338995	0.8917958244338995
HF/LF	0	HF/HF	shannon_entropy	18	23	-1.3736387099633467	0.16955387309918943	0.2119423413739868	ns	2.1107317490842274	1.870763950549374	0.2399677985348534	0
HF/LF	3	HF/HF	shannon_entropy	5	18	-2.063860256010405	0.03903096797105069	0.05575852567292956	ns	2.2352634171572845	1.2187460747247143	1.0165173424325702	0
HF/LF	3	Chow	shannon_entropy	13	18	-6.314049869593431	2.718262801050274e-10	2.718262801050274e-9	****	4.1489766987132155	1.2187460747247143	2.930230623988501	2.930230623988501
LF/HF	-3	Chow	shannon_entropy	18	18	-3.3492474894929143	8.103137935912535e-4	0.0020257844839781337	**	2.6626573342908637	1.6434582203233148	1.019199113967549	1.019199113967549
LF/HF	-3	HF/HF	shannon_entropy	19	18	-0.1792552512702296	0.8577372819820067	0.8577372819820067	ns	1.6871628346964218	1.6434582203233148	0.04370461437310702	0
LF/HF	-3	HF/LF	shannon_entropy	23	18	-3.7359692263852877	1.8699353740104404e-4	0.001577744785392239	**	2.999637150083882	1.6434582203233148	1.3561789297605673	1.3561789297605673
LF/HF	-8	HF/HF	shannon_entropy	18	17	-0.2173097327026629	0.8279669727245473	0.9111003396504123	ns	4.2210671810306115	4.1271239336842624	0.09394324734634907	0
LF/HF	-8	Chow	shannon_entropy	17	17	0.8514331630277243	0.3945287763222278	0.6273588822561773	ns	4.022888941394221	4.1271239336842624	-0.10423499229004118	0
LF/HF	-8	HF/LF	shannon_entropy	20	17	0.11165073892828792	0.9111003396504123	0.9111003396504123	ns	4.186451639631574	4.1271239336842624	0.05932770594731185	0
LF/HF	0	HF/LF	shannon_entropy	23	17	1.8452794409899564	0.06499689955884927	0.09285271365549896	ns	1.870763950549374	2.204347083523593	-0.33358313297421915	0
LF/HF	0	HF/HF	shannon_entropy	18	17	0.46696379987423975	0.6405257778702202	0.6405257778702202	ns	2.1107317490842274	2.204347083523593	-0.09361533443936576	0
LF/HF	0	Chow	shannon_entropy	19	17	-2.3587120999040296	0.018338476788650554	0.03667695357730111	*	2.7625597749832735	2.204347083523593	0.5582126914596803	0.5582126914596803
LF/HF	3	Chow	shannon_entropy	13	9	-2.9111077257807345	0.0036014982283928535	0.011957477351433998	*	4.1489766987132155	2.259169289144242	1.8898074095689736	1.8898074095689736
LF/HF	3	HF/HF	shannon_entropy	5	9	-0.013465138859048723	0.9892566982408894	0.9892566982408894	ns	2.2352634171572845	2.259169289144242	-0.023905871986957372	0
LF/HF	3	HF/LF	shannon_entropy	18	9	2.537236641497478	0.01117313995582685	0.0223462799116537	*	1.2187460747247143	2.259169289144242	-1.0404232144195276	-1.0404232144195276
LF/LF	-3	HF/HF	shannon_entropy	19	22	0.3120097871587881	0.7550330853015167	0.8577372819820067	ns	1.6871628346964218	1.8559240043252982	-0.16876116962887644	0
LF/LF	-3	LF/HF	shannon_entropy	18	22	0.4929749511184551	0.6220302865419121	0.8577372819820067	ns	1.6434582203233148	1.8559240043252982	-0.21246578400198346	0
LF/LF	-3	Chow	shannon_entropy	18	22	-3.01974545057338	0.0025298721024035052	0.0042164535040058425	**	2.6626573342908637	1.8559240043252982	0.8067333299655655	0.8067333299655655
LF/LF	-3	HF/LF	shannon_entropy	23	22	-3.4170472410067263	6.33042936769988e-4	0.0020257844839781337	**	2.999637150083882	1.8559240043252982	1.1437131457585838	1.1437131457585838
LF/LF	-8	HF/HF	shannon_entropy	18	21	2.8241219194683347	0.004741034663087949	0.011852586657719873	*	4.2210671810306115	4.629439101418272	-0.4083719203876601	-0.4083719203876601
LF/LF	-8	Chow	shannon_entropy	17	21	3.900821196562316	9.586693960170916e-5	9.586693960170916e-4	***	4.022888941394221	4.629439101418272	-0.6065501600240504	-0.6065501600240504
LF/LF	-8	LF/HF	shannon_entropy	17	21	3.0056967696581034	0.002649730928966109	0.008832436429887031	**	4.1271239336842624	4.629439101418272	-0.5023151677340092	-0.5023151677340092
LF/LF	-8	HF/LF	shannon_entropy	20	21	3.2564813512585356	0.001128023402066394	0.00564011701033197	**	4.186451639631574	4.629439101418272	-0.44298746178669735	-0.44298746178669735
LF/LF	0	HF/LF	shannon_entropy	23	23	-0.8182328216926087	0.4132242570578032	0.45913806339755914	ns	1.870763950549374	1.6243258225899448	0.2464381279594292	0
