day_post_inf	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet	1.1218877781031578	0.6827024479929125	1.643304167725505	0.10401427111147254	ns
-8	seq_depth	1.3497777189073444e-5	1.6993235531257317e-5	0.7943029545047889	0.4292311724441501	ns
-8	high_fat	-0.45090314553968047	0.16622401580654614	-2.712623343575383	0.008078502508479928	**
-8	high_fiber	-0.48336546417868853	0.17313408930319166	-2.791856104849583	0.00647140976162551	**
-8	study	0.02891362167767463	0.038357236262279486	0.7537983571070862	0.45305338076763235	ns
-8	purified_diet:seq_depth	-1.3967608992249243e-5	1.790593965332931e-5	-0.7800545105518771	0.43752555971712415	ns
-8	high_fat:high_fiber	0.5607463974870289	0.24277813082679778	2.3097072029402654	0.023329019764516568	*
-3	purified_diet	0.46252968435056513	0.8360892083836533	0.553206140819277	0.5814641149449931	ns
-3	seq_depth	2.857288045914682e-5	1.9195084094350927e-5	1.4885519812625234	0.14002529626421525	ns
-3	high_fat	1.0708976134336965	0.28494696830043725	3.7582348035532798	3.001711627770552e-4	***
-3	high_fiber	0.18945331357542566	0.37184120919847913	0.5095005848969807	0.6116213701716802	ns
-3	study	0.04686715277851503	0.061517310268161964	0.7618530877604208	0.44809636410444853	ns
-3	purified_diet:seq_depth	-3.78463619683792e-5	1.9999941629976357e-5	-1.8923236211676855	0.06159242785689387	ns
-3	high_fat:high_fiber	-1.145797936586188	0.4206599355147889	-2.723810469813343	0.007722426477822664	**
0	purified_diet	-0.2894335845972277	0.665788983599444	-0.4347227000249653	0.6647817132937726	ns
0	seq_depth	1.2849659743113182e-5	1.4234738531253235e-5	0.9026972792581311	0.36904398475790434	ns
0	high_fat	0.06855754832719005	0.248632195873687	0.27573882009238837	0.78336708075943	ns
0	high_fiber	0.7266950657187243	0.24906744648504603	2.917663773303891	0.004431797500861842	**
0	study	0.0487581451884279	0.04765966344420287	1.0230484578539056	0.3089675214706492	ns
0	purified_diet:seq_depth	-2.2524637198929075e-5	1.540467473597712e-5	-1.4621949236177971	0.14709544649109968	ns
0	high_fat:high_fiber	-0.18007802967020864	0.3489999681839009	-0.5159829400767134	0.6071042144120982	ns
3	purified_diet	-3.418710856990685	0.8326517042018687	-4.10581139717676	1.3996152502862203e-4	***
3	seq_depth	-1.9620037967652228e-5	1.3659846729140388e-5	-1.4363292910012697	0.15678540430456814	ns
3	high_fat	-1.0758233849070393	0.2536740065808504	-4.240968159913363	8.959917575742709e-5	****
3	high_fiber	-0.275396376132806	0.311244193725317	-0.8848241402885484	0.380248173866954	ns
3	study	-0.15088095579965288	0.06330434514127171	-2.3834217929739703	0.020767847040413595	*
3	purified_diet:seq_depth	3.141161485972369e-5	1.4695972374696137e-5	2.1374301787480854	0.037194786916262816	*
3	high_fat:high_fiber	1.004094175687492	0.46819627914590445	2.144600930018466	0.03658837314235742	*
