Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	-8	purified_diet	-0.041949889034024315	0.019777760535376394	-2.1210636542488586	0.03679506008114491	*
Bacteroidaceae	-8	seq_depth	-1.3605613530097945e-6	4.7381055333915144e-7	-2.8715302844593054	0.005142388342366482	**
Bacteroidaceae	-8	high_fat	-0.009826532421681817	0.00490602796116957	-2.002950757610282	0.0483319250673842	*
Bacteroidaceae	-8	high_fiber	-0.005418764325377708	0.005073428458513264	-1.0680675542561295	0.2884789882469612	ns
Bacteroidaceae	-8	purified_diet:seq_depth	1.2066347318432803e-6	5.177558513382665e-7	2.3305091168442384	0.02212040621947387	*
Bacteroidaceae	-8	high_fat:high_fiber	7.723046588576939e-5	0.007148523215836285	0.010803695190452623	0.9914050890368153	ns
Bacteroidaceae	0	purified_diet	0.00833601275059309	0.07265035517523571	0.1147415278354287	0.9088973640525962	ns
Bacteroidaceae	0	seq_depth	5.397777044087016e-7	1.5454509823087525e-6	0.34926873164383804	0.7276771668343451	ns
Bacteroidaceae	0	high_fat	-0.021725068164718246	0.027083107559392874	-0.8021630500516042	0.4245036971104942	ns
Bacteroidaceae	0	high_fiber	-0.0674275180304723	0.02654690799940685	-2.5399386637411356	0.012745392602797879	*
Bacteroidaceae	0	purified_diet:seq_depth	1.5312673660379094e-6	1.6809420686698722e-6	0.9109578459474215	0.3646727229112391	ns
Bacteroidaceae	0	high_fat:high_fiber	0.02512145305885415	0.0381090511984316	0.6591991211759173	0.5113968844993616	ns
Enterobacteriaceae	0	purified_diet	-0.27553389547741314	0.15545405560166775	-1.7724458484597885	0.07959519791906977	ns
Enterobacteriaceae	0	seq_depth	-2.9511614941571103e-6	3.306888484632895e-6	-0.8924284891586615	0.3744666611755474	ns
Enterobacteriaceae	0	high_fat	0.01596727362609302	0.057951250179695324	0.27552940750340454	0.7835208050975881	ns
Enterobacteriaceae	0	high_fiber	0.23552940446743298	0.05680391379007131	4.146358741016907	7.45401025093489e-5	****
Enterobacteriaceae	0	purified_diet:seq_depth	3.1237887198674006e-6	3.5968063910479137e-6	0.8684895377305251	0.3873621102839737	ns
Enterobacteriaceae	0	high_fat:high_fiber	-0.22077564106137454	0.08154408260824539	-2.707439142114411	0.008069035511886233	**
Enterococcaceae	3	purified_diet	0.3489908644453719	0.23268833891462617	1.4998210313126923	0.1393795586245625	ns
Enterococcaceae	3	seq_depth	-9.699323789877437e-7	3.817076102681124e-6	-0.2541034951612468	0.80036319784764	ns
Enterococcaceae	3	high_fat	0.3434566432731303	0.0706229961594401	4.863240898159216	1.0059070830251577e-5	****
Enterococcaceae	3	high_fiber	-0.002294874819842336	0.0821370528237116	-0.02793958074887055	0.9778114735175945	ns
Enterococcaceae	3	purified_diet:seq_depth	-4.364938453116734e-6	4.109374360304292e-6	-1.0621905113540246	0.2927910369640987	ns
Enterococcaceae	3	high_fat:high_fiber	-0.31060605577966155	0.12544878809321902	-2.475958998893278	0.016394783160685863	*
Lachnospiraceae	-3	purified_diet	0.058061522235044544	0.04735159362986662	1.226178841812469	0.2232270821846605	ns
Lachnospiraceae	-3	seq_depth	7.296151834909087e-7	1.0849106716892676e-6	0.672511758368877	0.5029254722438314	ns
Lachnospiraceae	-3	high_fat	0.03710495286764576	0.01651790497263872	2.2463473987233065	0.027048589722535907	*
Lachnospiraceae	-3	high_fiber	-0.024208902776890286	0.02112405116978344	-1.1460350376124597	0.25472096392227395	ns
Lachnospiraceae	-3	purified_diet:seq_depth	-1.0426796074224325e-6	1.1294877259803167e-6	-0.9231438141724463	0.3583211503321627	ns
Lachnospiraceae	-3	high_fat:high_fiber	-0.042756621297602215	0.02439199359049048	-1.7528957253527409	0.08291526752766132	ns
Lachnospiraceae	3	purified_diet	-0.39283372973170716	0.1359329263952591	-2.8899085758622194	0.005504878656916771	**
Lachnospiraceae	3	seq_depth	-2.484772050324084e-6	2.229876784247572e-6	-1.1143091259020041	0.269992417044844	ns
Lachnospiraceae	3	high_fat	-0.027723340666698522	0.04125686136027682	-0.6719692131838045	0.5044163339465884	ns
Lachnospiraceae	3	high_fiber	-0.007236483088915092	0.04798319506636561	-0.15081286435607935	0.8806751080428125	ns
Lachnospiraceae	3	purified_diet:seq_depth	2.128335655947976e-6	2.400632902600072e-6	0.8865727257352938	0.3791692570348466	ns
Lachnospiraceae	3	high_fat:high_fiber	0.053262199322724975	0.07328524049718986	0.7267793482204282	0.47044324315079034	ns
Marinifilaceae	-8	purified_diet	0.06928228520986057	0.08071930394924093	0.8583112318885661	0.39310650907687983	ns
Marinifilaceae	-8	seq_depth	3.06543920916883e-7	1.933770914099761e-6	0.15852132157008372	0.874417675247945	ns
Marinifilaceae	-8	high_fat	0.03712489258888556	0.020023053746291333	1.8541074233375527	0.06715166433252581	ns
Marinifilaceae	-8	high_fiber	-0.05027932819519358	0.020706268188197943	-2.4282177618008225	0.017257185614723596	*
Marinifilaceae	-8	purified_diet:seq_depth	4.658635868498586e-7	2.1131255917937104e-6	0.22046185454335152	0.8260340044556734	ns
Marinifilaceae	-8	high_fat:high_fiber	-0.046325990805360276	0.029175387032074448	-1.5878449445908303	0.11599141678643932	ns
Marinifilaceae	-3	purified_diet	0.0014395178116930404	0.006213499754840224	0.23167584589854975	0.8172987885256593	ns
