group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	153	171	-1.1145671647505564	0.2650359476457733	0.33129493455721665	ns	0.5344818352984018	0.5332884240137555	0.0011934112846462286	0
HF/HF	-8	Chow	dist	136	153	-0.44346300505166736	0.6574308723658785	0.6574308723658785	ns	0.45310457370952373	0.4565553698683049	-0.0034507961587811886	0
HF/HF	0	Chow	dist	171	153	-0.2024976410393158	0.8395277023908784	0.8395277023908784	ns	0.49278068094072747	0.4928191523882494	-3.847144752194831e-5	0
HF/HF	3	Chow	dist	78	10	-1.7462561744963256	0.0807664475382661	0.1615328950765322	ns	0.5904385712300857	0.5248466219574259	0.06559194927265977	0
HF/LF	-3	Chow	dist	153	253	8.289807081944447	1.1343229634520189e-16	3.781076544840063e-16	****	0.5344818352984018	0.6657408647809514	-0.13125902948254964	-0.13125902948254964
HF/LF	-3	HF/HF	dist	171	253	9.828726169357871	8.468310071822909e-23	8.468310071822909e-22	****	0.5332884240137555	0.6657408647809514	-0.13245244076719587	-0.13245244076719587
HF/LF	-8	HF/HF	dist	153	190	-1.4576021970205497	0.14495022372385397	0.20707174817693424	ns	0.4565553698683049	0.43535993221857133	0.021195437649733584	0
HF/LF	-8	Chow	dist	136	190	-1.8749118562321383	0.06080485069566218	0.10134141782610363	ns	0.45310457370952373	0.43535993221857133	0.017744641490952395	0
HF/LF	0	Chow	dist	171	253	12.32545868079775	6.606648826906773e-35	6.606648826906773e-34	****	0.49278068094072747	0.6890820816071096	-0.19630140066638213	-0.19630140066638213
HF/LF	0	HF/HF	dist	153	253	12.134393393767049	6.942254616534916e-34	3.4711273082674576e-33	****	0.4928191523882494	0.6890820816071096	-0.19626292921886018	-0.19626292921886018
HF/LF	3	HF/HF	dist	10	153	-0.21110182927371282	0.8328078128428822	0.8862399997856963	ns	0.5248466219574259	0.5128454824928921	0.01200113946453385	0
HF/LF	3	Chow	dist	78	153	-4.7111405232809584	2.463343013042883e-6	1.859520762421109e-5	****	0.5904385712300857	0.5128454824928921	0.07759308873719362	0.07759308873719362
LF/HF	-3	Chow	dist	153	153	-0.9016883056209593	0.3672224669268225	0.408024963252025	ns	0.5344818352984018	0.5348393970447531	-3.5756174635137583e-4	0
LF/HF	-3	HF/HF	dist	171	153	0.18817049517002118	0.8507430007604322	0.8507430007604322	ns	0.5332884240137555	0.5348393970447531	-0.0015509730309976044	0
LF/HF	-3	HF/LF	dist	253	153	-9.296434322585387	1.4523459826310786e-20	7.261729913155393e-20	****	0.6657408647809514	0.5348393970447531	0.13090146773619826	0.13090146773619826
LF/HF	-8	HF/HF	dist	153	136	1.1760322384032207	0.23958199368309574	0.29947749210386965	ns	0.4565553698683049	0.4903846970904764	-0.03382932722217147	0
LF/HF	-8	Chow	dist	136	136	0.7119293265527682	0.47650854090419936	0.5294539343379994	ns	0.45310457370952373	0.4903846970904764	-0.03728012338095266	0
LF/HF	-8	HF/LF	dist	190	136	2.6435463698923525	0.008204252722993572	0.016408505445987143	*	0.43535993221857133	0.4903846970904764	-0.05502476487190505	-0.05502476487190505
LF/HF	0	HF/LF	dist	253	136	-10.90253608388257	1.1208881043726172e-27	3.7362936812420575e-27	****	0.6890820816071096	0.49622672026860526	0.19285536133850434	0.19285536133850434
LF/HF	0	HF/HF	dist	153	136	0.7084123165435953	0.4786892460664913	0.5983615575831142	ns	0.4928191523882494	0.49622672026860526	-0.003407567880355844	0
LF/HF	0	Chow	dist	171	136	0.5305067655066746	0.5957606194985995	0.6619562438873328	ns	0.49278068094072747	0.49622672026860526	-0.0034460393278777923	0
LF/HF	3	Chow	dist	78	36	-1.0420994670534194	0.29736556565289307	0.4248079509327044	ns	0.5904385712300857	0.5634220127483446	0.027016558481741115	0
LF/HF	3	HF/HF	dist	10	36	1.0534686155985182	0.2921262709291421	0.4248079509327044	ns	0.5248466219574259	0.5634220127483446	-0.03857539079091865	0
LF/HF	3	HF/LF	dist	153	36	2.404865280372985	0.016178428666261752	0.04044607166565438	*	0.5128454824928921	0.5634220127483446	-0.0505765302554525	-0.0505765302554525
LF/LF	-3	HF/HF	dist	171	231	5.725052763436573	1.0340159902448693e-8	2.5850399756121733e-8	****	0.5332884240137555	0.6142475649913202	-0.08095914097756463	-0.08095914097756463
LF/LF	-3	LF/HF	dist	153	231	5.339932997581627	9.298093922968371e-8	1.8596187845936742e-7	****	0.5348393970447531	0.6142475649913202	-0.07940816794656702	-0.07940816794656702
LF/LF	-3	Chow	dist	153	231	4.350897651287644	1.3558133150896169e-5	1.9833898813246176e-5	****	0.5344818352984018	0.6142475649913202	-0.0797657296929184	-0.0797657296929184
LF/LF	-3	HF/LF	dist	253	231	-4.345691963433057	1.3883729169272323e-5	1.9833898813246176e-5	****	0.6657408647809514	0.6142475649913202	0.05149329978963124	0.05149329978963124
