group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.6889417376884817	0.0912305957237884	0.13032942246255486	ns	0.8063059885218673	0.8207024356639337	-0.014396447142066449	0
HF/HF	0	Chow	dist	200	110	5.577884223515753	2.4346159867630154e-8	4.869231973526031e-8	****	0.7558530475412549	0.8000951559855476	-0.04424210844429266	-0.04424210844429266
HF/HF	3	Chow	dist	145	13	4.428213095818768	9.501700197390678e-6	1.9003400394781357e-5	****	0.6758960976870143	0.7969123650120759	-0.12101626732506154	-0.12101626732506154
HF/LF	-3	Chow	dist	200	295	-7.230839665498505	4.800168033102072e-13	1.600056011034024e-12	****	0.8063059885218673	0.7603820918983066	0.04592389662356067	0.04592389662356067
HF/LF	-3	HF/HF	dist	110	295	-7.723089561780094	1.1354333324854498e-14	5.677166662427249e-14	****	0.8207024356639337	0.7603820918983066	0.060320343765627116	0.060320343765627116
HF/LF	0	HF/HF	dist	110	295	4.423377960345168	9.716953057641119e-6	1.61949217627352e-5	****	0.8000951559855476	0.8292562810980167	-0.029161125112469155	-0.029161125112469155
HF/LF	0	Chow	dist	200	295	12.623813360901975	1.56076420959229e-36	1.5607642095922902e-35	****	0.7558530475412549	0.8292562810980167	-0.07340323355676182	-0.07340323355676182
HF/LF	3	HF/HF	dist	13	100	-6.34753350270862	2.1879434160186418e-10	2.1879434160186417e-9	****	0.7969123650120759	0.6233450774271392	0.17356728758493667	0.17356728758493667
HF/LF	3	Chow	dist	145	100	-4.534201848676325	5.782171442609996e-6	1.445542860652499e-5	****	0.6758960976870143	0.6233450774271392	0.052551020259875125	0.052551020259875125
LF/HF	-3	Chow	dist	200	128	-0.8616485238807153	0.38888096025035235	0.43208995583372484	ns	0.8063059885218673	0.7873434502895542	0.018962538232313086	0
LF/HF	-3	HF/HF	dist	110	128	-2.2922153369431966	0.02189322037355427	0.04378644074710854	*	0.8207024356639337	0.7873434502895542	0.033358985374379535	0.033358985374379535
LF/HF	-3	HF/LF	dist	295	128	5.336153249201334	9.493916886897207e-8	2.3734792217243018e-7	****	0.7603820918983066	0.7873434502895542	-0.02696135839124758	-0.02696135839124758
LF/HF	0	HF/HF	dist	110	116	-3.4592513814909016	5.416790950335003e-4	6.770988687918754e-4	***	0.8000951559855476	0.7578500041578422	0.042245151827705385	0.042245151827705385
LF/HF	0	Chow	dist	200	116	1.7286713069804132	0.08386793947129402	0.09318659941254892	ns	0.7558530475412549	0.7578500041578422	-0.0019969566165872754	0
LF/HF	0	HF/LF	dist	295	116	-8.709917212274398	3.0409681145865097e-18	1.5204840572932548e-17	****	0.8292562810980167	0.7578500041578422	0.07140627694017454	0.07140627694017454
LF/HF	3	Chow	dist	145	12	3.4779749009236682	5.052172289849277e-4	6.315215362311596e-4	***	0.6758960976870143	0.7746346660377961	-0.09873856835078176	-0.09873856835078176
LF/HF	3	HF/HF	dist	13	12	-0.5928132785261695	0.5533061202380656	0.6147845780422951	ns	0.7969123650120759	0.7746346660377961	0.02227769897427978	0
LF/HF	3	HF/LF	dist	100	12	5.348881465135009	8.849947812657952e-8	4.424973906328976e-7	****	0.6233450774271392	0.7746346660377961	-0.1512895886106569	-0.1512895886106569
LF/LF	-3	Chow	dist	200	275	1.2879394556310138	0.197767039543712	0.24720879942964	ns	0.8063059885218673	0.8146708148933445	-0.008364826371477174	0
LF/LF	-3	HF/HF	dist	110	275	-0.7161730714552498	0.4738844885227956	0.4738844885227956	ns	0.8207024356639337	0.8146708148933445	0.006031620770589274	0
LF/LF	-3	LF/HF	dist	128	275	2.0301319830058326	0.04234312529986357	0.07057187549977262	ns	0.7873434502895542	0.8146708148933445	-0.02732736460379026	0
LF/LF	-3	HF/LF	dist	295	275	9.329331912000708	1.0654032894988012e-20	1.0654032894988012e-19	****	0.7603820918983066	0.8146708148933445	-0.05428872299503784	-0.05428872299503784
LF/LF	0	HF/LF	dist	295	259	-6.01835422468509	1.761992883453149e-9	4.404982208632873e-9	****	0.8292562810980167	0.7962460907291231	0.03301019036889363	0.03301019036889363
LF/LF	0	HF/HF	dist	110	259	-0.16085507173543942	0.8722075489663323	0.8722075489663323	ns	0.8000951559855476	0.7962460907291231	0.0038490652564244776	0
LF/LF	0	Chow	dist	200	259	6.8394484364088175	7.949866640300024e-12	2.6499555467666748e-11	****	0.7558530475412549	0.7962460907291231	-0.04039304318786818	-0.04039304318786818
LF/LF	0	LF/HF	dist	116	259	3.956873857113083	7.593700386499666e-5	1.0848143409285238e-4	***	0.7578500041578422	0.7962460907291231	-0.03839608657128091	-0.03839608657128091
LF/LF	3	HF/LF	dist	100	105	3.8072000939556006	1.405490246007406e-4	2.3424837433456765e-4	***	0.6233450774271392	0.6741917607313649	-0.050846683304225704	-0.050846683304225704
LF/LF	3	Chow	dist	145	105	-0.4480583215515366	0.6541111063926044	0.6541111063926044	ns	0.6758960976870143	0.6741917607313649	0.0017043369556494214	0
LF/LF	3	HF/HF	dist	13	105	-4.555680765107121	5.221618833453747e-6	1.445542860652499e-5	****	0.7969123650120759	0.6741917607313649	0.12272060428071097	0.12272060428071097
LF/LF	3	LF/HF	dist	12	105	-3.616835943468554	2.982261867034162e-4	4.2603740957630884e-4	***	0.7746346660377961	0.6741917607313649	0.10044290530643118	0.10044290530643118
