term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.5078506624577577	0.039385721669376574	4.223057499203176	0.004	**	-15
Residual	103	12.386432873106473	0.9606142783306236	NA	NA		-15
Total	104	12.89428353556423	1	NA	NA		-15
purified_diet	1	1.483815984897974	0.11891313752215443	13.95958577233003	0.001	***	-8
high_fat	1	0.21520761376739705	0.017246756223277107	2.0246507476808318	0.041	*	-8
high_fiber	1	0.9862515017745124	0.07903827809888966	9.278551095442785	0.001	***	-8
study	1	0.3995862473493874	0.03202287538793868	3.7592656704670824	0.003	**	-8
high_fat:high_fiber	1	0.14573713548697942	0.011679386265298684	1.3710797455683548	0.173	ns	-8
Residual	87	9.247551667471624	0.7410995665024415	NA	NA		-8
Total	92	12.478150150747874	1	NA	NA		-8
purified_diet	1	1.3303935716614852	0.06304492770231718	7.816208011234667	0.001	***	-3
high_fat	1	0.35674059188254903	0.016905286753324627	2.095890067119526	0.013	*	-3
high_fiber	1	2.02676094474177	0.09604450889788081	11.907442632456593	0.001	***	-3
study	1	1.0691502807134832	0.05066508406705121	6.28137505121143	0.001	***	-3
high_fat:high_fiber	1	0.31956244096561015	0.015143481911065026	1.8774643566908762	0.026	*	-3
Residual	94	15.999701588855912	0.7581967106683608	NA	NA		-3
Total	99	21.102309418820816	1	NA	NA		-3
purified_diet	1	2.0584024364391498	0.09608227513091586	12.623860622168378	0.001	***	0
high_fat	1	0.43128744969706734	0.020131670400658153	2.645018562300552	0.004	**	0
high_fiber	1	2.152414735154614	0.1004705888012471	13.200423365558215	0.001	***	0
study	1	1.1641396689981978	0.05433980546631788	7.139486752451149	0.001	***	0
high_fat:high_fiber	1	0.2897769553561016	0.013526232119744748	1.7771568043127293	0.051	+	0
Residual	94	15.327310306761346	0.7154494280811162	NA	NA		0
Total	99	21.423331552406477	1	NA	NA		0
purified_diet	1	2.108987761808784	0.1799122654403602	14.413092090591828	0.001	***	3
high_fat	1	0.4932489591036724	0.042077786920077555	3.370926469982222	0.004	**	3
high_fiber	1	0.3250307826348986	0.027727531425571092	2.2213019379382613	0.022	*	3
study	1	0.4446170251366688	0.03792912301069309	3.0385696135304605	0.002	**	3
high_fat:high_fiber	1	0.3025830622740089	0.02581257473533614	2.0678913460684107	0.032	*	3
Residual	55	8.047844707465558	0.6865407184679619	NA	NA		3
Total	60	11.72231229842359	1	NA	NA		3
