term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.6401419789939589	0.03823859218154363	4.095168471807142	0.005	**	-15
Residual	103	16.100588850080133	0.9617614078184565	NA	NA		-15
Total	104	16.74073082907409	1	NA	NA		-15
purified_diet	1	9.741887864822331	0.21605362322815527	31.12473833441521	0.001	***	-8
high_fat	1	2.474341582652036	0.05487544831699928	7.905370640540826	0.001	***	-8
high_fiber	1	4.384454934533123	0.097237556788868	14.008066451796282	0.001	***	-8
study	1	0.7442280000263679	0.01650533840511137	2.3777631279877505	0.044	*	-8
high_fat:high_fiber	1	0.5146603524475459	0.011414033442089883	1.644308477299427	0.134	ns	-8
Residual	87	27.230566089688125	0.603913999818777	NA	NA		-8
Total	92	45.09013882416949	1	NA	NA		-8
purified_diet	1	6.4480874567318	0.082800699123466	12.414010926937816	0.001	***	-3
high_fat	1	7.782834770363767	0.09994035665191876	14.983698116715232	0.001	***	-3
high_fiber	1	13.313887909858904	0.17096530318255446	25.632212823115918	0.001	***	-3
study	1	0.8084434918374725	0.0103813241949865	1.55643458759303	0.171	ns	-3
high_fat:high_fiber	1	0.6960468147893941	0.008938024379159823	1.3400458387757879	0.235	ns	-3
Residual	94	48.82549439500951	0.626974292467915	NA	NA		-3
Total	99	77.8747948385908	1	NA	NA		-3
purified_diet	1	5.772632734965342	0.07359023914675611	9.858861351352548	0.001	***	0
high_fat	1	1.673021023508289	0.021327879820205613	2.8572893973940263	0.022	*	0
high_fiber	1	6.754056233108635	0.08610154780755981	11.534997464524524	0.001	***	0
study	1	3.3970655125901157	0.043306213117368035	5.801719843915967	0.001	***	0
high_fat:high_fiber	1	5.806568859404976	0.07402286107645206	9.91681957613724	0.001	***	0
Residual	94	55.039568744142905	0.7016512590316586	NA	NA		0
Total	99	78.44291310772024	1	NA	NA		0
purified_diet	1	2.560113293997451	0.07103905997779007	5.226933156319569	0.003	**	3
high_fat	1	3.7422880445948805	0.10384252348419981	7.640556184233767	0.001	***	3
high_fiber	1	0.40579219849036896	0.011260086182383349	0.8284979816472267	0.491	ns	3
study	1	1.103065339862197	0.030608303555010572	2.2521068938749753	0.069	+	3
high_fat:high_fiber	1	1.2882546249956413	0.03574701080077355	2.6302042292267607	0.037	*	3
Residual	55	26.938594192584905	0.7475030159998426	NA	NA		3
Total	60	36.03810769452544	1	NA	NA		3
