group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	253	171	-4.417299640850119	9.994163918692255e-6	1.2121678323674021e-5	****	0.8713143902306393	0.6584492582842841	0.21286513194635515	0.21286513194635515
HF/HF	-8	Chow	dist	231	153	6.140225513249463	8.240441037922105e-10	2.060110259480526e-9	****	0.48344381723243324	0.6837728914871917	-0.20032907425475843	-0.20032907425475843
HF/HF	0	Chow	dist	276	153	-1.3937845371722328	0.16338267891429017	0.2042283486428627	ns	0.8638336385301005	0.7933358632811163	0.07049777524898426	0
HF/HF	3	Chow	dist	496	15	3.156614147029096	0.0015961240155169198	0.0026602066925281997	**	0.8022246510827628	1.0893903697015517	-0.2871657186187889	-0.2871657186187889
HF/LF	-3	Chow	dist	253	378	5.388825836664282	7.091949029371449e-8	1.0131355756244928e-7	****	0.8713143902306393	1.041166401519768	-0.16985201128912863	-0.16985201128912863
HF/LF	-3	HF/HF	dist	171	378	9.494670533860932	2.2090883320166425e-21	5.522720830041606e-21	****	0.6584492582842841	1.041166401519768	-0.3827171432354838	-0.3827171432354838
HF/LF	-8	HF/HF	dist	153	300	5.018388972552376	5.210659328343469e-7	8.684432213905782e-7	****	0.6837728914871917	0.8786690356029567	-0.19489614411576506	-0.19489614411576506
HF/LF	-8	Chow	dist	231	300	13.007115801185398	1.1147042019574652e-38	1.114704201957465e-37	****	0.48344381723243324	0.8786690356029567	-0.3952252183705235	-0.3952252183705235
HF/LF	0	Chow	dist	276	378	8.125479114212718	4.455987189051566e-16	2.2279935945257833e-15	****	0.8638336385301005	1.1471833639091034	-0.2833497253790028	-0.2833497253790028
HF/LF	0	HF/HF	dist	153	378	8.180122818244424	2.8355471100955025e-16	2.2279935945257833e-15	****	0.7933358632811163	1.1471833639091034	-0.3538475006279871	-0.3538475006279871
HF/LF	3	HF/HF	dist	15	406	-1.1149941680934312	0.2648529208578855	0.3425224287508327	ns	1.0893903697015517	0.9823319863025308	0.10705838339902085	0
HF/LF	3	Chow	dist	496	406	7.980467987469258	1.457795067004517e-15	7.288975335022584e-15	****	0.8022246510827628	0.9823319863025308	-0.18010733521976807	-0.18010733521976807
LF/HF	-3	Chow	dist	253	153	-7.2590003387488204	3.8996149975490593e-13	6.499358329248432e-13	****	0.8713143902306393	0.521075729073079	0.3502386611575603	0.3502386611575603
LF/HF	-3	HF/HF	dist	171	153	-2.750801101388955	0.005944972777553721	0.005944972777553721	**	0.6584492582842841	0.521075729073079	0.13737352921120516	0.13737352921120516
LF/HF	-3	HF/LF	dist	378	153	-12.326728112691804	6.50341699062398e-35	2.1678056635413265e-34	****	1.041166401519768	0.521075729073079	0.5200906724466889	0.5200906724466889
LF/HF	-8	HF/HF	dist	153	136	2.2893856039654428	0.022056957834777742	0.0315099397639682	*	0.6837728914871917	0.7736711427503438	-0.0898982512631521	-0.0898982512631521
LF/HF	-8	Chow	dist	231	136	8.417911874583337	3.83253895280424e-17	1.2775129842680802e-16	****	0.48344381723243324	0.7736711427503438	-0.29022732551791053	-0.29022732551791053
LF/HF	-8	HF/LF	dist	300	136	-2.2127465706320493	0.026915122718557713	0.033643903398197145	*	0.8786690356029567	0.7736711427503438	0.10499789285261296	0.10499789285261296
LF/HF	0	HF/LF	dist	378	136	-1.223634381246224	0.221090183632103	0.24565575959122557	ns	1.1471833639091034	1.0944834399204808	0.052699923988622555	0
LF/HF	0	HF/HF	dist	153	136	5.612712493138841	1.9917938614856495e-8	3.983587722971299e-8	****	0.7933358632811163	1.0944834399204808	-0.30114757663936453	-0.30114757663936453
LF/HF	0	Chow	dist	276	136	4.972761475128136	6.600585466537334e-7	1.1000975777562224e-6	****	0.8638336385301005	1.0944834399204808	-0.23064980139038027	-0.23064980139038027
LF/HF	3	Chow	dist	496	55	3.578958487491557	3.44966252898145e-4	8.624156322453626e-4	***	0.8022246510827628	0.9771741220250781	-0.1749494709423154	-0.1749494709423154
LF/HF	3	HF/HF	dist	15	55	-1.0938564466835836	0.2740179430006662	0.3425224287508327	ns	1.0893903697015517	0.9771741220250781	0.11221624767647354	0
LF/HF	3	HF/LF	dist	406	55	-0.17724171121785084	0.8593185334728028	0.8593185334728028	ns	0.9823319863025308	0.9771741220250781	0.005157864277452684	0
LF/LF	-3	HF/HF	dist	171	351	12.87889355284306	5.9177843150066515e-38	2.9588921575033258e-37	****	0.6584492582842841	1.2738741053381888	-0.6154248470539047	-0.6154248470539047
LF/LF	-3	LF/HF	dist	153	351	15.557734594689581	1.4100190652281912e-54	1.410019065228191e-53	****	0.521075729073079	1.2738741053381888	-0.7527983762651098	-0.7527983762651098
LF/LF	-3	Chow	dist	253	351	9.260771462319964	2.0296040898331476e-20	4.059208179666295e-20	****	0.8713143902306393	1.2738741053381888	-0.4025597151075495	-0.4025597151075495
LF/LF	-3	HF/LF	dist	378	351	4.398313921126516	1.0909510491306618e-5	1.2121678323674021e-5	****	1.041166401519768	1.2738741053381888	-0.23270770381842087	-0.23270770381842087
LF/LF	-8	HF/HF	dist	153	325	0.9756504173333984	0.3292377309061981	0.3292377309061981	ns	0.6837728914871917	0.7238556763921545	-0.040082784904962865	0
