group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.8849598885573633	0.0594352534811803	0.0594352534811803	ns	1.2512592227688126	1.313218908270283	-0.06195968550147035	0
HF/HF	0	Chow	dist	200	110	-3.5382134734374775	4.02844228049177e-4	5.754917543559671e-4	***	1.30099001289756	1.181180889031747	0.119809123865813	0.119809123865813
HF/HF	3	Chow	dist	145	13	7.947161522450125	1.908335255509413e-15	9.541676277547066e-15	****	0.864420418954969	1.57890083166064	-0.7144804127056711	-0.7144804127056711
HF/LF	-3	Chow	dist	200	295	15.646326364326807	3.519589334162605e-55	1.7597946670813025e-54	****	1.2512592227688126	1.6757574874802108	-0.4244982647113982	-0.4244982647113982
HF/LF	-3	HF/HF	dist	110	295	10.825427437400002	2.6085915656934634e-27	8.695305218978212e-27	****	1.313218908270283	1.6757574874802108	-0.3625385792099278	-0.3625385792099278
HF/LF	0	HF/HF	dist	110	295	8.058220592297795	7.741302835500504e-16	7.741302835500504e-15	****	1.181180889031747	1.4193399584625397	-0.23815906943079268	-0.23815906943079268
HF/LF	0	Chow	dist	200	295	5.243000624049762	1.5798600461064697e-7	3.1597200922129395e-7	****	1.30099001289756	1.4193399584625397	-0.11834994556497969	-0.11834994556497969
HF/LF	3	HF/HF	dist	13	100	-4.018889033288798	5.847319981893531e-5	9.745533303155885e-5	****	1.57890083166064	1.0655628885886452	0.5133379430719949	0.5133379430719949
HF/LF	3	Chow	dist	145	100	8.585138907684257	9.072673715205527e-18	9.072673715205526e-17	****	0.864420418954969	1.0655628885886452	-0.2011424696336762	-0.2011424696336762
LF/HF	-3	Chow	dist	200	128	-1.9843653036047575	0.04721513101833499	0.052461256687038875	ns	1.2512592227688126	1.173109034333225	0.07815018843558752	0
LF/HF	-3	HF/HF	dist	110	128	-3.4486469473664116	5.63402819351722e-4	7.042535241896525e-4	***	1.313218908270283	1.173109034333225	0.14010987393705787	0.14010987393705787
LF/HF	-3	HF/LF	dist	295	128	-15.662693220392494	2.7212519958426572e-55	1.7597946670813025e-54	****	1.6757574874802108	1.173109034333225	0.5026484531469857	0.5026484531469857
LF/HF	0	HF/HF	dist	110	116	7.097702818850168	1.2684757611693686e-12	4.228252537231229e-12	****	1.181180889031747	1.413549115423226	-0.23236822639147903	-0.23236822639147903
LF/HF	0	Chow	dist	200	116	4.4949316292649	6.959230406720254e-6	1.1598717344533758e-5	****	1.30099001289756	1.413549115423226	-0.11255910252566603	-0.11255910252566603
LF/HF	0	HF/LF	dist	295	116	0.40472834961947407	0.6856772011159824	0.6856772011159824	ns	1.4193399584625397	1.413549115423226	0.005790843039313653	0
LF/HF	3	Chow	dist	145	12	6.012249029682398	1.8296696096081003e-9	6.098898698693668e-9	****	0.864420418954969	1.1953905898929484	-0.3309701709379794	-0.3309701709379794
LF/HF	3	HF/HF	dist	13	12	-1.2361478980082181	0.216403593415449	0.216403593415449	ns	1.57890083166064	1.1953905898929484	0.38351024176769166	0
LF/HF	3	HF/LF	dist	100	12	2.2586291154716696	0.02390646513921051	0.026562739043567235	*	1.0655628885886452	1.1953905898929484	-0.1298277013043032	-0.1298277013043032
LF/LF	-3	Chow	dist	200	275	7.179716443328286	6.985614963898897e-13	1.1642691606498163e-12	****	1.2512592227688126	1.4410577534608293	-0.1897985306920167	-0.1897985306920167
LF/LF	-3	HF/HF	dist	110	275	3.9309525880007636	8.460995770821777e-5	1.2087136815459682e-4	***	1.313218908270283	1.4410577534608293	-0.12783884519054634	-0.12783884519054634
LF/LF	-3	LF/HF	dist	128	275	8.335008332437765	7.749273540643493e-17	1.5498547081286987e-16	****	1.173109034333225	1.4410577534608293	-0.2679487191276042	-0.2679487191276042
LF/LF	-3	HF/LF	dist	295	275	-9.137361182918248	6.399475158721362e-20	1.5998687896803405e-19	****	1.6757574874802108	1.4410577534608293	0.2346997340193815	0.2346997340193815
LF/LF	0	HF/LF	dist	295	259	-7.207256272772321	5.709049830939789e-13	2.8545249154698945e-12	****	1.4193399584625397	1.2621837972154102	0.1571561612471295	0.1571561612471295
LF/LF	0	HF/HF	dist	110	259	2.5177040796796586	0.011812251675433746	0.014765314594292183	*	1.181180889031747	1.2621837972154102	-0.08100290818366318	-0.08100290818366318
LF/LF	0	Chow	dist	200	259	-1.4179217168670966	0.1562136212437053	0.17357069027078367	ns	1.30099001289756	1.2621837972154102	0.038806215682149814	0
LF/LF	0	LF/HF	dist	116	259	-5.8902384102350345	3.856388610947412e-9	9.640971527368529e-9	****	1.413549115423226	1.2621837972154102	0.15136531820781585	0.15136531820781585
LF/LF	3	HF/LF	dist	100	105	-2.580168381111145	0.009875215141517303	0.012344018926896629	*	1.0655628885886452	1.009578666323303	0.055984222265342165	0.055984222265342165
LF/LF	3	Chow	dist	145	105	5.89528522218299	3.740347317015986e-9	9.350868292539964e-9	****	0.864420418954969	1.009578666323303	-0.14515824736833405	-0.14515824736833405
LF/LF	3	HF/HF	dist	13	105	-5.256126825556209	1.4712085314591154e-7	2.942417062918231e-7	****	1.57890083166064	1.009578666323303	0.569322165337337	0.569322165337337
LF/LF	3	LF/HF	dist	12	105	-3.4475163820916768	5.657660950720576e-4	8.08237278674368e-4	***	1.1953905898929484	1.009578666323303	0.18581192356964538	0.18581192356964538
