day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-3	purified_diet.y	0.30387596638393377	0.10004555497829891	3.0373759878672084	0.002473795221257715	**
-3	seq_depth.y	2.4069028353912513e-6	2.1419367408286977e-6	1.1237039775787405	0.26151788654706704	ns
-3	high_fat.y	0.20504947968748752	0.02706123441868195	7.577240436080399	1.1023204064229134e-13	****
-3	high_fiber.y	-0.32865812915358805	0.039172796640148506	-8.389958270601078	2.6147144677978495e-16	****
-3	purified_diet.y:seq_depth.y	-1.0969704968976476e-6	2.2044630566699104e-6	-0.4976134635500515	0.6189103704438671	ns
-3	high_fat.y:high_fiber.y	-0.03829306238948007	0.04421615369708695	-0.8660423665933406	0.38675906882005395	ns
0	purified_diet.y	-0.045729870900685934	0.08924058403926947	-0.5124335681237019	0.6085132707840017	ns
0	seq_depth.y	-4.49081574947235e-6	1.7848359884481178e-6	-2.516094351827269	0.012094499647654858	*
0	high_fat.y	0.09337321613323081	0.03040182900874996	3.07130258861587	0.0022158993862432573	**
0	high_fiber.y	0.09295387780434376	0.030211646544356045	3.0767564312614017	0.002176307811054118	**
0	purified_diet.y:seq_depth.y	1.3999032544972258e-6	1.9543631181681756e-6	0.7162963941978986	0.4740531900247703	ns
0	high_fat.y:high_fiber.y	-0.3244162354898757	0.04396425322173907	-7.379091232452939	4.64099802079727e-13	****
