Day,status,diet,group,inf_stock,barrier
14,0,chow,1,spores,H47
14,0,chow,1,spores,H47
14,0,chow,1,spores,H47
14,0,chow,1,spores,H47
4,1,LF/LF,1,spores,H47
4,1,LF/LF,1,spores,H47
4,1,LF/LF,1,spores,H47
4,1,LF/LF,1,spores,H47
5,1,LF+fiber,1,spores,H47
14,0,LF+fiber,1,spores,H47
14,0,LF+fiber,1,spores,H47
14,0,LF+fiber,1,spores,H47
5,1,HF/LF,1,spores,H47
7,1,HF/LF,1,spores,H47
14,0,HF/LF,1,spores,H47
14,0,HF/LF,1,spores,H47
14,0,HF+fiber,1,spores,H47
14,0,HF+fiber,1,spores,H47
14,0,HF+fiber,1,spores,H47
14,0,HF+fiber,1,spores,H47
3,1,chow,2,spores,H44
14,0,chow,2,spores,H44
14,0,chow,2,spores,H44
14,0,chow,2,spores,H44
3,1,LF/LF,2,spores,H44
3,1,LF/LF,2,spores,H44
4,1,LF/LF,2,spores,H44
6,1,LF/LF,2,spores,H44
3,1,LF+fiber,2,spores,H44
14,0,LF+fiber,2,spores,H44
14,0,LF+fiber,2,spores,H44
14,0,LF+fiber,2,spores,H44
5,1,HF/LF,2,spores,H44
6,1,HF/LF,2,spores,H44
7,1,HF/LF,2,spores,H44
7,1,HF/LF,2,spores,H44
3,1,HF+fiber,2,spores,H44
4,1,HF+fiber,2,spores,H44
6,1,HF+fiber,2,spores,H44
14,0,HF+fiber,2,spores,H44
14,0,chow,3,spores,H44
14,0,chow,3,spores,H44
14,0,chow,3,spores,H44
14,0,chow,3,spores,H44
5,1,LF/LF,3,spores,H44
5,1,LF/LF,3,spores,H44
6,1,LF/LF,3,spores,H44
14,0,LF/LF,3,spores,H44
14,0,LF+fiber,3,spores,H44
14,0,LF+fiber,3,spores,H44
14,0,LF+fiber,3,spores,H44
14,0,LF+fiber,3,spores,H44
7,1,HF/LF,3,spores,H44
7,1,HF/LF,3,spores,H44
9,1,HF/LF,3,spores,H44
14,0,HF/LF,3,spores,H44
4,1,HF+fiber,3,spores,H44
5,1,HF+fiber,3,spores,H44
14,0,HF+fiber,3,spores,H44
14,0,HF+fiber,3,spores,H44
3,1,chow,4,spores,H44
14,0,chow,4,spores,H44
14,0,chow,4,spores,H44
14,0,chow,4,spores,H44
2,1,LF/LF,4,spores,H44
3,1,LF/LF,4,spores,H44
3,1,LF/LF,4,spores,H44
4,1,LF/LF,4,spores,H44
2,1,LF+fiber,4,spores,H44
2,1,LF+fiber,4,spores,H44
3,1,LF+fiber,4,spores,H44
14,0,LF+fiber,4,spores,H44
3,1,HF/LF,4,spores,H44
3,1,HF/LF,4,spores,H44
4,1,HF/LF,4,spores,H44
4,1,HF/LF,4,spores,H44
3,1,HF+fiber,4,spores,H44
3,1,HF+fiber,4,spores,H44
14,0,HF+fiber,4,spores,H44
14,0,HF+fiber,4,spores,H44
14,0,chow,5,spores,H47
14,0,chow,5,spores,H47
14,0,chow,5,spores,H47
14,0,chow,5,spores,H47
4,1,LF/LF,5,spores,H47
4,1,LF/LF,5,spores,H47
4,1,LF/LF,5,spores,H47
6,1,LF/LF,5,spores,H47
5,1,LF+fiber,5,spores,H47
14,0,LF+fiber,5,spores,H47
14,0,LF+fiber,5,spores,H47
14,0,LF+fiber,5,spores,H47
4,1,HF/LF,5,spores,H47
4,1,HF/LF,5,spores,H47
7,1,HF/LF,5,spores,H47
14,0,HF/LF,5,spores,H47
3,1,HF+fiber,5,spores,H47
6,1,HF+fiber,5,spores,H47
14,0,HF+fiber,5,spores,H47
14,0,HF+fiber,5,spores,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
4,1,chow,6,culture,H47
5,1,chow,6,culture,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
14,0,chow,6,culture,H47
6,1,HF/LF,6,culture,H47
6,1,HF/LF,6,culture,H47
8,1,HF/LF,6,culture,H47
7,1,HF/LF,6,culture,H47
8,1,HF/LF,6,culture,H47
14,0,HF/LF,6,culture,H47
7,1,HF/LF,6,culture,H47
14,0,HF/LF,6,culture,H47
6,1,HF/LF,6,culture,H47
5,1,HF/LF,6,culture,H47
14,0,chow,7,culture,H44
14,0,chow,7,culture,H44
14,0,chow,7,culture,H44
4,1,chow,7,culture,H44
14,0,chow,7,culture,H44
3,1,chow,7,culture,H44
14,0,chow,7,culture,H44
14,0,chow,7,culture,H44
14,0,chow,7,culture,H44
14,0,chow,7,culture,H44
5,1,LF/LF,7,culture,H44
14,0,LF/LF,7,culture,H44
14,0,LF/LF,7,culture,H44
4,1,LF/LF,7,culture,H44
5,1,LF/LF,7,culture,H44
3,1,LF/LF,7,culture,H44
4,1,LF/LF,7,culture,H44
4,1,LF/LF,7,culture,H44
4,1,LF/LF,7,culture,H44
14,0,LF/LF,7,culture,H44
14,0,LF/LF,8,culture,H47
4,1,LF/LF,8,culture,H47
14,0,LF/LF,8,culture,H47
7,1,LF/LF,8,culture,H47
5,1,LF/LF,8,culture,H47
5,1,LF/LF,8,culture,H47
4,1,LF/LF,8,culture,H47
14,0,LF/LF,8,culture,H47
14,0,LF/LF,8,culture,H47
4,1,LF/LF,8,culture,H47
6,,HF/LF,8,culture,H47
5,,HF/LF,8,culture,H47
5,,HF/LF,8,culture,H47
14,,HF/LF,8,culture,H47
14,,HF/LF,8,culture,H47
14,,HF/LF,8,culture,H47
14,,HF/LF,8,culture,H47
7,,HF/LF,8,culture,H47
5,,HF/LF,8,culture,H47
4,,HF/LF,8,culture,H47
