Tube_Label,Collection Date,Sample_Type,mouse_id,Notes,SCFA Data File,Acq. Date-Time,Sample Group,Dil.,Acetic Acid (ug/g),Propanoic Acid (ug/g),2-methyl-propanoic acid (ug/g),n-Butanoic Acid (ug/g),Isopentanoic Acid (ug/g),2-methyl-Butanoic Acid (ug/g),Pentanoic Acid (ug/g)
Chow.1,4/21/22,Chow,NA,9695?,Chow_1_042122.D,6/22/23 12:55,Chow,5,426.5,160.5,7.1,276.3,7.2,7.2,ND
Chow.1,5/6/22,Chow,9740,,Chow_1_050622.D,6/22/23 13:37,Chow,5,1611.8,398.0,62.2,394.9,55.3,41.8,55.2
Chow.1,7/1/22,Chow,9939,"MC: not enough sample to run, NN: ELISA tube was low, but we have 16S tube",,,,,,,,,,,
Chow.1,7/15/22,Chow,9964,"MC: less material (higher dilution), NN: ELISA was sufficient, but we don't have 16S tube",Chow_1_071522.D,6/21/23 20:48,Chow,25,2951.4,653.8,134.1,323.6,61.9,100.1,18.5
Chow.1,8/19/22,Chow,117,,Chow_1_081922.D,6/21/23 20:34,Chow,5,962.1,57.1,18.7,723.0,10.2,9.6,3.9
Chow.2,4/21/22,Chow,9685,,Chow_2_042122.D,6/22/23 3:56,Chow,5,690.0,196.3,8.5,323.5,5.8,5.2,ND
Chow.2,5/6/22,Chow,9741,,Chow_2_050622.D,6/22/23 8:46,Chow,5,938.6,249.9,31.0,389.9,21.6,20.6,36.4
Chow.2,7/1/22,Chow,9943,,Chow_2_070122.D,6/22/23 7:10,Chow,5,590.9,77.6,18.6,23.2,3.5,13.6,ND
Chow.2,7/15/22,Chow,9965,,Chow_2_071522.D,6/22/23 15:14,Chow,5,482.1,249.9,46.4,115.0,26.2,30.9,8.1
Chow.2,8/19/22,Chow,116,,Chow_2_081922.D,6/22/23 9:14,Chow,5,1043.4,113.9,29.2,593.4,14.0,16.4,4.1
Chow.3,4/21/22,Chow,9690,,Chow_3_042122.D,6/21/23 22:11,Chow,5,461.2,157.7,8.8,339.4,8.7,8.1,13.2
Chow.3,5/6/22,Chow,9743,,Chow_3_050622.D,6/21/23 19:25,Chow,5,2271.2,467.2,29.4,1082.2,14.8,14.5,50.5
Chow.3,7/1/22,Chow,9941,,Chow_3_070122.D,6/22/23 7:24,Chow,5,769.7,115.3,14.0,27.0,2.5,7.1,ND
Chow.3,7/15/22,Chow,9962,,Chow_3_071522.D,6/22/23 4:10,Chow,5,1767.3,303.3,42.9,412.3,26.5,25.4,48.8
Chow.3,8/19/22,Chow,115,"MC: not enough sample to run, NN: ELISA tube was sufficient and we have 16S tube",,,,,,,,,,,
Chow.4,4/21/22,Chow,NA,9695?,Chow_4_042122.D,6/22/23 3:01,Chow,5,766.4,283.7,23.2,650.6,15.6,14.2,49.3
Chow.4,5/6/22,Chow,9742,,Chow_4_050622.D,6/22/23 12:28,Chow,5,810.0,153.8,30.4,250.0,30.6,23.5,23.2
Chow.4,7/15/22,Chow,9963,"MC: less material (higher dilution), NN: ELISA was low and we don't have 16S tube",Chow_4_071522.D,6/22/23 14:32,Chow,25,345.2,54.1,2.1,ND,ND,ND,ND
Chow.4,8/19/22,Chow,114,,Chow_4_081922.D,6/21/23 17:34,Chow,5,888.9,132.9,23.9,333.7,17.5,15.1,3.6
Chow.5,4/21/22,Chow,9688,,Chow_5_042122.D,6/22/23 6:01,Chow,5,851.5,163.7,10.4,461.1,8.2,7.1,3.8
Ctrl.1,4/21/22,Ctrl,NA,ctrl is LF/LF,Ctrl_1_042122.D,6/21/23 23:34,Ctrl,5,334.3,105.9,7.6,0.8,4.1,8.2,ND
Ctrl.1,6/3/22,Ctrl,9841,,Ctrl_1_060322.D,6/22/23 13:23,Ctrl,5,37.6,7.3,1.9,1.1,ND,ND,ND
Ctrl.1,7/1/22,Ctrl,9946,,Ctrl_1_070122.D,6/21/23 17:48,Ctrl,25,242.3,55.7,19.5,4.1,ND,19.8,ND
Ctrl.1,7/15/22,Ctrl,9966,,Ctrl_1_071522.D,6/21/23 18:43,Ctrl,5,89.9,10.6,11.5,3.6,2.5,8.3,ND
Ctrl.1,8/19/22,Ctrl,NA,,Ctrl_1_081922.D,6/22/23 2:33,Ctrl,5,251.9,110.3,25.1,8.8,16.4,19.3,ND
Ctrl.2,4/21/22,Ctrl,NA,,Ctrl_2_042122.D,6/22/23 8:33,Ctrl,5,961.1,180.9,21.6,150.5,7.2,15.3,3.8
Ctrl.2,6/3/22,Ctrl,9842,,Ctrl_2_060322.D,6/21/23 19:39,Ctrl,5,235.3,26.1,2.8,1.2,ND,3.6,ND
Ctrl.2,7/1/22,Ctrl,9948,,Ctrl_2_070122.D,6/22/23 9:00,Ctrl,5,383.7,139.5,51.3,74.5,17.9,33.4,4.4
Ctrl.2,7/15/22,Ctrl,9969,"MC: less material (higher dilution), NN: ELISA was low, but we do have 16S tube",Ctrl_2_071522.D,6/21/23 23:47,Ctrl,100,1414.8,263.5,232.1,135.8,32.4,128.1,ND
Ctrl.2,8/19/22,Ctrl,NA,,Ctrl_2_081922.D,6/22/23 13:09,Ctrl,5,206.2,111.5,17.5,43.5,9.4,13.6,ND
Ctrl.3,4/21/22,Ctrl,NA,,Ctrl_3_042122.D,6/22/23 9:28,Ctrl,5,955.0,158.0,11.2,182.7,4.0,8.4,3.0
Ctrl.3,7/1/22,Ctrl,9947,,Ctrl_3_070122.D,6/21/23 18:57,Ctrl,5,363.0,105.7,52.4,13.9,10.5,29.1,ND
Ctrl.3,7/15/22,Ctrl,9968,,Ctrl_3_071522.D,6/22/23 0:15,Ctrl,5,411.0,41.3,35.4,7.3,7.4,21.0,ND
Ctrl.3,8/19/22,Ctrl,NA,,Ctrl_3_081922.D,6/22/23 10:09,Ctrl,5,216.7,100.0,20.0,1.0,11.1,13.6,ND
Ctrl.4,4/21/22,Ctrl,NA,,Ctrl_4_042122.D,6/22/23 12:00,Ctrl,5,642.7,179.6,9.5,264.9,4.5,11.1,5.0
Ctrl.4,7/1/22,Ctrl,9945,,Ctrl_4_070122.D,6/21/23 18:16,Ctrl,5,469.7,122.6,41.8,17.1,8.1,25.8,ND
Ctrl.4,7/15/22,Ctrl,9970,"MC: less material (higher dilution), NN: ELISA was sufficient and we have 16S tube",Ctrl_4_071522.D,6/22/23 3:42,Ctrl,25,1409.4,718.2,124.7,80.3,32.8,72.3,ND
Ctrl.5,4/21/22,Ctrl,NA,,Ctrl_5_042122.D,6/21/23 22:38,Ctrl,5,703.5,193.2,15.0,50.7,6.8,15.4,ND
Ctrl+F.1,5/6/22,Ctrl+F,9747,,Ctrl_F_1_050622.D,6/21/23 18:30,Ctrl,5,1353.5,119.6,46.3,77.6,9.0,27.2,ND
