sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
1_0403_9685	Chow	-15	9685	1	Chow	0	1	0	38187
1_0410_9685	Chow	-8	9685	1	Chow	0	1	0	40496
1_0421_9685	Chow	3	9685	1	Chow	0	1	0	44864
1_0403_9688	Chow	-15	9688	1	Chow	0	1	0	38151
1_0410_9688	Chow	-8	9688	1	Chow	0	1	0	39652
1_0415_9739	Chow	-3	9688	1	Chow	0	1	0	50377
1_0418_9739	Chow	0	9688	1	Chow	0	1	0	44055
1_0421_9688	Chow	3	9688	1	Chow	0	1	0	49159
1_0403_9690	Chow	-15	9690	1	Chow	0	1	0	42394
1_0410_9690	Chow	-8	9690	1	Chow	0	1	0	35763
1_0415_9690	Chow	-3	9690	1	Chow	0	1	0	32337
1_0418_9690	Chow	0	9690	1	Chow	0	1	0	54974
1_0421_9690	Chow	3	9690	1	Chow	0	1	0	38390
1_0403_9695	Chow	-15	9695	1	Chow	0	1	0	37477
1_0410_9695	Chow	-8	9695	1	Chow	0	1	0	33120
1_0415_9738	Chow	-3	9695	1	Chow	0	1	0	45272
1_0415_9695	Chow	-3	9695	1	Chow	0	1	0	37438
1_0418_9695	Chow	0	9695	1	Chow	0	1	0	48318
1_0418_9738	Chow	0	9695	1	Chow	0	1	0	61729
1_0421_9695	Chow	3	9695	1	Chow	0	1	0	43885
1_0403_9696	Chow	-15	9696	1	Chow	0	1	0	40642
1_0410_9696	Chow	-8	9696	1	Chow	0	1	0	31529
1_0415_9696	Chow	-3	9696	1	Chow	0	1	0	37943
1_0418_9696	Chow	0	9696	1	Chow	0	1	0	46990
1_0421_9696	Chow	3	9696	1	Chow	0	1	0	39593
2_0418_9740	Chow	-15	9740	2	Chow	0	1	0	39052
2_0425_9740	Chow	-8	9740	2	Chow	0	1	0	39932
2_0430_9740	Chow	-3	9740	2	Chow	0	1	0	51208
2_0503_9740	Chow	0	9740	2	Chow	0	1	0	40565
2B_0506_9740	Chow	3	9740	2	Chow	0	1	0	39112
2_0506_9740	Chow	3	9740	2	Chow	0	1	0	42001
2_0418_9741	Chow	-15	9741	2	Chow	0	1	0	38891
2_0425_9741	Chow	-8	9741	2	Chow	0	1	0	52548
2_0430_9741	Chow	-3	9741	2	Chow	0	1	0	61435
2_0503_9741	Chow	0	9741	2	Chow	0	1	0	40261
2_0506_9741	Chow	3	9741	2	Chow	0	1	0	47889
2_0418_9742	Chow	-15	9742	2	Chow	0	1	0	42301
2_0425_9742	Chow	-8	9742	2	Chow	0	1	0	37408
2_0430_9742	Chow	-3	9742	2	Chow	0	1	0	36182
2_0503_9742	Chow	0	9742	2	Chow	0	1	0	42655
2_0506_9742	Chow	3	9742	2	Chow	0	1	0	51972
2_0418_9743	Chow	-15	9743	2	Chow	0	1	0	38789
2_0425_9743	Chow	-8	9743	2	Chow	0	1	0	54744
2_0430_9743	Chow	-3	9743	2	Chow	0	1	0	45658
2_0503_9743	Chow	0	9743	2	Chow	0	1	0	49505
2_0506_9743	Chow	3	9743	2	Chow	0	1	0	39619
2_0418_9744	Chow	-15	9744	2	Chow	0	1	0	32586
2_0425_9744	Chow	-8	9744	2	Chow	0	1	0	41592
2_0430_9744	Chow	-3	9744	2	Chow	0	1	0	39770
2_0503_9744	Chow	0	9744	2	Chow	0	1	0	44753
3_0516_9841	LF/LF	-15	9841	3	Chow	0	1	0	22206
3_0523_9841	LF/LF	-8	9841	3	LF/LF	0	0	1	36571
3_0516_9843	LF/LF	-15	9843	3	Chow	0	1	0	36050
3_0523_9843	LF/LF	-8	9843	3	LF/LF	0	0	1	48769
3_0516_9844	LF/LF	-15	9844	3	Chow	0	1	0	27826
3_0523_9844	LF/LF	-8	9844	3	LF/LF	0	0	1	44796
3_0516_9845	LF/LF	-15	9845	3	Chow	0	1	0	39455
3_0523_9845	LF/LF	-8	9845	3	LF/LF	0	0	1	41824
3_0516_9842	LF/LF	-15	9842	3	Chow	0	1	0	33762
3_0523_9842	LF/LF	-8	9842	3	LF/LF	0	0	1	33701
1_0403_9686	LF/HF	-15	9686	1	Chow	0	1	0	41857
1_0410_9686	LF/HF	-8	9686	1	LF/HF	0	1	1	51810
1_0415_9737	LF/HF	-3	9686	1	LF/HF	0	1	1	44511
1_0418_9737	LF/HF	0	9686	1	LF/HF	0	1	1	33806
1_0421_9686	LF/HF	3	9686	1	LF/HF	0	1	1	43428
1_0403_9689	LF/HF	-15	9689	1	Chow	0	1	0	48879
1_0410_9689	LF/HF	-8	9689	1	LF/HF	0	1	1	44951
