Tube_Label	Collection Date	Sample_Type	Total TcA Neat	Total TcB Neat	Total TcA 1:10	Total TcB 1:10	Extra_Sample	mouse_id
Chow.1	4/21/22	Chow	BDL	BDL	Chow	Chow	NA	NA
Chow.2	4/21/22	Chow	BDL	BDL	Chow	Chow	*	9685
Chow.3	4/21/22	Chow	BDL	BDL	Chow	Chow	*	9690
Chow.4	4/21/22	Chow	BDL	BDL	Chow	Chow	*	NA
Chow.5	4/21/22	Chow	BDL	BDL	Chow	Chow	*	9688
Ctrl.1	4/21/22	Ctrl	BDL	BDL	BDL	BDL	*	NA
Ctrl.2	4/21/22	Ctrl	BDL	1.87	BDL	BDL	*	NA
Ctrl.3	4/21/22	Ctrl	BDL	BDL	BDL	BDL	*	NA
Ctrl.4	4/21/22	Ctrl	BDL	7.23	BDL	BDL	NA	NA
Ctrl.5	4/21/22	Ctrl	BDL	BDL	BDL	BDL	*	NA
WD.1	4/21/22	WD	BDL	BDL	BDL	BDL	*	NA
WD.2	4/21/22	WD	BDL	5.66	BDL	BDL	*	NA
WD.3	4/21/22	WD	BDL	0.63	BDL	BDL	*	NA
WD.4	4/21/22	WD	BDL	BDL	BDL	BDL	*	NA
WD.5	4/21/22	WD	BDL	8.54	BDL	BDL	*	9694
Chow.1	5/6/22	Chow	378.76	436.61	Chow	Chow	NA	9740
Chow.2	5/6/22	Chow	1.36	3.89	Chow	Chow	*	9741
Chow.3	5/6/22	Chow	35.65	76.50	Chow	Chow	NA	9743
Chow.4	5/6/22	Chow	55.82	333.69	Chow	Chow	NA	9742
Ctrl+F.1	5/6/22	Ctrl	451.19	564.13	1976.88	1546.69	NA	9747
Ctrl+F.2	5/6/22	Ctrl	1349.85	1730.86	10988.17	9741.45	NA	9746
Ctrl+F.3	5/6/22	Ctrl	401.80	526.21	2144.50	2563.35	NA	NA
Ctrl+F.4	5/6/22	Ctrl	723.98	998.66	3662.17	5743.35	NA	NA
WD+F.1	5/6/22	WD+F	11.05	54.52	#VALUE!	103.40	NA	9758
WD+F.2	5/6/22	WD+F	505.04	648.45	529.03	1741.48	NA	NA
Ctrl.1	6/3/22	Ctrl	470.11	637.84	7429.02	5263.73	NA	9841
