	shannon_entropy
1_0403_9685	3.332110718592401
1_0403_9686	3.4688989649907644
1_0403_9687	5.136001467814059
1_0403_9688	3.0704505315348927
1_0403_9689	3.1242656563537787
1_0403_9690	3.443542820652763
1_0403_9691	3.034475419852536
1_0403_9692	3.3481984417424004
1_0403_9693	3.550977178712406
1_0403_9694	2.777750048924874
1_0403_9695	4.572783293679737
1_0403_9696	3.713968696597907
1_0403_9697	3.3350194431670834
1_0403_9698	2.745149379466988
1_0403_9699	3.2020001684609274
1_0410_9685	3.4944896816484947
1_0410_9686	4.421677121708752
1_0410_9687	3.920721297728892
1_0410_9688	3.4906883972184515
1_0410_9689	4.169655300780147
1_0410_9690	3.6055596681345676
1_0410_9691	3.8092429293122976
1_0410_9692	4.4044985946807556
1_0410_9693	4.436790397213886
1_0410_9694	3.843523893646697
1_0410_9695	3.923673174981057
1_0410_9696	3.684507655605044
1_0410_9697	3.677901701592182
1_0410_9698	4.006809471022507
1_0410_9699	4.942090784396396
1_0415_9687	0.7834986845156239
1_0415_9689	1.459236871204844
1_0415_9690	2.461136012151637
1_0415_9691	0.6736500559440107
1_0415_9693	0.9408638894300393
1_0415_9694	0.7871020188297309
1_0415_9695	2.217409433755141
1_0415_9696	1.332962580532196
1_0415_9698	0.7744379078439311
1_0415_9699	1.239195701623636
1_0415_9735	1.09130493018636
1_0415_9736	0.8434762901655743
1_0415_9737	1.807126119750789
1_0415_9738	2.870802854703246
1_0415_9739	3.0163166422528005
1_0418_9687	2.417953239999188
1_0418_9689	2.5322568873155125
1_0418_9690	3.0317232044206652
1_0418_9691	2.3108665960552996
1_0418_9692	2.1960917923883163
1_0418_9693	2.6079408677682436
1_0418_9694	2.5745736099471683
1_0418_9695	3.1504263165171382
1_0418_9696	2.8398068982094387
1_0418_9698	2.042327597909929
1_0418_9699	2.0870834136121093
1_0418_9736	2.2262641320298364
1_0418_9737	2.663610318999377
1_0418_9738	3.10010102926209
1_0418_9739	2.732199407991058
1_0421_9685	3.952842731505747
1_0421_9686	3.3078570483717074
1_0421_9687	3.221740319159541
1_0421_9688	3.684551804874308
1_0421_9689	4.063418973614749
1_0421_9690	3.749976642430004
1_0421_9691	3.153828706543699
