#SampleID	NewSampleID
#q2:types	categorical
61.9961.0627	61.9961.0627
61.9962.0627	61.9962.0627
61.9963.0627	61.9963.0627
61.9964.0627	61.9964.0627
61.9965.0627	61.9965.0627
61.9966.0627	61.9966.0627
61.9967.0627	61.9967.0627
61.9968.0627	61.9968.0627
61.9969.0627	61.9969.0627
61.9970.0627	61.9970.0627
61.9971.0627	61.9971.0627
61.9972.0627	61.9972.0627
61.9973.0627	61.9973.0627
61.9974.0627	61.9974.0627
61.9975.0627	61.9975.0627
62.9961.0704	62.9961.0704
62.9962.0704	62.9962.0704
62.9963.0704	62.9963.0704
62.9964.0704	62.9964.0704
62.9965.0704	62.9965.0704
62.9966.0704	62.9966.0704
62.9967.0704	62.9967.0704
62.9968.0704	62.9968.0704
62.9969.0704	62.9969.0704
62.9970.0704	62.9970.0704
62.9972.0704	62.9972.0704
62.9973.0704	62.9973.0704
62.9974.0704	62.9974.0704
62.9975.0704	62.9975.0704
63.9961.0709	63.9961.0709
63.9962.0709	63.9962.0709
63.9963.0709	63.9963.0709
63.9964.0709	63.9964.0709
63.9965.0709	63.9965.0709
63.9966.0709	63.9966.0709
63.9967.0709	63.9967.0709
63.9968.0709	63.9968.0709
63.9969.0709	63.9969.0709
63.9970.0709	63.9970.0709
63.9971.0709	63.9971.0709
63.9972.0709	63.9972.0709
63.9973.0709	63.9973.0709
63.9974.0709	63.9974.0709
63.9975.0709	63.9975.0709
64.9961.0712	64.9961.0712
64.9962.0712	64.9962.0712
64.9963.0712	64.9963.0712
64.9964.0712	64.9964.0712
64.9965.0712	64.9965.0712
64.9966.0712	64.9966.0712
64.9967.0712	64.9967.0712
64.9968.0712	64.9968.0712
64.9969.0712	64.9969.0712
64.9970.0712	64.9970.0712
64.9971.0712	64.9971.0712
64.9972.0712	64.9972.0712
64.9973.0712	64.9973.0712
64.9974.0712	64.9974.0712
64.9975.0712	64.9975.0712
71.100.0801	71.100.0801
71.101.0801	71.101.0801
71.102.0801	71.102.0801
71.103.0801	71.103.0801
71.104.0801	71.104.0801
71.105.0801	71.105.0801
71.106.0801	71.106.0801
71.107.0801	71.107.0801
71.108.0801	71.108.0801
71.109.0801	71.109.0801
71.110.0801	71.110.0801
71.111.0801	71.111.0801
71.112.0801	71.112.0801
71.113.0801	71.113.0801
71.114.0801	71.114.0801
71.115.0801	71.115.0801
71.116.0801	71.116.0801
71.117.0801	71.117.0801
71.118.0801	71.118.0801
71.98.0801	71.98.0801
71.99.0801	71.99.0801
72.100.0808	72.100.0808
72.101.0808	72.101.0808
72.103.0808	72.103.0808
72.105.0808	72.105.0808
72.108.0808	72.108.0808
72.111.0808	72.111.0808
72.112.0808	72.112.0808
72.113.0808	72.113.0808
72.114.0808	72.114.0808
72.115.0808	72.115.0808
72.116.0808	72.116.0808
72.99.0808	72.99.0808
73.100.0813	73.100.0813
73.101.0813	73.101.0813
73.102.0813	73.102.0813
73.104.0813	73.104.0813
73.105.0813	73.105.0813
73.106.0813	73.106.0813
73.107.0813	73.107.0813
73.111.0813	73.111.0813
73.112.0813	73.112.0813
73.113.0813	73.113.0813
73.114.0813	73.114.0813
73.115.0813	73.115.0813
73.117.0813	73.117.0813
74.101.0816	74.101.0816
74.102.0816	74.102.0816
74.103.0816	74.103.0816
74.105.0816	74.105.0816
74.106.0816	74.106.0816
74.107.0816	74.107.0816
74.108.0816	74.108.0816
74.109.0816	74.109.0816
74.110.0816	74.110.0816
74.111.0816	74.111.0816
74.113.0816	74.113.0816
74.114.0816	74.114.0816
74.115.0816	74.115.0816
74.116.0816	74.116.0816
74.117.0816	74.117.0816
74.98.0816	74.98.0816
74.99.0816	74.99.0816
75.106.0819	75.106.0819
75.108.0819	75.108.0819
75.109.0819	75.109.0819
75.113.0819	75.113.0819
75.114.0819	75.114.0819
75.115.0819	75.115.0819
75.116.0819	75.116.0819
75.117.0819	75.117.0819
75.99.0819	75.99.0819
Mock_1	Mock_1A
Mock_2	Mock_2A
Mock_3	Mock_3A
Mock_4	Mock_4A
Mock_5	Mock_5A
Mock_6	Mock_6A
Mock_7	Mock_7A
PCR Blank0	PCR Blank0
PCR Blank1	PCR Blank1
