	shannon_entropy
1_0403_9685	3.332188155746684
1_0403_9686	3.469051117926271
1_0403_9687	5.135903381922114
1_0403_9688	3.0704590020601255
1_0403_9689	3.1241146584721546
1_0403_9690	3.443218281065773
1_0403_9691	3.0344140629585934
1_0403_9692	3.348416778820142
1_0403_9693	3.5510642406388757
1_0403_9694	2.7778428460852345
1_0403_9695	4.572762168876125
1_0403_9696	3.7141038234205754
1_0403_9697	3.3350990082081498
1_0403_9698	2.7451085883211337
1_0403_9699	3.2020071991074968
1_0410_9685	3.4945379172638242
1_0410_9686	4.421686791948263
1_0410_9687	3.9208517689887565
1_0410_9688	3.4905383030195707
1_0410_9689	4.169589941263049
1_0410_9690	3.6057078440296375
1_0410_9691	3.8093753032952544
1_0410_9692	4.404439167518666
1_0410_9693	4.436817538195694
1_0410_9694	3.843255828496613
1_0410_9695	3.923584514754456
1_0410_9696	3.6844718056150847
1_0410_9697	3.6780174884565926
1_0410_9698	4.006925398060608
1_0410_9699	4.941983761713846
1_0415_9687	0.783522255258934
1_0415_9689	1.4592311090453338
1_0415_9690	2.461006344606962
1_0415_9691	0.6736255073055802
1_0415_9693	0.9411009658134324
1_0415_9694	0.7870257550029142
1_0415_9695	2.217409499884077
1_0415_9696	1.3329250447908918
1_0415_9698	0.7744610951239674
1_0415_9699	1.239163714321389
1_0415_9735	1.091341680391041
1_0415_9736	0.8433921402173629
1_0415_9737	1.807103315098778
1_0415_9738	2.870621688941088
1_0415_9739	3.0161816691305128
1_0418_9687	2.4179887075648065
1_0418_9689	2.532271752318848
1_0418_9690	3.031679003389583
1_0418_9691	2.3108391468096094
1_0418_9692	2.1960948595452225
1_0418_9693	2.6079249191961864
1_0418_9694	2.5745257537369897
1_0418_9695	3.1504884671613174
1_0418_9696	2.8397135079171294
1_0418_9698	2.0424246627611184
1_0418_9699	2.087023406401545
1_0418_9736	2.2260481189142562
1_0418_9737	2.663630653166511
1_0418_9738	3.0999870821658098
1_0418_9739	2.7321643583643453
1_0421_9685	3.952943180761305
1_0421_9686	3.3078037667913027
1_0421_9687	3.221828472294281
1_0421_9688	3.684299168867853
1_0421_9689	4.063489677163975
1_0421_9690	3.7500130825677727
1_0421_9691	3.153888031864962
1_0421_9692	3.1068435678994617
1_0421_9693	3.563128753991588
1_0421_9694	3.310517977355816
1_0421_9695	3.8406168232199627
1_0421_9696	3.2203175725562563
1_0421_9697	3.0779663592388964
1_0421_9698	2.5447495030197023
1_0421_9699	3.0297075567222347
2_0418_9740	3.9489700525581046
2_0418_9741	3.737517148880999
2_0418_9742	3.546442714988507
2_0418_9743	3.858402726333787
2_0418_9744	3.374914959708413
2_0418_9745	3.2752046129222787
2_0418_9746	3.2166986691235064
2_0418_9747	3.935792936608846
2_0418_9748	3.968386951996008
2_0418_9749	3.320430417006647
2_0418_9750	3.739684795563206
2_0418_9751	3.7736173065505176
2_0418_9752	3.678728723938681
2_0418_9753	3.753880091605877
2_0418_9754	3.0254565735601666
2_0425_9740	4.080774730839438
2_0425_9741	3.3225256308054756
2_0425_9742	3.714741906944325
2_0425_9743	5.183962993252992
2_0425_9744	4.046971600869828
2_0425_9745	4.097238777803019
2_0425_9746	4.623101113770435
2_0425_9747	4.098922917439188
2_0425_9748	3.6049258718288644
2_0425_9749	3.8702782728594296
2_0425_9750	4.2785259117426335
2_0425_9755	4.732151477763716
2_0425_9756	3.9794353649361214
2_0425_9757	3.930673160848575
2_0425_9758	3.8741317292651125
2_0430_9740	3.1580079511400228
2_0430_9741	3.285452796361094
2_0430_9742	2.9114703892696565
2_0430_9743	3.089319093297828
2_0430_9744	3.1495083007329487
2_0430_9745	0.4114259308646449
2_0430_9746	1.2381371531933334
2_0430_9747	1.22838226426128
2_0430_9748	1.1025536289622926
2_0430_9749	0.9830695716216039
2_0430_9750	1.366595082448525
2_0430_9755	0.70983945934733
2_0430_9756	1.3264038197179817
2_0430_9757	1.31818621778012
2_0430_9758	1.233493952466635
2_0503_9740	2.240574767304714
2_0503_9741	2.637424802433851
2_0503_9742	2.809412405025453
2_0503_9743	2.4861763998684676
2_0503_9744	2.624327031856799
2_0503_9745	2.3439910509552244
2_0503_9746	2.5110448521423003
2_0503_9747	2.0360636893337283
2_0503_9748	2.362803639270202
2_0503_9749	2.5520870129408606
2_0503_9750	1.7935328751855333
2_0503_9755	1.9490371360078915
2_0503_9756	2.245427845411939
2_0503_9757	2.0819652337981482
2_0503_9758	2.228900467717883
2_0506_9740	4.394980086602294
2_0506_9741	4.065844158437171
2_0506_9742	4.02970629885159
2_0506_9743	3.3769262166577194
2_0506_9746	2.8149100882499702
2_0506_9758	2.519066621487543
2B_0506_9740	4.048943625073761
3_0516_9831	5.453129339351517
3_0516_9832	4.998938414779366
3_0516_9833	4.369253565353555
3_0516_9834	4.2266051708157075
3_0516_9835	4.216900203384713
3_0516_9836	3.93902688803234
3_0516_9837	4.455650251460754
3_0516_9838	3.515311431378454
3_0516_9839	4.65840230295461
3_0516_9840	4.23174363920274
3_0516_9841	3.7328508425702838
3_0516_9842	4.479300863382732
3_0516_9843	4.08292286561191
3_0516_9844	4.393011424862921
3_0516_9845	5.939914657385051
3_0516_9846	4.489574563761921
3_0516_9847	4.032402640841625
3_0516_9849	4.961784305397354
3_0516_9851	3.7378074300239095
3_0523_9831	4.827324234788952
3_0523_9832	4.2688161675519005
3_0523_9835	3.4006784396311938
3_0523_9836	4.3501228731650725
3_0523_9837	4.604636140658032
3_0523_9838	3.9463053275346773
3_0523_9839	4.0578455115878285
3_0523_9840	3.989430283852928
3_0523_9841	4.999594045205486
3_0523_9842	5.021533566891191
3_0523_9843	4.436776702415007
3_0523_9844	4.203879830896965
3_0523_9845	4.3210800309987905
3_0523_9846	3.5375119963790485
3_0523_9847	3.8067201879253494
3_0523_9848	3.872954695269187
3_0523_9859	4.281261985817975
33.9831.0528	1.8312266142080509
33.9832.0528	1.5719783454835308
33.9833.0528	1.8381826599511712
33.9834.0528	2.0402346992641722
33.9835.0528	1.1131072815840473
33.9836.0528	1.1795091106421176
33.9837.0528	1.6263217808480095
33.9838.0528	2.0320589288519653
33.9839.0528	1.6617922141157795
33.9840.0528	1.5972542398279113
33.9841.0528	3.8646252758097557
33.9842.0528	2.0444076696272857
33.9843.0528	3.1582946360529056
33.9844.0528	3.4849308563290817
33.9845.0528	2.429988534288959
33.9846.0528	4.079421017162555
33.9847.0528	2.5968239010670207
33.9848.0528	2.130878814438049
33.9849.0528	2.871160635224478
33.9857.0528	2.6609606434087616
34.9831.0531	2.2516445998076953
