sampleid	seq_depth
CDD02.CR.Chow.1.00	52927
CDD02.CR.Chow.1.18	70727
CDD02.CR.Chow.2.00	41773
CDD02.CR.Chow.2.18	38539
CDD02.CR.Chow.3.00	38827
CDD02.CR.Chow.3.18	24290
CDD02.CR.Chow.4.00	57656
CDD02.CR.Chow.4.18	67954
CDD02.CR.Chow.5.00	29768
CDD02.CR.Chow.5.18	60593
CDD02.CR.HFHF.1.00	70530
CDD02.CR.HFHF.1.18	44417
CDD02.CR.HFHF.2.00	56580
CDD02.CR.HFHF.2.18	47893
CDD02.CR.HFHF.3.00	53938
CDD02.CR.HFHF.3.18	44317
CDD02.CR.HFHF.4.00	58457
CDD02.CR.HFHF.4.18	49557
CDD02.CR.HFHF.5.00	58097
CDD02.CR.HFHF.5.18	58706
CDD02.CR.HFLF.1.00	78937
CDD02.CR.HFLF.1.18	41690
CDD02.CR.HFLF.2.00	53788
CDD02.CR.HFLF.2.18	72226
CDD02.CR.HFLF.3.00	51291
CDD02.CR.HFLF.3.18	62562
CDD02.CR.HFLF.4.00	69016
CDD02.CR.HFLF.4.18	15389
CDD02.CR.HFLF.5.00	58436
CDD02.CR.HFLF.5.18	81235
CDD02.CR.LFHF.1.00	62331
CDD02.CR.LFHF.1.18	53213
CDD02.CR.LFHF.2.00	67551
CDD02.CR.LFHF.2.18	59094
CDD02.CR.LFHF.3.00	41007
CDD02.CR.LFHF.3.18	79219
CDD02.CR.LFHF.4.00	40920
CDD02.CR.LFHF.4.18	60855
CDD02.CR.LFHF.5.00	51698
CDD02.CR.LFHF.5.18	61714
CDD02.CR.LFLF.1.00	53356
CDD02.CR.LFLF.1.18	89194
CDD02.CR.LFLF.2.00	46843
CDD02.CR.LFLF.2.18	88992
CDD02.CR.LFLF.3.00	67280
CDD02.CR.LFLF.3.18	93244
CDD02.CR.LFLF.4.00	46336
CDD02.CR.LFLF.4.18	96623
CDD02.CR.LFLF.5.00	43404
CDD02.CR.LFLF.5.18	55863
CDD02.Tc.Chow.1.00	84825
CDD02.Tc.Chow.1.18	27430
CDD02.Tc.Chow.2.00	45329
CDD02.Tc.Chow.2.18	45603
CDD02.Tc.Chow.3.00	28490
CDD02.Tc.Chow.4.00	55839
CDD02.Tc.Chow.4.18	43285
CDD02.Tc.Chow.5.00	39419
CDD02.Tc.Chow.5.18	55631
CDD02.Tc.HFHF.1.00	87743
CDD02.Tc.HFHF.2.00	52066
CDD02.Tc.HFHF.2.18	38589
CDD02.Tc.HFHF.3.00	59529
CDD02.Tc.HFHF.3.18	31960
CDD02.Tc.HFHF.4.00	42595
CDD02.Tc.HFHF.4.18	25126
CDD02.Tc.HFHF.5.00	72549
CDD02.Tc.HFHF.5.18	26049
CDD02.Tc.HFLF.1.00	47410
CDD02.Tc.HFLF.1.18	48337
CDD02.Tc.HFLF.2.00	45775
CDD02.Tc.HFLF.2.18	50212
CDD02.Tc.HFLF.3.00	62859
CDD02.Tc.HFLF.3.18	48011
CDD02.Tc.HFLF.4.00	52843
CDD02.Tc.HFLF.4.18	19984
CDD02.Tc.HFLF.5.00	41708
CDD02.Tc.HFLF.5.18	51050
CDD02.Tc.LFHF.1.00	38985
CDD02.Tc.LFHF.1.18	73245
CDD02.Tc.LFHF.2.00	73611
CDD02.Tc.LFHF.2.18	61615
CDD02.Tc.LFHF.3.00	55243
CDD02.Tc.LFHF.3.18	44122
CDD02.Tc.LFHF.4.00	49475
CDD02.Tc.LFHF.4.18	41964
CDD02.Tc.LFHF.5.00	30759
CDD02.Tc.LFHF.5.18	4491
CDD02.Tc.LFLF.1.00	58550
CDD02.Tc.LFLF.1.18	63827
CDD02.Tc.LFLF.2.00	102011
CDD02.Tc.LFLF.2.18	49524
CDD02.Tc.LFLF.3.00	41523
CDD02.Tc.LFLF.3.18	53111
CDD02.Tc.LFLF.4.00	75937
CDD02.Tc.LFLF.4.18	63271
CDD02.Tc.LFLF.5.00	24245
CDD02.Tc.LFLF.5.18	110884
