	shannon_entropy
CDD02.CR.Chow.1.00	4.617126623698946
CDD02.CR.Chow.1.18	2.9038557554118016
CDD02.CR.Chow.2.00	4.114369337148668
CDD02.CR.Chow.2.18	2.8630182275812515
CDD02.CR.Chow.3.00	4.759861011044554
CDD02.CR.Chow.4.00	4.692629801127164
CDD02.CR.Chow.4.18	2.7574528716805022
CDD02.CR.Chow.5.00	4.436129729324745
CDD02.CR.Chow.5.18	3.0679785875903387
CDD02.CR.HFHF.1.00	5.623219111807931
CDD02.CR.HFHF.1.18	2.5089043928810058
CDD02.CR.HFHF.2.00	5.549183801703332
CDD02.CR.HFHF.2.18	2.347566153830839
CDD02.CR.HFHF.3.00	4.740201810197018
CDD02.CR.HFHF.3.18	2.797539422842319
CDD02.CR.HFHF.4.00	4.2043139906188545
CDD02.CR.HFHF.4.18	2.3678701352630744
CDD02.CR.HFHF.5.00	4.393770759930563
CDD02.CR.HFHF.5.18	2.393926354524619
CDD02.CR.HFLF.1.00	4.593691696441999
CDD02.CR.HFLF.1.18	1.6280796545113358
CDD02.CR.HFLF.2.00	4.235085665646969
CDD02.CR.HFLF.2.18	1.4918175149649993
CDD02.CR.HFLF.3.00	4.45523568106787
CDD02.CR.HFLF.3.18	1.4524349850343712
CDD02.CR.HFLF.4.00	4.898223101890039
CDD02.CR.HFLF.4.18	1.3240498975830641
CDD02.CR.HFLF.5.00	5.464879074036044
CDD02.CR.HFLF.5.18	1.4937893187727445
CDD02.CR.LFHF.1.00	4.18627262046015
CDD02.CR.LFHF.1.18	2.2046146900804326
CDD02.CR.LFHF.2.00	5.561885605134726
CDD02.CR.LFHF.2.18	2.3515215166507706
CDD02.CR.LFHF.3.00	3.9752832876155346
CDD02.CR.LFHF.3.18	2.1018373917413626
CDD02.CR.LFHF.4.00	4.271585810949292
CDD02.CR.LFHF.4.18	2.20618733153954
CDD02.CR.LFHF.5.00	4.4907396718258665
CDD02.CR.LFHF.5.18	2.2913977857493992
CDD02.CR.LFLF.1.00	4.508162626641383
CDD02.CR.LFLF.1.18	1.6506721220520577
CDD02.CR.LFLF.2.00	6.014897535459349
CDD02.CR.LFLF.2.18	1.5926145223105241
CDD02.CR.LFLF.3.00	3.979808215042218
CDD02.CR.LFLF.3.18	1.762417671132646
CDD02.CR.LFLF.4.00	4.500476474306547
CDD02.CR.LFLF.4.18	1.8703341444811614
CDD02.CR.LFLF.5.00	4.064072417370204
CDD02.CR.LFLF.5.18	1.7731014071759055
CDD02.Tc.Chow.1.00	6.523716166125411
CDD02.Tc.Chow.2.00	6.612196454248296
CDD02.Tc.Chow.3.00	4.688118954502628
CDD02.Tc.Chow.4.00	6.299280411007368
CDD02.Tc.Chow.5.00	5.480912777671055
CDD02.Tc.Chow.5.18	3.02532089225231
CDD02.Tc.HFHF.1.00	6.60816930186189
CDD02.Tc.HFHF.2.00	6.468697452345417
CDD02.Tc.HFHF.2.18	1.580861760465942
CDD02.Tc.HFHF.3.00	5.5305715616385065
CDD02.Tc.HFHF.3.18	2.143059508521446
CDD02.Tc.HFHF.4.00	5.519706411181317
CDD02.Tc.HFHF.5.00	6.266150726500417
CDD02.Tc.HFLF.1.00	5.6234201631469585
CDD02.Tc.HFLF.1.18	1.6678672465057451
CDD02.Tc.HFLF.2.00	5.712474344297104
CDD02.Tc.HFLF.2.18	1.5941727283014178
CDD02.Tc.HFLF.3.00	6.641548338282816
CDD02.Tc.HFLF.3.18	1.7814580008032979
CDD02.Tc.HFLF.4.00	6.257953063499498
CDD02.Tc.HFLF.5.00	5.764062050235466
CDD02.Tc.HFLF.5.18	0.9876176439377825
CDD02.Tc.LFHF.1.00	4.9628094379315515
CDD02.Tc.LFHF.1.18	3.042288012049497
CDD02.Tc.LFHF.2.00	4.8770805626166585
CDD02.Tc.LFHF.2.18	2.5212809139610686
CDD02.Tc.LFHF.3.00	5.282671851018361
CDD02.Tc.LFHF.4.00	6.045535322976087
CDD02.Tc.LFHF.5.00	5.436450980363298
CDD02.Tc.LFLF.1.00	6.389724194498894
CDD02.Tc.LFLF.1.18	2.041609153417823
CDD02.Tc.LFLF.2.00	5.302871359273153
CDD02.Tc.LFLF.2.18	1.556793902582022
CDD02.Tc.LFLF.3.00	5.290817432329555
CDD02.Tc.LFLF.3.18	1.9110194861116574
CDD02.Tc.LFLF.4.00	5.687233258355238
CDD02.Tc.LFLF.4.18	1.6791596601002619
CDD02.Tc.LFLF.5.00	4.7669771240727705
CDD02.Tc.LFLF.5.18	2.042315054867424
