	CDD02.CR.Chow.1.00	CDD02.CR.Chow.1.18	CDD02.CR.Chow.2.00	CDD02.CR.Chow.2.18	CDD02.CR.Chow.3.00	CDD02.CR.Chow.4.00	CDD02.CR.Chow.4.18	CDD02.CR.Chow.5.00	CDD02.CR.Chow.5.18	CDD02.CR.HFHF.1.00	CDD02.CR.HFHF.1.18	CDD02.CR.HFHF.2.00	CDD02.CR.HFHF.2.18	CDD02.CR.HFHF.3.00	CDD02.CR.HFHF.3.18	CDD02.CR.HFHF.4.00	CDD02.CR.HFHF.4.18	CDD02.CR.HFHF.5.00	CDD02.CR.HFHF.5.18	CDD02.CR.HFLF.1.00	CDD02.CR.HFLF.1.18	CDD02.CR.HFLF.2.00	CDD02.CR.HFLF.2.18	CDD02.CR.HFLF.3.00	CDD02.CR.HFLF.3.18	CDD02.CR.HFLF.4.00	CDD02.CR.HFLF.4.18	CDD02.CR.HFLF.5.00	CDD02.CR.HFLF.5.18	CDD02.CR.LFHF.1.00	CDD02.CR.LFHF.1.18	CDD02.CR.LFHF.2.00	CDD02.CR.LFHF.2.18	CDD02.CR.LFHF.3.00	CDD02.CR.LFHF.3.18	CDD02.CR.LFHF.4.00	CDD02.CR.LFHF.4.18	CDD02.CR.LFHF.5.00	CDD02.CR.LFHF.5.18	CDD02.CR.LFLF.1.00	CDD02.CR.LFLF.1.18	CDD02.CR.LFLF.2.00	CDD02.CR.LFLF.2.18	CDD02.CR.LFLF.3.00	CDD02.CR.LFLF.3.18	CDD02.CR.LFLF.4.00	CDD02.CR.LFLF.4.18	CDD02.CR.LFLF.5.00	CDD02.CR.LFLF.5.18	CDD02.Tc.Chow.1.00	CDD02.Tc.Chow.2.00	CDD02.Tc.Chow.3.00	CDD02.Tc.Chow.4.00	CDD02.Tc.Chow.5.00	CDD02.Tc.Chow.5.18	CDD02.Tc.HFHF.1.00	CDD02.Tc.HFHF.2.00	CDD02.Tc.HFHF.2.18	CDD02.Tc.HFHF.3.00	CDD02.Tc.HFHF.3.18	CDD02.Tc.HFHF.4.00	CDD02.Tc.HFHF.5.00	CDD02.Tc.HFLF.1.00	CDD02.Tc.HFLF.1.18	CDD02.Tc.HFLF.2.00	CDD02.Tc.HFLF.2.18	CDD02.Tc.HFLF.3.00	CDD02.Tc.HFLF.3.18	CDD02.Tc.HFLF.4.00	CDD02.Tc.HFLF.5.00	CDD02.Tc.HFLF.5.18	CDD02.Tc.LFHF.1.00	CDD02.Tc.LFHF.1.18	CDD02.Tc.LFHF.2.00	CDD02.Tc.LFHF.2.18	CDD02.Tc.LFHF.3.00	CDD02.Tc.LFHF.4.00	CDD02.Tc.LFHF.5.00	CDD02.Tc.LFLF.1.00	CDD02.Tc.LFLF.1.18	CDD02.Tc.LFLF.2.00	CDD02.Tc.LFLF.2.18	CDD02.Tc.LFLF.3.00	CDD02.Tc.LFLF.3.18	CDD02.Tc.LFLF.4.00	CDD02.Tc.LFLF.4.18	CDD02.Tc.LFLF.5.00	CDD02.Tc.LFLF.5.18
CDD02.CR.Chow.1.00	0	0.8027246405500391	0.3094503947901087	0.8000151549975018	0.2667164474723104	0.2749023610647142	0.8168174594290655	0.2945674585722938	0.7952552448718969	0.2830759759703067	0.8602616410897749	0.2463406672929038	0.8385135309862934	0.2552726474572299	0.8496633304359369	0.2960669335033398	0.8527191996781098	0.2947192734615579	0.8660092629638002	0.2748181632354772	0.8670715407583824	0.2870816281428768	0.8093081341787612	0.2560916832081762	0.8377284019097327	0.2606768629450975	0.8786414646905341	0.3405122741546246	0.8406767684968199	0.2918375469223393	0.8470664689083676	0.2852571596881316	0.8651749134923792	0.3147131642690829	0.8192060427615343	0.3160989220505582	0.852285443706705	0.2741813500964641	0.8708841236214466	0.3272612303234141	0.8514469227121103	0.6065861903435251	0.8640854834244674	0.2638124206619501	0.8720290710414096	0.2900254675089597	0.8620273922857223	0.3158875754298375	0.8481088721788828	0.6116765163502336	0.5944610232823947	0.6295530189863221	0.6277003544515112	0.5984481712879307	0.866911191306532	0.6023228517566243	0.5962090133151672	0.8762748892196216	0.5963546326071545	0.8771710291766707	0.6036359307771589	0.6162149565536842	0.6211191518662682	0.9110369934450909	0.5924650374023699	0.9211542249722013	0.5888286309266501	0.8863159943863455	0.5889317700001051	0.6122861355826836	0.9111026788326985	0.6177032277207833	0.858211506246359	0.2492521880889668	0.8558051062031501	0.5590985503148176	0.6074343755230927	0.5923918368944082	0.6240017474060825	0.8757469639467312	0.588613297961767	0.8827877559192951	0.5929895679800415	0.8975868006843242	0.621568014769786	0.8918577803420669	0.6495288562889336	0.8499295879504731
CDD02.CR.Chow.1.18	0.8027246405500391	0	0.7859445083425363	0.2514428787294591	0.7652208250648278	0.8014691311803903	0.1648942520800331	0.800881104440151	0.2744768781287565	0.8290435141406054	0.4451619234891092	0.7930184547088921	0.2977090038260306	0.7789408891300981	0.4205614016612915	0.7844831497902517	0.4230628810734267	0.8075372618867745	0.4445764483547083	0.8038022074550591	0.4700440439355612	0.8232470868144004	0.5909745668854812	0.8064338950469055	0.5667700138018275	0.8290027988263804	0.5276461744380454	0.8344568202214458	0.5941326108103901	0.8160942002774508	0.4927030164657479	0.8169521484364952	0.4411727592317468	0.7903343272416722	0.4062225296797132	0.8021233817780004	0.3967847202107693	0.7942005315401237	0.5288634170255099	0.8119827946774761	0.4603807798903041	0.8707136557876652	0.5762212571796018	0.7939556656235218	0.4815771663909759	0.7991854662361966	0.4398540536307621	0.8030493760389824	0.4302119779993198	0.8934140999240058	0.8846227592270045	0.834445308358403	0.8710818812641695	0.8216558130955171	0.5095299478264802	0.8852286605626646	0.8790275956744215	0.5266741872142741	0.8600885073578263	0.5309437595810574	0.8628038416816231	0.8893179767967875	0.8454945680793972	0.6169378245904396	0.8492318452878732	0.7364574712402462	0.878827339243999	0.6406573526431559	0.8822832447565132	0.8700313538867042	0.6757331285108805	0.8442047957122432	0.4920305700593745	0.8206486220903867	0.5700996691723739	0.860224533354483	0.8681837226638616	0.8435521081281636	0.8774886505995549	0.4743887561327848	0.854759008913181	0.5762379753966624	0.8398507702864891	0.5582529928999166	0.88370081492353	0.6345686243546548	0.8064531833701208	0.5389422872578815
CDD02.CR.Chow.2.00	0.3094503947901087	0.7859445083425363	0	0.7944414287177171	0.249170763373199	0.2710873814723633	0.8097280552385743	0.1539609196070335	0.7887464917010896	0.2913877433006341	0.8695730175391005	0.2601742186000222	0.8452194770419057	0.251700920842764	0.8576755641957928	0.2876843261275072	0.860859556591794	0.2680045867307509	0.8743830263444384	0.3462276803498896	0.875530486735062	0.2762533123736822	0.8174409753248234	0.2529417371114493	0.8520683000326406	0.2683161118234807	0.888502398166085	0.3270150332257712	0.8471623950488357	0.292742168840035	0.8599609174909529	0.226822713910127	0.8734465591170056	0.2721363767641912	0.8177054426275696	0.3189678896361874	0.8604920578342574	0.2756619330435615	0.8794400894032827	0.28210313248355	0.8593960411833111	0.6377549892471003	0.8801502858109953	0.2743998331312085	0.8828434122549474	0.2732109307655031	0.8715560302357969	0.2964797816988262	0.8557250419483998	0.6368389421985735	0.6182645574183877	0.6363296021148533	0.6450807422508281	0.6063881552553528	0.8529486626427852	0.6458139894547843	0.643310679661928	0.8764785728604672	0.631623599217772	0.8774888491822629	0.6260734017962857	0.6428447934598812	0.658548122210144	0.9157514842545412	0.6170539918055217	0.9286983621028776	0.633302948829342	0.8894093394219531	0.6080109738186671	0.6321924666159198	0.9158512712641104	0.6362662943607164	0.8561261951572205	0.3325621191735803	0.8535402128958985	0.5861414613802781	0.6306636875173883	0.6120846586517004	0.6579068534419251	0.8758843655393778	0.617305388343899	0.883833104407693	0.59049261959643	0.9005396389850723	0.631180499900903	0.9020095721567246	0.6540979793957623	0.8468799302935025
CDD02.CR.Chow.2.18	0.8000151549975018	0.2514428787294591	0.7944414287177171	0	0.7736337893403639	0.8079074427575489	0.1664212591956566	0.8029664544172671	0.2583450395511882	0.8295142803580244	0.4601999508752654	0.7973543826504649	0.3059130435196064	0.7832394728302996	0.4462724004411071	0.793692860579816	0.4358303699252692	0.8076672576190941	0.4601712911247585	0.8012383065056905	0.4864364135516711	0.8239665463499066	0.6166820489716253	0.8054577490391169	0.5820275165993691	0.8283634158789808	0.6076590643115356	0.8420079021420328	0.6216655791368082	0.816660460106657	0.5188987360681586	0.8245127063023531	0.4565964073129072	0.7901207152891565	0.4760640078708459	0.7991690943197391	0.4098957164364779	0.8035456936902335	0.5455602906418481	0.8154282425107263	0.482894366954605	0.8780442907381052	0.5961311922722148	0.799948355947722	0.4989164003533338	0.8133291027956331	0.4547834468991632	0.8009475933940007	0.507859862756314	0.9026144553721401	0.8937788334167612	0.8513816911897846	0.8797984731389417	0.8360917728232472	0.5857655880649832	0.8937038618899165	0.8888847121770023	0.5442136999792654	0.8702902271730542	0.548625920927488	0.8739731376958446	0.8982095157238689	0.8594990664676871	0.6402180903388401	0.8612262565523178	0.7528687551549156	0.8856503961560187	0.6515363788785923	0.8914704758430189	0.8806227486942863	0.7642281284115926	0.8631135006638232	0.5458539473422072	0.8184335241824208	0.62938734492685	0.8678194891587481	0.8720971854165631	0.8561502521162365	0.887207359754542	0.5645624747597249	0.8651438234176937	0.5961651163239892	0.854745688350847	0.6486329153964794	0.893605397731094	0.6566926929768083	0.8223123688347177	0.6117886569167222
CDD02.CR.Chow.3.00	0.2667164474723104	0.7652208250648278	0.249170763373199	0.7736337893403639	0	0.2608397793807926	0.7882955923764884	0.2375106462400625	0.7689201457226233	0.292389427377365	0.8472219065136816	0.2324687562133847	0.8232405742580324	0.238087897818972	0.8355858389542259	0.2699374515661845	0.8393375841139383	0.2639865622389044	0.853461260659073	0.3138307922527876	0.8546981740425792	0.3048592016393156	0.7913973761280788	0.2828620096759071	0.8325907256449402	0.2826865005893945	0.867468961602859	0.298975300668515	0.8259623234130836	0.3303335048608093	0.8328887560797688	0.2170051675553602	0.852540395410741	0.3023266998042847	0.8049104573016054	0.2885826291307536	0.8398342220263952	0.2607174793523532	0.8593891360946546	0.3046583248780802	0.8391471512565765	0.6424688965251613	0.8593651309379785	0.2574602198959426	0.8600974959754738	0.2467645457189656	0.8491614953540887	0.3165630107108456	0.834249676398773	0.6395512135682057	0.640546103793855	0.6378217920512314	0.6434970098779411	0.6015880535973319	0.8577673518481035	0.6402043534062166	0.6382473807993172	0.8651515512047383	0.6262477685632503	0.8661461517517364	0.6301890252113298	0.6520053905620592	0.6440601625020084	0.903286987013542	0.6122512410706969	0.915998938775446	0.6281927238188275	0.8777157407266859	0.6207201537248378	0.6345240948480131	0.9033184599466043	0.6392971670033555	0.8453740329036624	0.2758775324931053	0.8433969793207697	0.5818747491632241	0.6249753728126557	0.6090370795243905	0.6574539595633899	0.8644822786847869	0.6259323140167177	0.8722165022860693	0.6020498369431402	0.8885175998229681	0.6434748156280481	0.8900389842087255	0.6550914887257354	0.8366260772046312
CDD02.CR.Chow.4.00	0.2749023610647142	0.8014691311803903	0.2710873814723633	0.8079074427575489	0.2608397793807926	0	0.8237083567338082	0.2660333577162179	0.8011191348389711	0.2827393058747156	0.8779916926470019	0.2737474133870408	0.8517406948605776	0.2658632605961486	0.8619609004091758	0.2954469029842271	0.8649184048674842	0.2573985929026215	0.883977234306251	0.341781974488197	0.8849907462367114	0.3163379171235442	0.8197947184223763	0.2835855564041175	0.8581027528053177	0.2830945607294719	0.8921936820210948	0.3194896829448741	0.8587874014771301	0.3114172831769941	0.8639653496969684	0.2572129390273972	0.8831122913407705	0.3141306916675917	0.8296841707984649	0.3376380340059235	0.8697458333388745	0.2716766167850592	0.888253738886553	0.32838117632578	0.863727327267081	0.6303008684568211	0.8913834990640396	0.2735714464524878	0.8902289225438641	0.2684226153713337	0.8797266121755503	0.3236984571396911	0.8600363540244845	0.6160918283997283	0.6137476331475822	0.6288223458633798	0.6242789277198879	0.5815797673286931	0.8583962848478749	0.6212861002958344	0.6152195690889578	0.8857035834162127	0.6166859695241967	0.8866317624979473	0.6147476857327463	0.6233107984395198	0.6389299501763925	0.9174779763473335	0.5959180569549036	0.9340685904954086	0.6100724400325229	0.8929902164458654	0.6041511282954801	0.6018534437054145	0.9243859963506165	0.6258200348148032	0.8611902954925064	0.3002329075487027	0.8593016634323706	0.5796270751053537	0.6299514546660638	0.5868844135166398	0.6358172841059617	0.8804401206783956	0.600459779799012	0.8878292693551827	0.5641071570401767	0.9033426305795583	0.6053721188266875	0.9046890351232781	0.6440812653555189	0.8553975508406264
CDD02.CR.Chow.4.18	0.8168174594290655	0.1648942520800331	0.8097280552385743	0.1664212591956566	0.7882955923764884	0.8237083567338082	0	0.8116553730493181	0.1732175753993307	0.8425875934882378	0.340887576796221	0.8140124006661966	0.1589546583009975	0.8005314514722948	0.328234430980713	0.8063478017594949	0.3243039682122695	0.8223816406973846	0.3355569762885064	0.8172672405244856	0.369403798837024	0.8338539650537526	0.5446477081132943	0.8208929919498325	0.5141806446655213	0.8388354145645883	0.5120534417779822	0.8510680729511872	0.5474119204731972	0.8308144655084241	0.4209406435427345	0.8381403978043961	0.3314852053203233	0.8064168160589669	0.3840740422141259	0.8174082310388989	0.2792025552058366	0.8089003640627572	0.4526902423216336	0.8265734209420633	0.3745953988540766	0.8888585294174594	0.5027363176358619	0.8148672182530805	0.3805938978089113	0.8216876053291715	0.3333836555705493	0.8182748020081068	0.4118709841904857	0.9092806365707655	0.9019786807311069	0.8592702378969647	0.8888284019669113	0.843511518182946	0.5066299033468369	0.9009540018337401	0.8960105645846068	0.4453114523373042	0.8794875622298068	0.4505613081224663	0.8816178006806029	0.9061679094488323	0.8670156734107685	0.5444622520740527	0.8694113434896383	0.6913030263586351	0.8952986170500901	0.5809648386143822	0.8997000010920154	0.8891787426394059	0.692378806813135	0.8659795742549216	0.4564911179550822	0.8343100259589947	0.5629566035885075	0.8749973670121749	0.8821184732715512	0.8668781584258003	0.8943784794994428	0.466733619616723	0.8740475681581082	0.5026877537276147	0.8631881051999992	0.5605549789078564	0.9006459678847233	0.5718525179811733	0.8330420498344127	0.5389400582886723
CDD02.CR.Chow.5.00	0.2945674585722938	0.800881104440151	0.1539609196070335	0.8029664544172671	0.2375106462400625	0.2660333577162179	0.8116553730493181	0	0.7882380908481155	0.274883338808717	0.8671493255340168	0.240032354229345	0.842344009428478	0.2287568103049286	0.8550409441134135	0.2777475461278872	0.8583578534099269	0.2477691322691317	0.8720257706827654	0.2973944655587817	0.8732073073818251	0.25406082863025	0.8177281400579135	0.2459634284500681	0.8494421042760093	0.2352963975774184	0.8864227558333525	0.3019495163369042	0.8443877445556298	0.2612925487309137	0.8574116259636262	0.2085999986431551	0.871071730251572	0.2853684780965735	0.8236234276687284	0.2762103474319984	0.8578783923508517	0.2608063847644658	0.8772841240576197	0.295870890601017	0.8568134666126306	0.6302783460588637	0.877927041781681	0.2726349449745143	0.8806468336646009	0.2564866478371329	0.8691676896718505	0.2913099865573491	0.8531274951533512	0.6287667524541906	0.6110825985085471	0.6312328778784545	0.6406813346830738	0.6098847515391995	0.8503378449639811	0.6409506819780918	0.645099121239324	0.8742171915688484	0.6319628651689981	0.8752477564740687	0.6109223116966476	0.6343423023101046	0.6618574557364217	0.9141841573696426	0.6123878211226856	0.9273808030524491	0.6253069143088573	0.8873747696548004	0.607360521636545	0.628579882967315	0.9142771620886291	0.645164559306858	0.8530940970440379	0.2914677699212446	0.8510221914574211	0.5738901598582021	0.6218101681840438	0.6150648595216091	0.65674191400626	0.873593361751796	0.6140975591280592	0.8816847218429377	0.5961872166439055	0.8987004681898021	0.6316871926402442	0.9002112660013258	0.6582713573971851	0.8441755086625442
CDD02.CR.Chow.5.18	0.7952552448718969	0.2744768781287565	0.7887464917010896	0.2583450395511882	0.7689201457226233	0.8011191348389711	0.1732175753993307	0.7882380908481155	0	0.8231067889891676	0.4504982178246509	0.7936340024800819	0.3047085904531697	0.7815052389685986	0.3563617829414778	0.7870462280673275	0.4281589765142443	0.8007577753709088	0.4501146803564179	0.7993218358165096	0.4751854146861555	0.8106461576476599	0.5683147955148677	0.8016782485516749	0.5171036727665388	0.8208832762756484	0.5905194252474615	0.830692633556831	0.5963121264039796	0.8085077197876319	0.4358570870614764	0.8199953741449114	0.4467449300536033	0.7825141402706529	0.4685812159235459	0.7920503393210041	0.4027650634321273	0.7925490135878251	0.5328543448150515	0.8131558386357526	0.4652640754439868	0.8768690635649398	0.5780571737101003	0.796379969218514	0.4867138893962434	0.8079177960748242	0.4452924354968967	0.7838150226801922	0.4951587494958749	0.898603815935656	0.8903705070211401	0.8480824299487554	0.8768400312257478	0.8292628773071455	0.5725000240079704	0.8902130570188328	0.8847019889547983	0.5308979195514789	0.8667639529600278	0.5351185713130518	0.8689656881348684	0.8948601192827237	0.8536241625987656	0.6206110875619807	0.8560136620829016	0.738802723005184	0.8840980854735736	0.6419428967315958	0.8880716366442888	0.8770499270614526	0.7396924225314699	0.8565357826287815	0.531689833205831	0.8145613631263405	0.6141934884101402	0.8617724287223223	0.8696216756316686	0.8514049606653171	0.8831456463123579	0.5501158375660755	0.861153266426669	0.5800504298494994	0.8477411131154641	0.6297346028036054	0.8890796221727808	0.6359359815262192	0.8157432814958004	0.5963798956901687
CDD02.CR.HFHF.1.00	0.2830759759703067	0.8290435141406054	0.2913877433006341	0.8295142803580244	0.292389427377365	0.2827393058747156	0.8425875934882378	0.274883338808717	0.8231067889891676	0	0.8917190517821323	0.2563227833184344	0.8674716625796567	0.2727692388253768	0.8776479883932152	0.3329245668339515	0.8803692582155758	0.2613775457283187	0.8962953155717737	0.3218494955735395	0.8971388793688466	0.3025997992909385	0.8391556843634297	0.2800991005449294	0.8715049768244423	0.2258608446387081	0.9035484135030084	0.3284136933680085	0.8722546181430249	0.2928378223451109	0.879213234722825	0.2318244334733494	0.895530535683843	0.3412357443758989	0.8471715917886359	0.367276734913224	0.8849191335262316	0.3113047127587472	0.8996266920958294	0.304060343750188	0.8794117230612616	0.616169389013148	0.90081311673066	0.3041709864772791	0.9027218450933785	0.3024104444627956	0.8933530271544016	0.328053063035595	0.8755926137534938	0.5919489847857939	0.589733053197986	0.6470224112926134	0.6172959761480472	0.6123264297999461	0.8710012835390097	0.6188054395849339	0.6164732035087581	0.897583598568428	0.6258116548225281	0.8983988212142596	0.6071801601566144	0.6048723271961521	0.6494305924581941	0.925890171766465	0.6064166042263711	0.9392517949747958	0.5992237877064812	0.9028311933790376	0.5874671147085788	0.6279584543243633	0.9301247950290831	0.6577093477706742	0.8777334619720042	0.30046310200543	0.8734910731600773	0.5652402745331084	0.610956827726963	0.6103214151418398	0.6381466799551541	0.8930481697024917	0.6027468791090949	0.8996078288759896	0.5951302330433208	0.913337772408112	0.6187531363926064	0.9144694456399682	0.6758028276548853	0.8684170105234066
