vendor	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
CharlesRiver	av_perc_change	Chow	HFHF	14	14	-3.0456896391327035	0.0023214732936745835	0.023214732936745835	*	7.24972		1	2
CharlesRiver	av_perc_change	Chow	HFLF	14	14	-1.6649770027258786	0.09591734403812927	0.23979336009532315	ns	7.833853333333333		1	3
CharlesRiver	av_perc_change	Chow	LFHF	14	14	-2.56853159566858	0.010213040132984234	0.040897946107676594	*	8.417986666666666		1	4
CharlesRiver	av_perc_change	Chow	LFLF	14	8	-2.504300324263219	0.012269383832302978	0.040897946107676594	*	9.00212		1	5
CharlesRiver	av_perc_change	HFHF	HFLF	14	14	1.3807126364068247	0.16736733439757376	0.3347346687951475	ns	9.586253333333334		2	3
CharlesRiver	av_perc_change	HFHF	LFHF	14	14	0.4771580434641235	0.6332495852596624	0.7915619815745779	ns	10.170386666666666		2	4
CharlesRiver	av_perc_change	HFHF	LFLF	14	8	0.09307252717659319	0.9258459428147493	0.9258459428147493	ns	10.75452		2	5
CharlesRiver	av_perc_change	HFLF	LFHF	14	14	-0.9035545929427014	0.36623162776031115	0.5231880396575874	ns	11.338653333333333		3	4
CharlesRiver	av_perc_change	HFLF	LFLF	14	8	-1.0844031654761213	0.27818608083012314	0.46364346805020523	ns	11.922786666666667		3	5
CharlesRiver	av_perc_change	LFHF	LFLF	14	8	-0.3138492195489774	0.753635559870228	0.8373728443002534	ns	12.50692		4	5
Taconic	av_perc_change	Chow	HFHF	14	14	0.01857545272728322	0.9851797853434092	0.9851797853434092	ns	15.178		1	2
Taconic	av_perc_change	Chow	HFLF	14	14	1.4303098600008486	0.1526281061347044	0.3950704456841025	ns	16.328		1	3
Taconic	av_perc_change	Chow	LFHF	14	14	-0.23219315909104762	0.8163879908357865	0.9392887435076899	ns	17.478		1	4
Taconic	av_perc_change	Chow	LFLF	14	14	-0.42723541272752696	0.6692078704137274	0.9392887435076899	ns	18.628		1	5
Taconic	av_perc_change	HFHF	HFLF	14	14	1.4117344072735654	0.158028178273641	0.3950704456841025	ns	19.778		2	3
Taconic	av_perc_change	HFHF	LFHF	14	14	-0.2507686118183308	0.8019930104277315	0.9392887435076899	ns	20.927999999999997		2	4
Taconic	av_perc_change	HFHF	LFLF	14	14	-0.4458108654548102	0.6557338724992403	0.9392887435076899	ns	22.078		2	5
Taconic	av_perc_change	HFLF	LFHF	14	14	-1.6625030190918961	0.09641195851475652	0.3950704456841025	ns	23.227999999999998		3	4
Taconic	av_perc_change	HFLF	LFLF	14	14	-1.8575452727283754	0.06323361640808266	0.3950704456841025	ns	24.378		3	5
Taconic	av_perc_change	LFHF	LFLF	14	14	-0.19504225363647934	0.8453598691569209	0.9392887435076899	ns	25.528		4	5
